cluster,count
Enterocyte,66321
Keratinocyte_stratified,63400
B_plasma_IgA1,54358
Mesoderm_2,53169
Crypt_fibroblast_PI16,41313
Lamina_propria_fibroblast_ADAMDEC1,37736
B_naive,36366
Colonocyte,34151
B_memory,33026
Mesoderm_1,30022
EC_venous,28164
Trm_CD4,26269
Tnaive/cm_CD4,24797
Trm_CD8,24711
Villus_fibroblast_F3,20819
TA,19674
Cycling_fibroblast,18017
Goblet,17475
Mature_colonocyte,16354
Trm/em_CD8,16334
Epithelial_cycling_G2M,15948
Myofibroblast,15509
Epithelial_cycling_S,15166
Trm_Th17,14688
Keratinocyte_outer,14615
SMC_PPLP2,14522
gdT,13986
Basal,13722
Mucous_gland_neck,12696
BEST4_enterocyte_colonocyte,11287
Cycling,11238
EC_capillary,11035
Epithelial_stem,10520
Treg_IL10,10299
Surface_foveolar,10258
Tfh_naive,9303
Vascular_smooth_muscle,8978
Macrophage,8594
B_plasma_IgG,7033
Pericyte,6974
Tfh,6910
DC_cDC2,6381
SMC_CAPN3,6293
Mast,5607
Treg,5500
Tnaive/cm_CD8,5399
Glial/Enteric_neural_crest,5024
B_plasma_IgM,4921
B_plasma_IgA2,4888
EC_arterial_1,4780
ILC3,4676
NK_CD56bright,4479
Oral_mucosa_fibroblast,4378
Proximal_progenitor_ILE,4349
Serous,4279
EC_lymphatic,4248
Enteric_neural_crest_cycling,4107
Monocyte,3792
Macrophage_LYVE1,3627
Proximal_progenitor_DUO/JEJ,3575
B_GC_I,3573
EC_arterial_2,3507
B_GC_II,3499
gdT_naive,3009
Branch_B_excitatory_motor_neuron,2955
Mesothelium,2784
Distal_progenitor,2765
Immature_pericyte,2716
Neuroblast,2713
Fibroblast_reticular,2562
NK_CD16,2327
Basal_cycling,2252
Enteroendocrine,2177
MAIT,2073
Glial_3,2036
Chief,2006
Goblet_progenitor,1935
Tuft,1733
Macrophage_TREM2,1511
Glial_2,1501
Goblet_cycling,1494
T/NK_cycling,1423
Seromucous,1354
Duct,1331
Rectum_fibroblast,1284
Pareital,1259
Branch_B_primary_afferent_neuron,1158
EC_cycling,1070
Glial_1,1069
Branch_A_primary_afferent_neuron,1013
DC_cDC1,946
ICC,923
Macrophage_MMP9,907
Enterochromaffin,890
Branch_A_inhibtory_motor_neuron,861
Angiogenic_pericyte,849
Mucous,830
Gland_basal,735
Branch_A_interneuron,684
Oesophagus_fibroblast,682
B_preB,676
Enteroendocrine_MX,606
DC_pDC,565
Microfold,559
Paneth,508
NTS,473
B_plasmablast,465
Enteroendocrine_X,465
SMC_CAPN3_cycling,442
B_proB,432
Enteroendocrine_G,423
DC_migratory,417
Immune_recruiting_pericyte,363
Mesenchymal_LTO,353
Erythrocytes,350
Melanocyte,346
Distal_progenitor_PRAC1,323
CLDN10,308
Enteroendocrine_progenitor,303
Keratinocyte_inflammatory,284
Gland_duct,254
Gland_fetal,248
DCS_MUC17,231
Myoepithelial,195
Mono/neutrophil_MPO,178
DC_langerhans,164
Follicular_DC,135
Myoblast/myocyte,133
Keratinocyte_fetal,125
DCS_MUC17_cycling,107
Macrophage_CD5L,100
Eosinophil/basophil,70
Ionocytes,67
Gland_mucous,53
Gastric_fetal_epithelial,29
SF_like,28
Megakaryocyte/platelet,4
