,ATL,DCT1,DCT2,ENDO,FIB,ICA,ICB,LEUK,MES,PC,PEC,PODO,PT,PTVCAM1,TAL1,TAL2
GNB1,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
PRDM16,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.0,0.0,0.5333333333333333,0.5333333333333333,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.5333333333333333,0.5333333333333333
CAMTA1,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
ERRFI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.9333333333333333,0.0,0.0,0.0
RERE,0.01383458375930786,0.11359085241953532,0.11359085241953532,0.01383458375930786,0.01383458375930786,0.2037879506746928,0.11359085241953532,0.01383458375930786,0.01383458375930786,0.01383458375930786,0.01383458375930786,0.11359085241953532,0.0,0.01383458375930786,0.01383458375930786,0.01383458375930786
SLC25A33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
KIF1B,0.3,0.3,0.0,0.3,0.26666666666666666,0.3,0.3,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3
CASZ1,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.0
VPS13D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHRS3,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.957938015460968,0.0,0.0,0.0,0.0
KAZN,0.3384061495463053,0.27483708461125694,0.392159628868103,0.06666666666666667,0.06666666666666667,0.18969007730484008,0.18969007730484008,0.06666666666666667,0.06666666666666667,0.5043275276819865,0.392159628868103,0.0,0.06666666666666667,0.18969007730484008,0.3384061495463053,0.27483708461125694
TMEM51,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SPEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CLCNKA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLCNKB,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666
ARHGEF10L,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.8666666666666667,0.0,0.0,0.0
CAPZB,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMCO4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VWA5B1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HP1BP3,0.0,0.8,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
