,Adipo,CM,EC,Fib,Lymph,Mast,Mural,Myel,Neuro,PKHD1L1+ EC
ENSG00000240521,-0.07843259,-0.06466446,-0.0965184,-0.09208935,-0.09475814,10.0,-0.09327913,-0.09065169,-0.09512745,-0.08928637
ENSG00000163751,-0.07885949,-0.061781693,-0.10333962,-0.09764108,-0.10272669,10.0,-0.09777973,-0.09501444,-0.101261675,-0.09380224
ENSG00000181092,10.0,-0.056388948,-0.06416346,-0.05999417,-0.068297535,-0.059034392,-0.059513696,-0.058969986,-0.063211694,-0.0603235
ENSG00000163694,-0.27520382,-0.25987905,-0.26545274,-0.2830616,-0.19927058,-0.3059458,-0.30281475,3.589981,-0.2610302,-0.22376022
ENSG00000157404,-0.09603162,-0.0796493,-0.1151505,-0.10986215,-0.10881258,10.0,-0.113420986,-0.10845365,-0.11321168,-0.104080275
ENSG00000163106,-0.18846022,-0.1993671,-0.13814582,-0.1591045,-0.12692297,4.955454,-0.15824017,-0.15780231,-0.14387503,-0.16233423
ENSG00000164035,-0.38124818,-0.3210008,2.084839,-0.4335583,-0.4339044,-0.46146804,-0.44753787,-0.43051398,-0.4486661,1.504175
ENSG00000218336,2.6681628,-0.3457797,-0.20150054,-0.22297132,-0.20399675,-0.21392184,-0.22758321,-0.23371936,2.349432,-0.22859232
ENSG00000151726,3.613019,-0.40730068,-0.30083743,-0.32226086,-0.30009183,-0.31494024,-0.3322514,-0.29408103,-0.30677962,-0.3303624
ENSG00000145703,-0.33193606,-0.3005694,-0.33307636,-0.33548945,0.97895026,-0.25707895,-0.36299866,2.1232178,-0.12868889,-0.30415237
ENSG00000249797,-0.5965882,-0.008511232,-0.3141474,-0.41355503,-0.3224956,1.7835269,-0.41157776,-0.4323504,-0.3665145,1.3845448
ENSG00000260192,4.2680845,-0.21398354,-0.13881367,-0.15427744,-0.13537475,-0.15219754,-0.1536783,-0.15803629,-0.14382757,-0.15464224
ENSG00000124491,-0.28351352,-0.26076385,-0.2756578,-0.28665698,-0.2201872,-0.30783337,-0.30505693,3.98622,-0.27345824,-0.24913259
ENSG00000096060,0.75811064,-0.025400694,-0.7258465,-0.6790613,1.0234258,1.619985,-0.7124086,1.015024,-0.05613975,-0.6735341
ENSG00000196376,-0.30663526,-0.34408957,-0.21050693,-0.23550026,-0.2164551,-0.2180557,-0.23301303,-0.24152651,3.6297486,-0.23966575
ENSG00000146376,-0.33418813,-0.3076077,-0.33959335,-0.34801555,-0.27906275,2.825319,-0.37049964,2.4161482,-0.3451551,-0.30306643
ENSG00000164674,-0.30181074,-0.32719177,-0.24830052,-0.2625012,2.0398328,4.4723935,-0.26266992,-0.26270306,-0.25299364,-0.26369938
ENSG00000155849,-0.54593337,-0.47374213,1.3809267,-0.5856178,-0.5353174,1.6821388,-0.63077235,1.5236654,-0.41622,0.8400372
