author_cell_type,mean,std,median,count,q1,q3,f_score
Adipo,0.8888562853571429,0.030453660858050385,0.89856308,672,0.8760671425,0.9117571099999999,
Mast,0.8322251317743491,0.04711880305376271,0.84754294,1037,0.8064481,0.86619973,
Neuro,0.7612497540641712,0.09482227678532966,0.79212303,1122,0.749357225,0.811191875,
Mural,0.7385422508026099,0.13278033417882903,0.79023945,31111,0.7295353149999999,0.8146199000000001,
Fib,0.7358733134088979,0.10491701474253032,0.77064813,18730,0.70428972,0.804834505,
PKHD1L1+ EC,0.6206516891224491,0.355101021265199,0.73976438,490,0.70527915,0.764001425,
Lymph,0.6581642207583445,0.12033770633975466,0.68698335,1498,0.622622955,0.733728625,
Myel,0.5771192485242073,0.22650714654902307,0.6857549000000001,5172,0.511276375,0.72123108,0.5499282897095733
EC,0.6015494242727865,0.23526315723751556,0.6815848,10447,0.57593289,0.720280875,
CM,0.5676734545834269,0.1661277385792838,0.6205788000000001,72612,0.5382792375000001,0.669134075,
