cluster,n_cells,percentage
ABCs,10,0.03
Alveolar macrophages,16976,47.93
Classical monocytes,3380,9.54
Cycling,200,0.56
Cycling T&NK,216,0.61
DC1,79,0.22
DC2,329,0.93
Erythrophagocytic macrophages,40,0.11
ILC3,40,0.11
Intermediate macrophages,2139,6.04
Intestinal macrophages,42,0.12
MAIT,124,0.35
MNP/B doublets,10,0.03
MNP/T doublets,1313,3.71
Mast cells,823,2.32
Memory B cells,133,0.38
NK_CD16+,2771,7.82
NK_CD56bright_CD16-,462,1.3
Naive B cells,79,0.22
Nonclassical monocytes,752,2.12
Plasma cells,33,0.09
Plasmablasts,36,0.1
Progenitor,18,0.05
T/B doublets,24,0.07
T_CD4/CD8,248,0.7
Teffector/EM_CD4,947,2.67
Tem/emra_CD8,945,2.67
Tfh,79,0.22
Tgd_CRTAM+,148,0.42
Tnaive/CM_CD4,176,0.5
Tnaive/CM_CD4_activated,9,0.03
Tnaive/CM_CD8,39,0.11
Tregs,256,0.72
Trm/em_CD8,417,1.18
Trm_Tgd,17,0.05
Trm_Th1/Th17,1876,5.3
Trm_gut_CD8,82,0.23
migDC,84,0.24
pDC,63,0.18
