manual_annotation_1,mean,std,median,count,q1,q3,f_score
Plasma,0.5824706428448224,0.412101405512377,0.7311179008950313,390,0.6985288449341633,0.7461746913198082,0.8098987626546682
Mesothelial,0.6403154146976525,0.15990380591152162,0.679282080028117,163,0.6230658468753648,0.7065036421402455,0.8943781942078365
Mast,0.6262693915046578,0.208793311744735,0.6784269991182696,716,0.6223207249066437,0.709944453797512,0.96875
PNEC,0.5559786435612315,0.3538656254080259,0.6745313010883391,37,0.6405604228943674,0.6816635144208355,0.4216867469879518
Lymphatic,0.564083032101841,0.2828661422088342,0.6585371603040722,1704,0.5657366786155785,0.7089964738170292,0.9673210735586482
gCap,0.552898996363713,0.21533256110335494,0.6466305773454663,905,0.499748337641254,0.686913131319733,0.7014328557147618
Adventitial FB,0.4595021013756667,0.30613198248087864,0.6104337214707812,1619,0.38491417150131546,0.6551859299127746,0.8847910675012688
AT2,0.4021749411649414,0.3093754737533837,0.529559211498418,21125,0.3558765775640681,0.5902963300741279,0.9417169513772816
Ciliated,0.4290935676710543,0.25271235785846924,0.5123463221491975,7030,0.37181627107600257,0.5946887941990558,0.8750680457267284
pDC,0.37044665367833995,0.2714293257665849,0.48848481718114956,76,0.24898956000887174,0.565473213570727,0.847457627118644
NK,0.377182935254492,0.24660794060645344,0.4615001702742982,1870,0.36671383062903795,0.5230748575333815,0.7704833733287624
AT1,0.3254069816518239,0.24022947302714848,0.41994401848933494,3498,0.244896734341093,0.49592528090249727,0.8237105465742879
Monocyte,0.28661393363934057,0.3046288435278273,0.3976234991487228,3639,0.2612812609519313,0.5005808619964551,0.7992060866688719
cDC1,0.3463138328952996,0.18446557423855234,0.388716820610275,83,0.334114625427847,0.44845608292221906,0.5806451612903226
Alveolar macrophage,0.3030301696098012,0.20473750430408194,0.34821601482047193,5504,0.2646765259684488,0.43748755715325915,0.5567226890756303
Pericyte,0.20634533085828402,0.23654201474978961,0.3137464822061463,202,0.1088914707665524,0.3750286509533294,0.812958435207824
Secretory - SCGB1A1+/SCGB3A2+,0.2063155517478833,0.3313009003728116,0.3078209774753303,948,0.002656689279715325,0.49393657444282685,0.616235167206041
Inflamed,0.11929494504617637,0.31514623811130615,0.2290337073474193,51,-0.1023914482034224,0.3728925564856145,0.3846153846153846
SMC,0.07311597714897819,0.28571490115369447,0.191291960063502,255,-0.20586654042649735,0.34198633833850267,0.7713125845737483
Secretory - SCGB1A1+/MUC5B+,0.10508903694720843,0.2710966975986547,0.18809537537590432,2168,-0.02296903282797145,0.30286168911345446,0.7990933641975309
Interstitial macrophage,0.07289575437303417,0.30136806330280613,0.17647883709645235,326,-0.16998937262542968,0.35028256416774356,0.510989010989011
moDC,0.029671574657414376,0.3855198202644642,0.16753874235589183,1120,-0.23024066887283684,0.363843016209624,0.4301075268817204
Alveolar FB,0.1346618023889183,0.16589257258677273,0.1645965860477113,134,0.04809715200408213,0.2847691889591124,0.4568527918781725
Inflammatory monocyte,-0.012589291840789885,0.3107588977537346,0.043061965601946,7006,-0.2978332790317776,0.2767810434142836,0.5658862310878201
CD4,0.0328276750036797,0.16701369414135767,0.0414987784877955,1927,-0.0562482840308058,0.16081582009146128,0.4289821220016171
Systemic venous,-0.05118714424971498,0.34415905963192756,0.0331121319695842,327,-0.4243798645583218,0.2865533294496236,0.3200332502078138
KRT5-/KRT17+,-0.015991861190783458,0.24902399813518303,0.0129601911825427,319,-0.20337824745930183,0.20479687335948638,0.7348242811501597
Differentiating ciliated,-0.056964650845291176,0.25963075228061044,-0.0061868816852477,785,-0.2910661224782923,0.1687601038699666,0.6335844040762073
MyoFB - Activated,-0.07549469404838696,0.2652013105118589,-0.017375209976381766,82,-0.28385231842907155,0.15911931009614888,0.6318681318681318
Arteriole,-0.11404024344672009,0.24098217487128867,-0.0538860316848616,2496,-0.24915391719391577,0.07260764636476325,0.762227538543328
Venule,-0.11003052180319689,0.2471996711558049,-0.063892539475518,2439,-0.2763839005791777,0.1091016175771274,0.7857394159727923
CD8/NKT,-0.1268904969407948,0.3989551616251964,-0.1146240992459473,3621,-0.5037204451373009,0.2617257935841402,0.7489964984200188
Secretory - SCGB3A2+,-0.18518168671038,0.3011008193776202,-0.16277754224117497,680,-0.4420772983342764,0.07248780807391969,0.3922495274102079
PLIN2+ FB,-0.2371470589744089,0.2484008161207205,-0.20133964140407423,132,-0.38835346614217264,-0.04505362958083298,0.4423076923076923
aCap,-0.24012968169385274,0.2422530393932467,-0.20917348464990798,1898,-0.413096197724933,-0.042252131071722904,0.6237281237281237
cDC2,-0.16361011822685118,0.22053810813646774,-0.2189308316950876,643,-0.3468300453184239,0.046481601702869454,0.6743185078909613
Basal,-0.27075265367027795,0.26045494037286027,-0.2311277849362431,179,-0.4984781290080884,-0.0167320957209564,0.6660746003552398
Monocyte-derived macrophage,-0.21429520633230825,0.2734811049006583,-0.2378165755891249,23436,-0.4603588106600058,0.025349477220815125,0.761662746866845
B cells,-0.34330360730579407,0.14443659097970135,-0.3113248662864267,277,-0.3914150706153411,-0.2488104355733613,0.868995633187773
Transitional AT2,-0.38348739628096606,0.15169299393169194,-0.3941343918720658,755,-0.49640802636341086,-0.3007862100695996,0.3378094838438942
MyoFB,-0.4704297126216698,0.1447046441787874,-0.4411882068652765,137,-0.5070820484875741,-0.3825132256234973,0.3557312252964427
Proliferating - Epi,-0.6217388526320353,0.12186105194478472,-0.6409275256359711,1105,-0.7035796483055747,-0.5324221012152256,0.5153538050734312
Proliferating - Imm,-0.6244440653726416,0.1358927863928234,-0.641282664048848,948,-0.7087446854942222,-0.5107182514582426,0.4946879150066401
