cluster,n_cells,percentage
AT1,3498,3.4
AT2,21125,20.56
Adventitial FB,1619,1.58
Alveolar FB,134,0.13
Alveolar macrophage,5504,5.36
Arteriole,2496,2.43
B cells,277,0.27
Basal,179,0.17
CD4,1927,1.88
CD8/NKT,3621,3.52
Ciliated,7030,6.84
Differentiating ciliated,785,0.76
Inflamed,51,0.05
Inflammatory monocyte,7006,6.82
Interstitial macrophage,326,0.32
KRT5-/KRT17+,319,0.31
Lymphatic,1704,1.66
Mast,716,0.7
Mesothelial,163,0.16
Monocyte,3639,3.54
Monocyte-derived macrophage,23436,22.81
MyoFB,137,0.13
MyoFB - Activated,82,0.08
NK,1870,1.82
PLIN2+ FB,132,0.13
PNEC,37,0.04
Pericyte,202,0.2
Plasma,390,0.38
Proliferating - Epi,1105,1.08
Proliferating - Imm,948,0.92
SMC,255,0.25
Secretory - SCGB1A1+/MUC5B+,2168,2.11
Secretory - SCGB1A1+/SCGB3A2+,948,0.92
Secretory - SCGB3A2+,680,0.66
Systemic venous,327,0.32
Transitional AT2,755,0.73
Venule,2439,2.37
aCap,1898,1.85
cDC1,83,0.08
cDC2,643,0.63
gCap,905,0.88
moDC,1120,1.09
pDC,76,0.07
