cluster,count
Monocyte-derived macrophage,23436
AT2,21125
Ciliated,7030
Inflammatory monocyte,7006
Alveolar macrophage,5504
Monocyte,3639
CD8/NKT,3621
AT1,3498
Arteriole,2496
Venule,2439
Secretory - SCGB1A1+/MUC5B+,2168
CD4,1927
aCap,1898
NK,1870
Lymphatic,1704
Adventitial FB,1619
moDC,1120
Proliferating - Epi,1105
Proliferating - Imm,948
Secretory - SCGB1A1+/SCGB3A2+,948
gCap,905
Differentiating ciliated,785
Transitional AT2,755
Mast,716
Secretory - SCGB3A2+,680
cDC2,643
Plasma,390
Systemic venous,327
Interstitial macrophage,326
KRT5-/KRT17+,319
B cells,277
SMC,255
Pericyte,202
Basal,179
Mesothelial,163
MyoFB,137
Alveolar FB,134
PLIN2+ FB,132
cDC1,83
MyoFB - Activated,82
pDC,76
Inflamed,51
PNEC,37
