,b_age,b_gc,b_memory,b_naive,cd3_gd,cd4_cm,cd4_naive,cd4_tem,cd4_temra,cd4_treg,cd4_trm,cd8_cm,cd8_mait,cd8_naive,cd8_tem,cd8_temra,cd8_trm,dc1,dc2,dc_migratory,ilc1,ilc3,macrophage,mast_cell,monocyte_classical,monocyte_nonclassical,nk_cd56br,nk_cd56dim,nk_ilc_precursor,pdc,plasma_cell,plasmablast,progenitor
ENSG00000114120,0.37218812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19560133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3112706,0.0,0.15820792,0.22593321
ENSG00000177311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22195885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15263611,0.3050931,0.0
ENSG00000155903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51997304,0.0,0.0,0.0,0.0,0.17877741,0.0
ENSG00000114125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37932017,0.0,0.3851378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26018924,0.39208266,0.31704915,0.0,0.0,0.43831897,0.0,0.40178978,0.456276,0.0,0.0,0.0,0.48541364,0.108578645,0.30319193,0.30669445
ENSG00000069849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70966834,0.5087808,0.41602305,0.0,0.0,0.6664666,0.0,0.6583911,0.85271955,0.0,0.0,0.0,0.29969257,0.0,0.43227944,0.18010321
ENSG00000114127,0.34271947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091950655,0.12534457,0.0
ENSG00000175054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0536539,0.0
ENSG00000163714,0.0,0.12873305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17869778,0.27354014,0.22375277,0.0,0.0,0.15602952,0.0,0.0,0.0,0.0,0.0,0.0,0.37907407,0.0,0.44303197,0.29941377
ENSG00000175040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20313106,0.0
ENSG00000181744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1876803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29066873,0.0,0.0,0.0
