author_cell_type,mean_silhouette,std_silhouette,median_silhouette,count
b_age,0.6796535,0.26349205,0.7686858,27
b_gc,-0.05943874,0.386782,-0.049505543,22
b_memory,0.05271693,0.2997778,0.12221621,1998
b_naive,0.31869525,0.3891428,0.5047573,1262
cd3_gd,-0.15054908,0.19949488,-0.11080249,1721
cd4_cm,-0.012584613,0.33671436,0.06014354,7395
cd4_naive,0.6323503,0.20066431,0.6954727,2076
cd4_tem,-0.22510082,0.19270243,-0.17222753,7575
cd4_temra,0.44075304,0.31817898,0.5946875,1201
cd4_treg,0.20103477,0.3507604,0.39083597,3793
cd4_trm,0.25278124,0.3201441,0.39299488,4304
cd8_cm,-0.2286351,0.3512522,-0.2199361,237
cd8_mait,0.5967586,0.3995218,0.7614641,779
cd8_naive,0.44565248,0.41191167,0.63152695,995
cd8_tem,-0.27112857,0.17941205,-0.3287514,2948
cd8_temra,0.1156179,0.24007846,0.19275898,5224
cd8_trm,0.0507176,0.3389688,0.13145806,3112
dc1,0.7117133,0.22027154,0.7675048,149
dc2,-0.0072695063,0.46919402,0.20490186,1205
dc_migratory,0.7324384,0.18180782,0.79513985,221
ilc1,-0.51390857,0.15448965,-0.5298799,242
ilc3,0.24557461,0.49787015,0.51721644,266
macrophage,0.24828099,0.32681283,0.36222476,111047
mast_cell,0.8587373,0.036998387,0.86915946,2629
monocyte_classical,0.23224686,0.26733783,0.31189388,18166
monocyte_nonclassical,0.7607611,0.12101236,0.80111265,4558
nk_cd56br,0.41681004,0.38546133,0.6031501,4185
nk_cd56dim,0.30544946,0.21439047,0.37730736,22196
nk_ilc_precursor,-0.049817067,0.2528146,-0.0033846372,2158
pdc,0.9035339,0.099024355,0.9251367,228
plasma_cell,0.48616338,0.31461605,0.6082665,271
plasmablast,0.5862614,0.2615095,0.688486,625
progenitor,-0.16561477,0.2736912,-0.13376506,339
