,Adipocyte,Endothelial cell (lymphatic),Endothelial cell (vascular),Epithelial cell (basal keratinocyte),Epithelial cell (cornified keratinocyte),Epithelial cell (mature keratinocyte),Epithelial cell (suprabasal keratinocyte),Fibroblast,Immune (DC/macrophage),Immune (Langerhans),Immune (T cell),Immune (mast cell),Melanocyte,Pericyte/SMC,Sebaceous gland cell,Sweat gland cell,Unknown
PLEKHN1,0.0,0.0,0.0,0.0,0.0,0.87602913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RERE,0.0,2.042117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8184364,0.0,0.0,1.666868,1.9509559,0.0
CTNNBIP1,0.0,0.0,0.0,0.0,2.8125873,2.8622952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIF1B,0.0,0.0,0.0,0.0,0.5397584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASZ1,0.0,0.0,0.0,0.0,0.0,2.3128643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPS13D,0.0,0.0,0.0,1.5454578,0.0,1.9581814,2.4611382,0.0,0.0,0.0,0.0,0.8184364,0.0,0.0,0.0,0.0,0.0
KAZN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4209378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROCC,0.0,2.3459196,0.0,0.0,0.0,0.0,0.0,0.0,2.3924584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPB41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7328323,0.0,0.0
ZMYM4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0374017,0.0,0.0,0.0,0.0,0.0
MACF1,0.0,2.2531729,2.2914152,2.7015338,0.0,3.4826465,3.0154915,0.0,0.0,0.0,0.0,2.5172348,0.0,0.0,0.0,2.0846548,1.8465071
SMAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5137157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAF1,0.0,2.147602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0476222,0.0,0.0
EPS15,0.0,1.9477983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6417577,0.0,0.0,0.0,0.0
NRDC,0.0,0.0,0.0,0.0,0.9380439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECHDC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1215096,0.0,0.0
PLPP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.455274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFIA,0.0,2.0724728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8184364,0.0,0.0,2.9221,2.3225913,0.0
PATJ,0.0,0.0,0.0,2.388414,0.0,2.1665335,2.14961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1864836,0.0
SRSF11,0.0,0.0,0.0,2.0951133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEGR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1558044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST6GALNAC3,0.0,3.232025,2.779532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADGRL4,0.0,0.0,2.62973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCOLN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2979546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARHGAP29,0.0,0.0,1.886382,0.0,2.623782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DPYD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4887817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAV3,0.0,2.5669825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2189652,0.0,0.0,0.0,0.0,0.0
GPSM2,0.0,0.0,0.0,1.9839846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DENND2C,0.0,0.0,0.0,0.0,2.3679907,1.8878847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP1A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.721214,0.0
TXNIP,2.949812,0.0,0.0,2.3942688,0.0,0.0,0.0,0.0,2.2328486,0.0,2.0345666,0.0,0.0,0.0,3.4575074,0.0,2.893981
ECM1,0.0,0.0,0.0,0.0,2.8993654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNIPL,0.0,0.0,0.0,0.0,0.0,1.9219549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLG,0.0,0.0,0.0,0.0,3.0351186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLG2,0.0,0.0,0.0,0.0,3.6913939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCE2B,0.0,0.0,0.0,0.0,2.1934423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KPRP,0.0,0.0,0.0,0.0,1.911371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LORICRIN,0.0,0.0,0.0,0.0,3.4364386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RABGAP1L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4870176,0.0,0.0,0.0,0.0,0.0,0.0
RASAL2,0.0,0.0,1.9751025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLUL,2.7913365,0.0,0.0,0.0,0.0,0.0,0.0,3.1536555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8591888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIBAN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0445225,0.0,0.0,0.0,0.0,0.0,0.0
CFH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5402029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTPRC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9539628,0.0,0.0,0.0,0.0,0.0,0.0
PKP1,0.0,0.0,0.0,0.0,0.0,2.7913013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62673885
CHI3L1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9352088,0.0,0.0
PM20D1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4530725,0.0,0.0
SRGAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0670288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTPN14,0.0,0.0,0.0,2.0816522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESRRG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9028788,0.0
WDR26,0.0,0.0,0.0,0.0,2.932788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
