free_annotation,mean_silhouette,std_silhouette,median_silhouette,count
Adventitial Fibroblast,-0.5778097,0.2251722,-0.48966417,557
Airway Smooth Muscle,-0.7666218,0.06214285,-0.7966106,693
Alveolar Epithelial Type 1,-0.71533203,0.057888225,-0.7324388,972
Alveolar Epithelial Type 2,-0.7294656,0.111214824,-0.76368904,3814
Alveolar Fibroblast,-0.5810777,0.097851306,-0.5790012,1296
Artery,-0.5633858,0.122556336,-0.55420315,1484
B,-0.57711035,0.15325485,-0.55984706,250
Basal,-0.8072082,0.060941797,-0.8177184,430
Basophil/Mast 1,-0.66465527,0.14242855,-0.7116376,1349
Basophil/Mast 2,0.7518952,0.06087923,0.76488096,552
Bronchial Vessel 1,-0.677655,0.073902845,-0.6987378,455
Bronchial Vessel 2,-0.7340997,0.048307296,-0.7429419,235
CD4+ Memory/Effector T,-0.30818963,0.25642323,-0.20926228,2419
CD4+ Naive T,-0.5168121,0.18712236,-0.44312263,288
CD8+ Memory/Effector T,-0.6309026,0.1188057,-0.62146765,771
CD8+ Naive T,-0.6521599,0.20358461,-0.7418935,1411
Capillary,-0.6666628,0.11510302,-0.6805423,7391
Capillary Aerocyte,-0.7449372,0.11206586,-0.74524474,4352
Capillary Intermediate 1,0.695421,0.16892967,0.74232876,628
Capillary Intermediate 2,0.7195535,0.2353856,0.7828585,464
Ciliated,-0.8182586,0.10558417,-0.7767694,1321
Classical Monocyte,-0.75424117,0.21533866,-0.8097973,1013
Club,-0.7869671,0.055498566,-0.79203665,926
Differentiating Basal,-0.83273757,0.13806574,-0.8882055,249
EREG+ Dendritic,-0.6355698,0.18247153,-0.7075207,142
Fibromyocyte,0.74016744,0.20851101,0.7865552,98
Goblet,0.6978569,0.18976663,0.76023877,159
IGSF21+ Dendritic,-0.74065423,0.17502283,-0.8154979,278
Intermediate Monocyte,0.6765131,0.20071164,0.7513411,188
Ionocyte,-0.71174407,0.12026624,-0.7234646,22
Lipofibroblast,0.8540985,0.21012801,0.9115506,35
Lymphatic,-0.6020516,0.22068554,-0.4358815,467
Macrophage,-0.6720899,0.105212644,-0.6778619,14734
Mesothelial,0.52900285,0.27135265,0.6256926,29
Mucous,-0.64059854,0.19535811,-0.5681746,491
Myeloid Dendritic Type 1,-0.8138218,0.15941323,-0.8666415,130
Myeloid Dendritic Type 2,-0.7044377,0.17742214,-0.76175106,236
Myofibroblast,-0.85496217,0.06425718,-0.87677026,248
Natural Killer,-0.5503309,0.20075849,-0.48711938,4250
Natural Killer T,-0.4137857,0.18818524,-0.3131688,335
Neuroendocrine,0.7522091,0.13590007,0.7898291,11
Nonclassical Monocyte,-0.7829346,0.20645644,-0.8351686,604
OLR1+ Classical Monocyte,0.68259716,0.17678937,0.734965,207
Pericyte,-0.43751502,0.14566311,-0.4017449,1608
Plasma,0.43328056,0.3839782,0.57099533,181
Plasmacytoid Dendritic,-0.674966,0.14477743,-0.70443684,116
Platelet/Megakaryocyte,-0.78435236,0.10616191,-0.78501356,11
Proliferating Basal,-0.8342448,0.11219773,-0.87621194,45
Proliferating Macrophage,-0.6508937,0.09401372,-0.60536706,226
Proliferating NK/T,-0.43886808,0.27092072,-0.51937217,101
Proximal Basal,0.5890639,0.23202436,0.6682401,157
Proximal Ciliated,0.83685094,0.054934133,0.8512057,88
Serous,0.97170943,0.055471934,0.98371136,24
Signaling Alveolar Epithelial Type 2,0.45350748,0.2832044,0.58352125,669
TREM2+ Dendritic,-0.5428925,0.1602454,-0.6407565,159
Vascular Smooth Muscle,-0.50578374,0.15397525,-0.44755635,469
Vein,-0.7545281,0.05762228,-0.75841314,1155
