cluster,count
Macrophage,14734
Capillary,7391
Natural Killer,4769
Capillary Aerocyte,4352
Alveolar Epithelial Type 2,3814
CD4+ Memory/Effector T,3013
Classical Monocyte,2077
CD8+ Naive T,2042
Pericyte,1608
Artery,1484
Basophil/Mast 1,1350
Ciliated,1321
Alveolar Fibroblast,1296
CD8+ Memory/Effector T,1190
Vein,1155
Alveolar Epithelial Type 1,972
CD4+ Naive T,932
Club,931
Nonclassical Monocyte,804
B,725
Airway Smooth Muscle,693
Signaling Alveolar Epithelial Type 2,669
Capillary Intermediate 1,628
Adventitial Fibroblast,557
Basophil/Mast 2,552
Mucous,491
Vascular Smooth Muscle,469
Lymphatic,467
Capillary Intermediate 2,464
Bronchial Vessel 1,455
Basal,436
Natural Killer T,335
IGSF21+ Dendritic,280
Myeloid Dendritic Type 2,266
Differentiating Basal,265
Myofibroblast,248
Bronchial Vessel 2,235
Proliferating Macrophage,226
OLR1+ Classical Monocyte,207
Intermediate Monocyte,188
Plasma,187
Goblet,159
TREM2+ Dendritic,159
Proximal Basal,157
EREG+ Dendritic,142
Plasmacytoid Dendritic,137
Myeloid Dendritic Type 1,131
Proliferating NK/T,105
Fibromyocyte,98
Proximal Ciliated,88
Proliferating Basal,47
Platelet/Megakaryocyte,40
Lipofibroblast,35
Mesothelial,29
Serous,24
Ionocyte,22
Neuroendocrine,11
