cell_label,mean_silhouette,std_silhouette,median_silhouette,count
acinar,0.5761600262186368,0.25272689543006804,0.6627502373994406,6978
acinar_minor_mhcclassII,0.1227931333222596,0.3285390680246304,0.2104161659406732,144
alpha,0.06998208092600608,0.2527661301857323,0.16270212488853736,8826
beta_major,-0.29016245791433265,0.2307207793270372,-0.3371494822907548,7287
beta_minor,-0.3646102829930539,0.31503073216751437,-0.40775693769597804,1372
delta,-0.09050887279705001,0.1976998435377178,-0.05246674544228354,957
duct_acinar_related,-0.2616490460634625,0.28474505922554894,-0.36800805492136746,1522
duct_major,0.28883205693958813,0.23528477059585715,0.40359138531501443,335
endothelial,0.3365211547531795,0.3474358304988891,0.49401947618171693,1016
epsilon,0.29853730971620207,0.24266189467099733,0.443678362938387,152
hybrid,-0.5396014621611417,0.23359075071153615,-0.6190754864966446,2564
immune_stellates,0.5688161342660565,0.47360376797122805,0.7459481139886566,195
pp,-0.3088310305871853,0.1383798285599769,-0.3016860597214743,373
stellates,0.6083672477189833,0.19207745340333973,0.663331201698318,602
