,CNT,DCT1,DCT2,ENDO,FIB,ICA,ICB,LEUK,MES,PC,PEC,PODO,PT,PT_VCAM1,TAL
ENSG00000166833,0.0,0.6931472,0.6931472,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.6931472
ENSG00000165973,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472
ENSG00000148942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.609438,0.0,0.0
ENSG00000205213,0.6931472,1.0986123,1.0986123,0.0,0.0,1.0986123,1.0986123,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.6931472,0.6931472
ENSG00000169519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000066382,1.0986123,0.0,0.0,0.0,0.0,1.609438,0.0,0.0,0.0,1.0986123,0.0,0.0,0.0,0.0,0.0
ENSG00000184937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,0.0,0.0
ENSG00000110422,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000166016,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862944,0.0,0.0,0.0,0.0,0.0
ENSG00000052841,0.6931472,0.6931472,0.6931472,0.0,0.6931472,0.6931472,0.0,0.0,0.6931472,0.6931472,0.6931472,0.0,0.0,0.6931472,0.6931472
ENSG00000149084,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000149177,0.0,0.0,0.0,0.0,0.0,1.3862944,1.0986123,0.6931472,0.0,0.0,1.0986123,0.0,0.6931472,0.6931472,0.0
ENSG00000149124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.6931472,0.0
ENSG00000197901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,0.0
ENSG00000245532,1.9459101,1.3862944,1.3862944,2.0794415,2.0794415,1.7917595,1.7917595,2.3025851,1.7917595,1.9459101,1.9459101,2.3978953,2.5649493,2.1972246,1.3862944
ENSG00000251562,5.3082676,5.42495,5.1532917,4.6728287,4.962845,5.117994,5.1416636,4.6728287,5.2522736,5.26269,5.007291,5.236442,4.9416423,4.9272537,5.1119876
ENSG00000175115,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173715,0.6931472,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,1.0986123,0.0,0.0,0.0,0.0,0.0
ENSG00000110075,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.6931472,0.6931472,0.0,0.6931472,0.6931472,0.6931472,0.0,0.0,0.0,0.6931472
ENSG00000162105,0.6931472,0.6931472,0.6931472,0.0,0.0,0.6931472,1.0986123,0.0,0.0,0.6931472,0.6931472,0.0,0.6931472,0.6931472,0.6931472
ENSG00000137478,0.0,0.0,0.0,1.0986123,0.0,0.0,0.0,1.0986123,0.6931472,0.0,0.6931472,0.6931472,0.0,0.0,0.0
ENSG00000171533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000198382,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000149269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000150672,0.6931472,0.0,0.0,0.6931472,1.3862944,0.0,0.0,0.6931472,0.6931472,1.3862944,1.3862944,2.0794415,1.7917595,1.3862944,0.0
ENSG00000073921,0.6931472,0.6931472,0.6931472,1.0986123,1.0986123,1.0986123,1.3862944,1.0986123,1.0986123,0.6931472,0.6931472,1.0986123,0.0,1.0986123,0.0
ENSG00000151376,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000086991,0.0,0.0,0.0,0.0,1.0986123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,0.0
ENSG00000184384,1.3862944,2.0794415,2.0794415,0.6931472,1.0986123,0.0,0.0,0.6931472,1.0986123,1.0986123,1.3862944,1.0986123,0.6931472,1.3862944,1.3862944
ENSG00000165895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000137672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000137693,0.6931472,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0
ENSG00000187240,0.6931472,0.6931472,1.0986123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000149311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000110723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,0.0,0.0
ENSG00000170145,0.0,0.6931472,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.6931472,0.3465736,0.0,0.0,0.6931472,0.0
ENSG00000109846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0
ENSG00000150782,0.0,0.0,0.0,0.0,0.0,0.6931472,1.3862944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000109906,0.0,0.0,0.0,1.609438,1.609438,0.6931472,1.3862944,0.6931472,1.7917595,0.0,1.3862944,0.6931472,1.0986123,1.3862944,1.0986123
ENSG00000182985,0.0,1.0986123,1.0986123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160584,1.0986123,1.0986123,1.0986123,0.6931472,0.6931472,1.0986123,1.3862944,0.6931472,1.0986123,1.0986123,1.0986123,1.0986123,0.6931472,0.6931472,1.0986123
ENSG00000177103,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472
ENSG00000196914,0.6931472,0.0,0.0,0.6931472,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,1.3862944,0.0,0.0,0.0
ENSG00000023171,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,0.0
ENSG00000149571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0
ENSG00000134954,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
