Curated_annotation,mean,std,median,count,q1,q3,f_score
Small pre-B cells,0.8027288361904762,0.16782181126671822,0.8475599,42,0.821034595,0.8632986125,0.5882352941176471
Megakaryocytes/platelets,0.6896955207547171,0.10785571486187882,0.72959125,53,0.66446,0.75948143,0.960698689956332
Non-classical monocytes,0.6256220771477627,0.17312515074457122,0.6794169,961,0.62436646,0.72125417,0.6991735537190082
Plasmablasts,0.4915770350168675,0.33378861506117624,0.67483777,249,0.37760773,0.70170283,0.7874519846350833
Cycling T&NK,0.6137416225036765,0.22662958642248834,0.66696975,816,0.5973717249999999,0.7122631374999999,0.766897746967071
CD16- NK cells,0.5548944824096386,0.2531505172322483,0.655877735,498,0.5483538775000001,0.6896272625000001,0.513136288998358
Late erythroid,0.591279197974026,0.20132133152297108,0.6555352,77,0.5912858,0.6906493,0.8722741433021807
NAMPT neutrophils,0.5260172320902935,0.17804710990223618,0.5808133,443,0.5063500400000001,0.6346115800000001,0.7491638795986622
DC precursor,0.4435934781970588,0.2706723748441641,0.5436534749999999,238,0.40217780000000003,0.627818575,0.4411764705882353
Plasma cells,0.4084257110055179,0.25576027157080905,0.51040304,1033,0.33734423,0.5879853,0.8099646065886197
CD24 neutrophils,0.44291736484714955,0.2038095968104754,0.5094766,2333,0.42005306,0.5677131,0.9378668834100966
pDC precursor,0.33244134875267173,0.3212023966468352,0.480156305,524,0.22108516250000002,0.5379802499999999,0.7612781954887218
Mast cells,0.32889394569830116,0.28046761474999576,0.45111686,259,0.250184885,0.53179405,0.8592910848549946
Naive B cells,0.26407521060800987,0.38748248343612623,0.44644874,1211,0.11188832,0.537994205,0.8552744794355532
MAIT cells,0.2811482681926136,0.28254054867354306,0.402055755,704,0.14093416,0.4921541025,0.5626520681265207
Early MK,0.3317151627930556,0.20335826430690226,0.38587650500000004,216,0.25792369000000004,0.47870563,0.7663316582914573
pDC,0.08266014055082987,0.5048576833927414,0.38166668000000004,482,0.001342312125,0.40174942999999996,0.7843894899536321
ETP,0.1960153796035238,0.2606603070515272,0.29891437,105,0.10593465,0.39117947,0.4380165289256198
Tcm/Naive cytotoxic T cells,0.1806038467329513,0.15729274008677502,0.238069465,698,0.1527426375,0.28744163500000003,0.7294072363356428
DC1,0.07822578723835616,0.29742660248500025,0.2109557,73,0.0053101024,0.2772097,0.7960199004975125
GMP,0.15420191089556745,0.23123484710972278,0.19715035,467,0.0237954185,0.35627960000000003,0.3173777315296566
Tem/Temra cytotoxic T cells,0.13530180394263797,0.23895130494204805,0.19259298,7013,0.0032716303,0.3223661,0.7757735410992543
CRTAM+ gamma-delta T cells,0.097514832895186,0.21675108300673224,0.1710351,1371,-0.092920305,0.294521315,0.5285050159040862
Classical monocytes,0.013811965334961129,0.40526325816664055,0.16098478,7615,-0.37594032499999996,0.37845436,0.9135996612937368
HSC/MPP,-0.009142725423657823,0.36556213293713535,0.1127479525,4448,-0.3086388,0.32577431749999997,0.8589618021547503
Megakaryocyte precursor,-0.026783534045591938,0.2962027014289329,0.0823484,397,-0.2151663,0.20644383,0.4079933388842631
Tem/Effector helper T cells,0.04077789739204488,0.14960443134852755,0.06413428,1604,-0.07921865,0.17733343499999998,0.2834158415841584
Mid erythroid,-0.025806190427550335,0.27570467209373023,0.060674304,894,-0.12949924999999998,0.1952749675,0.7091737150292778
MEMP,-0.026032022090861615,0.3147991179170192,0.027769821,766,-0.265970985,0.2596569675,0.4676674364896074
Follicular helper T cells,0.010125930910964285,0.147892328499287,0.019629935,280,-0.09820419999999999,0.13364115499999998,0.2120535714285714
Age-associated B cells,-0.058324201444444446,0.2047281936655928,0.018394614,135,-0.15709678500000002,0.08550286,0.4034582132564842
Memory B cells,0.00782870305799246,0.17709295369341,0.00863628,1061,-0.09017975,0.15917803,0.5794254849005647
CD16+ NK cells,-0.06514286000502792,0.2873399789773748,0.0030939043,8779,-0.265639705,0.178251445,0.8057650777753435
Early erythroid,-0.09618240461588672,0.30044432485247946,-0.057541825,1889,-0.34234408,0.1723204,0.7017543859649122
Promyelocytes,-0.113602257858125,0.23999672351775092,-0.106767435,400,-0.288903205,0.07726159499999999,0.3078817733990148
DC2,-0.15029653697512438,0.21270403748732325,-0.10725125,201,-0.19339,-0.0021250965,0.6660412757973734
Erythrocytes,-0.15999802879166666,0.26368299623566843,-0.13546611,48,-0.24883506500000002,0.06204502,0.4347826086956521
Tem/Trm cytotoxic T cells,-0.16491578560959758,0.17747783365160016,-0.16276126,4771,-0.29042616499999996,-0.031247789,0.7331815471350355
Regulatory T cells,-0.14009544661181034,0.224267112417093,-0.173769145,580,-0.32667154,0.09881193875,0.3992537313432835
CMP,-0.2156378934219654,0.1822705709347854,-0.23058492,636,-0.34167878,-0.1001958895,0.4739978331527627
Tcm/Naive helper T cells,-0.2760686508103232,0.1523236100001243,-0.233501315,7982,-0.314974255,-0.1644016275,0.7033437325013999
ELP,-0.2745096679519481,0.1725656583656848,-0.244905745,154,-0.4113775825,-0.12423609,0.3222222222222222
Neutrophil-myeloid progenitor,-0.38100211649851634,0.1434687710240602,-0.35538921,2022,-0.4304599075,-0.2811519825,0.5491931285788652
Neutrophils,-0.3135653518180838,0.2436344267444612,-0.371422025,334,-0.480848105,-0.07017651125,0.0930232558139534
Pro-B cells,-0.36144062911255853,0.3607132149045524,-0.5281128,1751,-0.6538399749999999,-0.018413443,0.9084349993440902
