software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,Curated_annotation,DC1,73,0.7960199004975125,1.0,0.4383561643835616,66540,0,41,32,2,"['ENSG00000118292', 'ENSG00000173578']","['ENSG00000197992', 'ENSG00000118292', 'ENSG00000123685', 'ENSG00000173578', 'ENSG00000131203', 'ENSG00000100079', 'ENSG00000131400', 'ENSG00000109684', 'ENSG00000128815', 'ENSG00000106066']",1.0
4.1,Curated_annotation,pDC,482,0.7843894899536321,1.0,0.4211618257261411,66131,0,279,203,2,"['ENSG00000171611', 'ENSG00000230138']","['ENSG00000105251', 'ENSG00000198178', 'ENSG00000171611', 'ENSG00000230138', 'ENSG00000125869', 'ENSG00000184709', 'ENSG00000198467', 'ENSG00000103056', 'ENSG00000106537', 'ENSG00000148154']",1.0
4.1,Curated_annotation,Mast cells,259,0.8592910848549946,0.9523809523809524,0.6177606177606177,66346,8,99,160,2,"['ENSG00000140287', 'ENSG00000105205']","['ENSG00000140287', 'ENSG00000105205', 'ENSG00000149534', 'ENSG00000186652', 'ENSG00000187609', 'ENSG00000163106', 'ENSG00000182240', 'ENSG00000163751', 'ENSG00000100368', 'ENSG00000179348']",1.0
4.1,Curated_annotation,Megakaryocyte precursor,397,0.4079933388842631,0.4875621890547263,0.2468513853904282,66113,103,299,98,3,"['ENSG00000184226', 'ENSG00000163751', 'ENSG00000186998']","['ENSG00000184226', 'ENSG00000185630', 'ENSG00000144893', 'ENSG00000163751', 'ENSG00000179348', 'ENSG00000186998', 'ENSG00000180354', 'ENSG00000168734', 'ENSG00000103381', 'ENSG00000120594']",0.2114349901676178
4.1,Curated_annotation,HSC/MPP,4448,0.8589618021547503,0.8785374405209116,0.7886690647482014,61680,485,940,3508,1,['ENSG00000101200'],"['ENSG00000101200', 'ENSG00000133169', 'ENSG00000110492', 'ENSG00000107281', 'ENSG00000145708', 'ENSG00000164929', 'ENSG00000003436', 'ENSG00000113389', 'ENSG00000174099', 'ENSG00000174059']",1.0
4.1,Curated_annotation,Mid erythroid,894,0.7091737150292778,0.8,0.4876957494407158,65610,109,458,436,2,"['ENSG00000075340', 'ENSG00000198336']","['ENSG00000128274', 'ENSG00000170180', 'ENSG00000075340', 'ENSG00000055118', 'ENSG00000198336', 'ENSG00000206172', 'ENSG00000158578', 'ENSG00000166947', 'ENSG00000169877', 'ENSG00000112077']",0.4506535530090332
4.1,Curated_annotation,Early erythroid,1889,0.7017543859649122,0.7069154774972558,0.6818422445738486,64190,534,601,1288,2,"['ENSG00000130208', 'ENSG00000168754']","['ENSG00000130203', 'ENSG00000130208', 'ENSG00000119888', 'ENSG00000168754', 'ENSG00000055118', 'ENSG00000106327', 'ENSG00000119865', 'ENSG00000005961', 'ENSG00000133742', 'ENSG00000169877']",0.2962757647037506
4.1,Curated_annotation,MEMP,766,0.4676674364896074,0.5305676855895196,0.3172323759791122,65632,215,523,243,4,"['ENSG00000125538', 'ENSG00000005961', 'ENSG00000119865', 'ENSG00000163751']","['ENSG00000125538', 'ENSG00000005961', 'ENSG00000119865', 'ENSG00000163751', 'ENSG00000187699', 'ENSG00000168734', 'ENSG00000179348', 'ENSG00000132792', 'ENSG00000170891', 'ENSG00000102145']",0.203942209482193
4.1,Curated_annotation,Early MK,216,0.7663316582914573,0.8413793103448276,0.5648148148148148,66374,23,94,122,2,"['ENSG00000103175', 'ENSG00000049323']","['ENSG00000110799', 'ENSG00000103175', 'ENSG00000137825', 'ENSG00000184500', 'ENSG00000049323', 'ENSG00000166091', 'ENSG00000165682', 'ENSG00000259207', 'ENSG00000169704', 'ENSG00000163737']",0.9540358781814576
4.1,Curated_annotation,Plasmablasts,249,0.7874519846350833,0.924812030075188,0.4939759036144578,66354,10,126,123,2,"['ENSG00000048462', 'ENSG00000171848']","['ENSG00000239264', 'ENSG00000048462', 'ENSG00000171241', 'ENSG00000240505', 'ENSG00000101057', 'ENSG00000171848', 'ENSG00000110777', 'ENSG00000132465', 'ENSG00000166562', 'ENSG00000089685']",0.4708941280841827
