,Age-associated B cells,CD16+ NK cells,CD16- NK cells,CD24 neutrophils,CMP,CRTAM+ gamma-delta T cells,Classical monocytes,Cycling T&NK,DC precursor,DC1,DC2,ELP,ETP,Early MK,Early erythroid,Erythrocytes,Follicular helper T cells,GMP,HSC/MPP,Late erythroid,MAIT cells,MEMP,Mast cells,Megakaryocyte precursor,Megakaryocytes/platelets,Memory B cells,Mid erythroid,NAMPT neutrophils,Naive B cells,Neutrophil-myeloid progenitor,Neutrophils,Non-classical monocytes,Plasma cells,Plasmablasts,Pro-B cells,Promyelocytes,Regulatory T cells,Small pre-B cells,Tcm/Naive cytotoxic T cells,Tcm/Naive helper T cells,Tem/Effector helper T cells,Tem/Temra cytotoxic T cells,Tem/Trm cytotoxic T cells,pDC,pDC precursor
USP15,0.3407583372159438,0.0,0.0,0.6106478964740579,0.3491317467256026,0.0,0.48101289163936267,0.3405897630886598,0.34652814404530957,0.32446089116009796,0.34564646672118793,0.3504831154238094,0.45120158385146747,0.4237327372485941,0.4373819340359081,0.566316695375876,0.38702954622832214,0.3590989735993472,0.3852953612804413,0.7216136252338236,0.0,0.4264949709177017,0.36794171820987354,0.41156050291928375,0.0,0.0,0.5025556141679938,0.7119953984564001,0.0,0.34335466677492316,0.46765605157071893,0.36806636371395807,0.0,0.3181818181818182,0.3529817448420958,0.3907579170031981,0.4957926557822661,0.0,0.0,0.0,0.0,0.0,0.0,0.41236806593158026,0.41699554974382574
USP22,0.0,0.0,0.0,0.0,0.6738925467837941,0.0,0.0,0.0,0.6271049190651287,0.5994208685376428,0.6068985692479394,0.7001999088309028,0.0,0.726029093969952,0.6900433112274517,0.622439219193025,0.0,0.6304724230007692,0.6670716851949692,0.0,0.0,0.7059746750376441,0.7015313262289221,0.7025623727928508,0.0,0.0,0.6145766106518832,0.0,0.0,0.6116655279289592,0.0,0.0,0.0,0.5909090909090909,0.6609236598014832,0.6148571575229819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6505427103150975
USP24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9545454545454546,0.0,0.9937336011366411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9768079261888157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP3,0.0,0.0,0.0,0.8751801618120887,0.0,0.0,0.8763200708410956,0.0,0.8388525938445871,0.0,0.8387101875110106,0.0,0.0,0.7727272727272727,0.784291847185655,0.0,0.0,0.7744942889972166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9257718582044948,0.0,0.0,0.0,0.8337001136758111,0.0,0.7748245122757825,0.0,0.8173408752137964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9772727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9940051192587073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9332686283371665,0.916050442240455,0.9264288016340949,0.0,0.0,0.0,0.0,0.0,0.9183689315210689,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP34,0.0,0.0,0.0,0.0,0.6413663585077632,0.0,0.0,0.7345301698554646,0.6277530640363693,0.0,0.6679803905161944,0.663276731967926,0.0,0.7168103903532028,0.6670587767254222,0.721819361502474,0.0,0.6430618058551442,0.6284056780013171,0.0,0.0,0.6861958259885962,0.5996574840762399,0.7089459841901605,0.0,0.0,0.651630851355466,0.0,0.0,0.602712941440669,0.0,0.0,0.0,0.6071649126031182,0.0,0.6298737878149206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5909090909090909,0.6215206222100691
USP36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
