clusterName,gene
Pro-B cells,ENSG00000107447
Pro-B cells,ENSG00000169575
ELP,ENSG00000132744
ELP,ENSG00000107447
ELP,ENSG00000169575
ELP,ENSG00000128040
ETP,ENSG00000132744
pDC precursor,ENSG00000167483
pDC precursor,ENSG00000166428
pDC precursor,ENSG00000148154
DC precursor,ENSG00000014914
DC precursor,ENSG00000196141
DC precursor,ENSG00000184640
DC precursor,ENSG00000126759
Promyelocytes,ENSG00000005381
Promyelocytes,ENSG00000143546
Promyelocytes,ENSG00000124882
GMP,ENSG00000176076
GMP,ENSG00000182578
GMP,ENSG00000005381
Neutrophil-myeloid progenitor,ENSG00000100448
Neutrophil-myeloid progenitor,ENSG00000005381
CMP,ENSG00000163751
CMP,ENSG00000100448
CMP,ENSG00000005381
CMP,ENSG00000245848
CMP,ENSG00000128040
Erythrocytes,ENSG00000189316
Erythrocytes,ENSG00000253154
Erythrocytes,ENSG00000196632
Erythrocytes,ENSG00000124440
Erythrocytes,ENSG00000213088
Small pre-B cells,ENSG00000135144
Small pre-B cells,ENSG00000107902
Naive B cells,ENSG00000100721
Memory B cells,ENSG00000082438
Memory B cells,ENSG00000156738
Age-associated B cells,ENSG00000184293
Age-associated B cells,ENSG00000137101
DC2,ENSG00000168913
DC2,ENSG00000135549
DC2,ENSG00000131724
DC1,ENSG00000118292
DC1,ENSG00000173578
pDC,ENSG00000171611
pDC,ENSG00000230138
Mast cells,ENSG00000140287
Mast cells,ENSG00000105205
Megakaryocyte precursor,ENSG00000184226
Megakaryocyte precursor,ENSG00000163751
Megakaryocyte precursor,ENSG00000186998
HSC/MPP,ENSG00000101200
Mid erythroid,ENSG00000075340
Mid erythroid,ENSG00000198336
Early erythroid,ENSG00000130208
Early erythroid,ENSG00000168754
MEMP,ENSG00000125538
MEMP,ENSG00000005961
MEMP,ENSG00000119865
MEMP,ENSG00000163751
Early MK,ENSG00000103175
Early MK,ENSG00000049323
Plasmablasts,ENSG00000048462
Plasmablasts,ENSG00000171848
Plasma cells,ENSG00000115884
Plasma cells,ENSG00000099958
Late erythroid,ENSG00000133069
Late erythroid,ENSG00000004939
CD24 neutrophils,ENSG00000118113
NAMPT neutrophils,ENSG00000162551
NAMPT neutrophils,ENSG00000112303
Neutrophils,ENSG00000210082
Neutrophils,ENSG00000163162
Neutrophils,ENSG00000143546
Megakaryocytes/platelets,ENSG00000101162
Megakaryocytes/platelets,ENSG00000163736
Classical monocytes,ENSG00000038427
Classical monocytes,ENSG00000163221
Non-classical monocytes,ENSG00000166927
Non-classical monocytes,ENSG00000142089
Cycling T&NK,ENSG00000137804
Cycling T&NK,ENSG00000137441
CD16+ NK cells,ENSG00000115523
CD16+ NK cells,ENSG00000169583
CD16- NK cells,ENSG00000117281
CD16- NK cells,ENSG00000196781
CD16- NK cells,ENSG00000113088
Tem/Temra cytotoxic T cells,ENSG00000137441
Tem/Temra cytotoxic T cells,ENSG00000172116
Tem/Temra cytotoxic T cells,ENSG00000115523
Tem/Trm cytotoxic T cells,ENSG00000172116
Tem/Trm cytotoxic T cells,ENSG00000113088
CRTAM+ gamma-delta T cells,ENSG00000205810
CRTAM+ gamma-delta T cells,ENSG00000227191
CRTAM+ gamma-delta T cells,ENSG00000113088
MAIT cells,ENSG00000111796
MAIT cells,ENSG00000139187
MAIT cells,ENSG00000113088
Regulatory T cells,ENSG00000163599
Regulatory T cells,ENSG00000139193
Regulatory T cells,ENSG00000090104
Tem/Effector helper T cells,ENSG00000102871
Tem/Effector helper T cells,ENSG00000165272
Tem/Effector helper T cells,ENSG00000141232
Follicular helper T cells,ENSG00000102245
Follicular helper T cells,ENSG00000134352
Follicular helper T cells,ENSG00000122417
Tcm/Naive helper T cells,ENSG00000237943
Tcm/Naive helper T cells,ENSG00000184557
Tcm/Naive cytotoxic T cells,ENSG00000256039
Tcm/Naive cytotoxic T cells,ENSG00000126353
Tcm/Naive cytotoxic T cells,ENSG00000172116
