Curated_annotation,mean,std,median,count,q1,q3,f_score
B cells,0.752532790866092,0.16096767665528067,0.8163134,1392,0.75735715,0.8381704750000001,0.8673044925124792
dM-FIB,0.7570171865616045,0.18495314640145666,0.80202442,698,0.754202625,0.82877757,0.3501827040194884
VSMC,0.747861578901099,0.11301636228351092,0.78553625,546,0.7302073250000001,0.807291105,0.6504599211563732
dVSMC,0.7328498338256088,0.22828257653953804,0.78209203,1273,0.7308501,0.81405306,0.8006984285357944
PEC,0.6721326818666666,0.19478528800540792,0.7133592,1050,0.673619725,0.74084675,0.688550840672538
IC-A,0.6445611944076357,0.1561425332257215,0.7029885,5029,0.63168734,0.7325013,0.8521153532830066
NK cells,0.5479519970506455,0.30051649103753464,0.6760078,2014,0.5532400875,0.7072776625,0.8125171561899533
Podocytes,0.48523533847792344,0.27045137367881145,0.631750525,1984,0.3167274,0.6629832800000001,0.9166666666666666
IMCD,0.5626240352941269,0.10619146711094729,0.58532065,6351,0.5108985500000001,0.6451753499999999,0.9009386858398244
T cells,0.36897827576108055,0.31748668227398585,0.49855423,6663,0.266250185,0.590562555,0.8509976140253812
PT,0.3841186532291928,0.20573299619776148,0.43833506499999997,19500,0.2464846675,0.5548988625,0.90190465999679
EC-AVR,0.2133682226656783,0.35459735320005964,0.43554192999999997,2698,-0.17833144,0.4940356275,0.7016944520360754
Myeloid,0.32392669361404497,0.14677647003588598,0.36431571500000004,1958,0.2643541875,0.429242285,0.6442809682012339
DCT,0.13125802745259815,0.3859750406901186,0.3602283,9757,-0.40667072,0.415017,0.8755233329929542
PT-S3,0.2543918734268688,0.21029470375715828,0.34284802000000003,2028,0.12961657,0.4162546275,0.4173397953688745
T/NK,0.2637085937887106,0.22867570441279136,0.33662908999999996,2474,0.2094550975,0.4221990775,0.6396981396981397
M-FIB,0.17459661366198115,0.30943203429342214,0.317212195,5204,-0.10144662500000001,0.4403332225,0.785973752050621
FIB/aFIB,0.26568311839971065,0.17063656288821372,0.3080516,2419,0.20330692,0.38942354999999995,0.6317110584297866
dC-IC-A,0.19582879667756195,0.1858643079587199,0.27124793999999997,1784,0.112535175,0.33958547,0.4986376021798365
dATL,0.047992669118181334,0.3259662862987849,0.23164995,3750,-0.2774709425,0.32120421499999996,0.5818637056390159
Non-classical monocytes,0.13570372138635317,0.22338239375492358,0.2174187,1093,-0.037649516,0.32809764,0.8049414824447334
EC-GC,0.05505228547632883,0.30348170246894024,0.19179578,3631,-0.21160657,0.309214415,0.7611909860303865
PT-S1/2,0.1129150533245187,0.21106999439372617,0.1747364,9173,-0.040951006,0.29000923,0.5958678510829424
EC-AEA,-0.020651111509687778,0.3264552735780891,0.1533283,1121,-0.46146768,0.2342445,0.5564232721593128
DC2,0.04228506072402036,0.1582044882745396,0.07614653,393,0.013659899,0.13164638,0.438821268417681
EC-LYM,-0.035196583357723576,0.21333454170955662,0.067564237,246,-0.2157729225,0.1465826225,0.6968810916179338
CCD-IC-A,-0.015671062400885352,0.19985514215214376,-0.0185313645,3332,-0.1912160725,0.1929930725,0.5902030144570901
DC,-0.06054473160413566,0.141130365732584,-0.0349512005,1828,-0.10435624,0.022685876,0.7146661931818182
Classical monocytes,-0.02986754441355805,0.21033811101259134,-0.039842903,534,-0.1839503725,0.1673492,0.7771428571428571
EC-PTC,-0.19541754585505292,0.12798008589795712,-0.157337465,8242,-0.26665383249999997,-0.10913123899999999,0.6607629427792916
CNT,-0.18658620886453803,0.1591810418777684,-0.173834055,8110,-0.30486525000000003,-0.05440667975,0.5503620199798369
PC,-0.1849758963495304,0.12902848680084825,-0.210111405,12262,-0.2816891375,-0.07335151250000001,0.6495972758823915
DTL,-0.2579027611154063,0.17049685578721008,-0.212497725,6432,-0.3734780875,-0.1298504975,0.5070364238410596
aTAL,-0.2762128304556853,0.283907817282908,-0.21675287,6110,-0.5052940775,-0.014133946,0.5721875957903341
dPT,-0.25083825181711294,0.2397956464896273,-0.22823988499999998,7996,-0.4736829125,-0.0103112435,0.5697200074170221
C-TAL,-0.32408422391513864,0.19945371901661943,-0.320570735,18324,-0.4412854425,-0.13683839750000001,0.7134425395902949
EC-DVR,-0.3154630844833333,0.06852532068486389,-0.324762835,3000,-0.37521645,-0.259406075,0.5796783625730995
IC-B,-0.30747315763924843,0.1413834501782675,-0.33138666,2395,-0.3847717,-0.17759317000000002,0.7327376116978067
M-TAL,-0.3147868195530579,0.24423422339254514,-0.38285437,7381,-0.48682246,-0.079025954,0.5177546705785908
aPT,-0.5169019882403355,0.1413724619645288,-0.5500064,10968,-0.62618565,-0.3922533425,0.5400966782350025
VSMC/P,-0.6953787073638797,0.08476477840327068,-0.71069795,3361,-0.75718266,-0.63990337,0.533066132264529
