Curated_annotation,mean_silhouette,std_silhouette,median_silhouette,count
Age-associated B cells,-0.058324203,0.20472819,0.018394614,135
CD16+ NK cells,-0.06514286,0.28734,0.0030939043,8779
CD16- NK cells,0.5548945,0.25315052,0.6558777,498
CD24 neutrophils,0.44291735,0.2038096,0.5094766,2333
CMP,-0.2156379,0.18227057,-0.23058492,636
CRTAM+ gamma-delta T cells,0.09751484,0.21675108,0.1710351,1371
Classical monocytes,0.0138119655,0.40526325,0.16098478,7615
Cycling T&NK,0.61374164,0.22662959,0.6669698,816
DC1,0.07822579,0.2974266,0.2109557,73
DC2,-0.15029654,0.21270403,-0.10725125,201
DC precursor,0.44359347,0.27067238,0.5436535,238
ELP,-0.27450967,0.17256565,-0.24490574,154
ETP,0.19601539,0.26066032,0.29891437,105
Early MK,0.33171517,0.20335826,0.3858765,216
Early erythroid,-0.096182406,0.30044433,-0.057541825,1889
Erythrocytes,-0.15999803,0.263683,-0.1354661,48
Follicular helper T cells,0.01012593,0.14789233,0.019629935,280
GMP,0.15420191,0.23123485,0.19715035,467
HSC/MPP,-0.009142726,0.36556214,0.11274795,4448
Late erythroid,0.5912792,0.20132133,0.6555352,77
MAIT cells,0.28114825,0.28254056,0.40205574,704
MEMP,-0.026032021,0.31479913,0.02776982,766
Mast cells,0.32889396,0.28046763,0.45111686,259
Megakaryocyte precursor,-0.026783535,0.2962027,0.0823484,397
Megakaryocytes/platelets,0.68969554,0.107855715,0.72959125,53
Memory B cells,0.007828702,0.17709295,0.00863628,1061
Mid erythroid,-0.02580619,0.27570468,0.060674302,894
NAMPT neutrophils,0.52601725,0.1780471,0.5808133,443
Naive B cells,0.26407522,0.3874825,0.44644874,1211
Neutrophil-myeloid progenitor,-0.38100213,0.14346877,-0.3553892,2022
Neutrophils,-0.31356534,0.24363443,-0.37142202,334
Non-classical monocytes,0.6256221,0.17312515,0.6794169,961
Plasma cells,0.4084257,0.25576028,0.51040304,1033
Plasmablasts,0.49157703,0.3337886,0.67483777,249
Pro-B cells,-0.36144066,0.3607132,-0.5281128,1751
Promyelocytes,-0.11360226,0.23999672,-0.10676743,400
Regulatory T cells,-0.14009544,0.22426711,-0.17376915,580
Small pre-B cells,0.80272883,0.16782181,0.8475599,42
Tcm/Naive cytotoxic T cells,0.18060385,0.15729274,0.23806947,698
Tcm/Naive helper T cells,-0.27606866,0.1523236,-0.23350132,7982
Tem/Effector helper T cells,0.040777896,0.14960442,0.06413428,1604
Tem/Temra cytotoxic T cells,0.1353018,0.23895131,0.19259298,7013
Tem/Trm cytotoxic T cells,-0.16491579,0.17747784,-0.16276126,4771
pDC,0.082660146,0.50485766,0.38166666,482
pDC precursor,0.33244133,0.3212024,0.4801563,524
