,b_age,b_gc,b_memory,b_naive,cd3_gd,cd4_cm,cd4_naive,cd4_tem,cd4_temra,cd4_treg,cd4_trm,cd8_cm,cd8_mait,cd8_naive,cd8_tem,cd8_temra,cd8_trm,dc1,dc2,ilc1,ilc3,macrophage,mast_cell,monocyte_classical,monocyte_nonclassical,nk_cd56br,nk_cd56dim,nk_ilc_precursor,pdc,plasma_cell,plasmablast,progenitor
ENSG00000188976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21538368,0.0
ENSG00000078808,0.0,0.32059267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25163567,0.22770473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09929154,0.32142317,0.50000125,0.0
ENSG00000160087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18034615,0.0
ENSG00000127054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124594055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15920392,0.0
ENSG00000175756,0.0,0.45240217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37161583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3082535,0.46130258,0.0,0.0,0.40228245,0.0,0.40474457,0.42867512,0.0,0.0,0.0,0.3798378,0.3572215,0.90632015,0.25191933
ENSG00000221978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08543281,0.0
ENSG00000242485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3990335,0.35994315,0.0,0.0,0.0,0.0,0.0,0.28437227,0.0,0.0,0.0,0.36202434,0.17774558,0.5293237,0.0
ENSG00000197785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14225204,0.0
ENSG00000160075,0.48780936,0.37797606,0.0,0.0,0.0,0.40980262,0.43222922,0.0,0.0,0.43710113,0.0,0.306976,0.0,0.40711612,0.0,0.0,0.0,0.29706365,0.3969527,0.0,0.0,0.0,0.0,0.0,0.35389215,0.0,0.0,0.0,0.27764243,0.15866998,0.37106204,0.0
ENSG00000248333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09191808,0.0
ENSG00000008128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06251753,0.0
ENSG00000008130,0.0,0.22471255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34192437,0.0,0.11562764,0.0
ENSG00000078369,0.53140223,1.0241904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46080655,0.0,0.36696953,0.0,0.0,0.0,0.0,0.0,0.6555922,0.58296627,0.0,0.41676468,0.5564759,0.0,0.56788594,0.6002438,0.0,0.0,0.0,0.6317007,0.078742474,0.40618825,0.1961756
ENSG00000162585,0.0,0.17453691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29706365,0.31163782,0.0,0.0,0.0,0.0,0.0,0.27613726,0.0,0.0,0.0,0.37571135,0.07479799,0.15467378,0.0
ENSG00000157916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1824018,0.24301264,0.0,0.0,0.0,0.0,0.0,0.25708178,0.0,0.0,0.0,0.31610706,0.20267133,0.44088835,0.0
ENSG00000157873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31438893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16965848,0.0,0.0,0.0,0.0,0.0,0.0,0.3548999,0.0,0.0,0.0,0.0,0.08178584,0.12964362,0.0
ENSG00000130764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07062017,0.0
ENSG00000069424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24325073,0.0,0.0,0.0,0.0,0.0,0.38402095,0.0,0.0,0.0,0.0,0.0,0.049910706,0.0
ENSG00000116251,2.0406573,1.9365351,2.264627,2.2768354,1.8948193,2.4226224,2.6209273,2.116264,1.9660895,2.1462739,2.0404704,2.1803877,2.0872471,2.4755735,1.9320154,1.9250634,1.9122052,1.9703606,2.1072712,1.3002751,1.9278626,1.9898466,2.0220847,1.8974684,1.9175797,1.7165017,1.6685566,1.8010432,2.1444201,0.88592505,1.7322601,1.9815054
ENSG00000171735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31466493,0.22842962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24837792,0.0
ENSG00000049245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2173209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116288,0.45976886,0.7152094,0.42226392,0.0,0.62966317,0.50088906,0.4679913,0.56076545,0.6592301,0.66624486,0.0,0.5421229,0.49770454,0.47098926,0.6707083,0.61943614,0.0,0.6638162,0.7930683,0.0,0.21009205,0.51617587,0.4716426,0.46318516,0.5720619,0.0,0.6965329,0.53884614,1.3069508,0.31292427,0.91046554,0.4021246
ENSG00000142599,0.31410143,0.23202693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12596081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30621207,0.0,0.0,0.0
ENSG00000074800,0.49039286,0.5608043,0.47535247,0.0,0.63363254,0.541978,0.5044279,0.6037485,0.0,0.6772916,0.0,0.54754025,0.5710926,0.52258134,0.6368455,0.51108253,0.0,1.2439816,1.1095186,0.0,0.0,0.92907506,0.0,1.2514325,0.86644524,0.0,0.6092235,0.5150314,0.69550765,0.14750049,1.1262552,0.85098124
ENSG00000171612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16965848,0.17069179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171608,0.0,0.22471255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171603,0.0,0.17516379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000178585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15561974,0.13470623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43864852,0.0,0.0,0.41644597,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142657,0.0,0.32308978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12596081,0.25963527,0.0,0.0,0.4850129,0.0,0.9688578,0.55763793,0.0,0.0,0.0,0.35605288,0.0,0.15618819,0.23082955
ENSG00000160049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086829476,0.0
ENSG00000120948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15325648,0.0
ENSG00000116649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27558446,0.2437123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26372242,0.4533803,1.1877936,0.0
ENSG00000171824,0.0,0.14246207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11089586,0.0
ENSG00000116670,0.0,0.3192102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23028773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1866658,0.0
ENSG00000177674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6926663,0.48101592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000285646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16702718,0.0
ENSG00000116685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20274326,0.0
