author_cell_type,mean_silhouette,std_silhouette,median_silhouette,count
b_age,0.74334455,0.18938291,0.80451787,125
b_gc,-0.007770919,0.36170363,0.17785363,21
b_memory,0.11052203,0.2844228,0.19606493,4428
b_naive,0.45112994,0.31515974,0.56119716,8376
cd3_gd,-0.11607266,0.23969,-0.060494892,3013
cd4_cm,0.037212722,0.33828735,0.16031829,6869
cd4_naive,0.51926136,0.23202883,0.6135353,7346
cd4_tem,-0.40759817,0.31283256,-0.29904342,3984
cd4_temra,0.5071257,0.2881121,0.620914,4854
cd4_treg,-0.03252501,0.34412703,0.067346096,1077
cd4_trm,-0.22733931,0.36852306,-0.23326802,409
cd8_cm,-0.5128733,0.16646095,-0.5355309,701
cd8_mait,0.7305462,0.3234123,0.82351214,1071
cd8_naive,0.4241629,0.4705484,0.61898327,3266
cd8_tem,-0.18643409,0.12567824,-0.17841563,8873
cd8_temra,0.024351291,0.20606598,0.08525914,11986
cd8_trm,0.1683605,0.2578368,0.25095904,1384
dc1,0.7332035,0.11153557,0.78086376,55
dc2,-0.27329427,0.2874971,-0.27324808,272
ilc1,-0.3717373,0.17602946,-0.3212809,30
ilc3,0.23882256,0.47726768,0.47992274,92
macrophage,0.12503213,0.207053,0.18496937,2740
mast_cell,-0.18950704,0.5040779,0.15138787,75
monocyte_classical,0.18341489,0.4042741,0.35361192,14701
monocyte_nonclassical,0.28679386,0.2604105,0.41192448,3313
nk_cd56br,0.1825296,0.3729547,0.41133267,2769
nk_cd56dim,0.22756705,0.18635963,0.27773285,32766
nk_ilc_precursor,-0.06026382,0.19102089,-0.04332081,3393
pdc,0.8930275,0.15034458,0.93132424,402
plasma_cell,0.5578928,0.22775586,0.6511625,1084
plasmablast,0.6316724,0.24775797,0.7409278,1099
progenitor,0.15356402,0.30193338,0.16598031,12033
