,ABCs,Alveolar macrophages,Classical monocytes,Cycling,Cycling T&NK,DC1,DC2,Erythrophagocytic macrophages,ILC3,Intermediate macrophages,Intestinal macrophages,MAIT,MNP/B doublets,MNP/T doublets,Mast cells,Memory B cells,NK_CD16+,NK_CD56bright_CD16-,Naive B cells,Nonclassical monocytes,Plasma cells,Plasmablasts,Progenitor,T/B doublets,T_CD4/CD8,Teffector/EM_CD4,Tem/emra_CD8,Tfh,Tgd_CRTAM+,Tnaive/CM_CD4,Tnaive/CM_CD4_activated,Tnaive/CM_CD8,Tregs,Trm/em_CD8,Trm_Tgd,Trm_Th1/Th17,Trm_gut_CD8,migDC,pDC
ENSG00000231721,0.17905611,0.3474266,0.6903097,0.0,0.7219329,0.9230029,0.7630555,0.0,0.80211085,0.0,0.9057793,1.0357895,0.56978095,0.84177434,0.0,0.9695134,1.2195004,1.3637385,1.2092603,0.66459775,0.88780767,0.48493543,0.13399097,0.0,1.9083107,1.3446594,0.9185165,1.5870976,1.6250653,0.9692635,0.0,0.9749302,1.5890656,1.2343236,1.0434207,1.7839551,0.0,0.73022294,2.1695042
ENSG00000221866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5193968
ENSG00000106554,0.0,0.20332778,0.0,0.2796026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34678015,0.156977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000085662,0.0,0.7884464,0.0,0.64815164,0.0,0.0,0.0,0.0,0.0,0.0,0.744607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05240284,0.35257322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243317,0.0,0.511413,0.7755488,0.51796925,0.45901075,0.4594218,0.46867245,0.0,0.0,0.3362096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61301464,0.0,0.16226338,0.76817584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43983066,0.0
ENSG00000105887,1.4058454,1.3221318,1.150739,0.97766477,0.9450549,1.0646889,0.9783016,0.0,0.0,0.69684255,0.0,0.0,0.51443714,0.6910538,0.87390834,0.94635135,0.0,0.0,1.2358801,1.4429002,0.20797886,0.50767004,0.8986018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54291475,0.9690057
ENSG00000182158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6281016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5459014
ENSG00000122779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6289381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105939,0.17905611,0.20921694,0.0,0.32502627,0.8498967,0.6305984,0.50641155,0.0,0.0,0.0,0.0,0.94046986,1.2375766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6513817,0.0,0.0,0.93071985,0.0,0.0,0.0,0.84625775,0.0,0.61890733,0.0,0.0,0.0,0.0,0.0,0.0,1.0456294
ENSG00000164898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43445003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000146963,0.31062475,0.2671268,0.0,0.3772105,0.86522865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26310495,0.31549793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000064393,0.0,0.5608884,0.0,0.38366178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51443714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19683847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000059377,0.0,0.8702152,0.8114866,0.41514587,0.0,0.4198658,0.6046999,0.0,0.0,0.0,1.0229869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9916882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000059378,0.0,0.2507949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000133606,0.0,0.3711064,0.0,0.31832486,0.0,0.0,0.28367245,0.0,0.0,0.0,0.0,0.0,0.53118545,0.0,0.0,0.0,0.0,0.0,0.0,0.48796123,0.0,0.0,0.40814394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000090266,1.1743605,1.2806865,0.8463086,1.4133976,1.3369349,0.8762746,1.1568148,1.1475599,0.0,1.5585197,0.6364051,0.0,1.0766547,1.1167353,1.1862553,0.0,1.2139816,0.0,0.0,0.9060348,0.76250595,1.0440232,0.46236637,0.0,0.0,0.73820657,1.0815738,0.0,0.0,0.0,0.0,0.8997556,0.8852261,0.0,0.0,0.0,0.0,0.7456675,0.87455976
ENSG00000157764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35257322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000090263,0.0,0.24249706,0.0,0.19788726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33708376,0.35119382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106028,0.0,0.69883704,0.0,0.6790984,0.9100389,0.44567597,0.6955055,0.0,0.0,0.0,0.0,0.0,0.9967185,0.6163481,0.8733393,0.0,0.0,0.0,0.0,0.49762586,0.4760365,0.9138973,0.9279064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83374083,0.0,0.0,0.0,0.70891166
