cluster_name,skos,manual_mapped_cid,cell_ontology_id
B mem,,,CL:0000787
B mem exhausted,,,CL:0000787
Basal 1,,,CL:1000348
Basal 1 KHDRBS2+,,,CL:1000348
Basal 2,,,CL:1000348
Ciliated 1,,,CL:0000064
Ciliated 2,,,CL:0000064
Club,,,CL:0000158
Cycling basal,,,CL:1000348
Cycling hillock,,,CL:0000451
Deuterosomal,,,CL:0005012
Duct,,,CL:0000068
Goblet 1,,,CL:1000329
Goblet 2 BPIFA2+,,,CL:1000329
Goblet 2 PLAU+,,,CL:1000329
Goblet 2 inflammatory,,,CL:1000329
Hillock,,,CL:0000451
Ionocyte,,,CL:0017000
LC,,,CL:0000453
MAIT,,,CL:0000940
Mac,,,CL:0000235
Mast,,,CL:0000097
Mono IL6+,,,CL:0000576
Secretory,,,CL:0000151
Secretory GALNT4+,,,CL:0000151
Squamous,,,CL:0000076
T CD8 mem 1,,,CL:0000909
T CD8 mem 2,,,CL:0000909
T naive,,,CL:0000898
Transit epi 1,,,unknown
Transit epi 2,,,unknown
pDC,,,CL:0001058
