,B mem,B mem exhausted,Basal 1,Basal 1 KHDRBS2+,Basal 2,Ciliated 1,Ciliated 2,Club,Cycling basal,Cycling hillock,Deuterosomal,Duct,Goblet 1,Goblet 2 BPIFA2+,Goblet 2 PLAU+,Goblet 2 inflammatory,Hillock,Ionocyte,LC,MAIT,Mac,Mast,Mono IL6+,Secretory,Secretory GALNT4+,Squamous,T CD8 mem 1,T CD8 mem 2,T naive,Transit epi 1,Transit epi 2,pDC
ENSG00000143727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000102575,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000123983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9684626421620769,0.0,0.0,0.9406392170536902,0.0,0.9354838709677419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000068366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000075624,0.35917064259129183,0.3185891239873825,0.020007700689377322,0.01923278070265247,0.05488917327696277,0.014313363259838473,0.0,0.03232909979358796,0.09215454324599236,0.1861593665615205,0.02775116697434456,0.042548708377345916,0.04685995078855945,0.06835830211639404,0.12946251323146205,0.09719226437230263,0.11707909068753643,0.09553889689906951,0.37740023866776495,0.30548704824139994,0.347560909486586,0.16746997833251953,0.31816066657343217,0.0542916270994371,0.00837624842120755,0.1769894092313705,0.317305161106971,0.3014733522169052,0.33882837333986837,0.07142692804336548,0.07244579061385124,0.0756463062378668
ENSG00000184009,0.32061125578418853,0.32856198856907504,0.06047487258911133,0.0314086502598178,0.057486924432939096,0.018317386027305357,0.0,0.05794913345767606,0.07294683879421603,0.22855592735352054,0.047724333501631216,0.04080234996734127,0.05171490292395315,0.08590879555671446,0.15170717623925978,0.1088039432802508,0.11960450103206019,0.08107133834592757,0.28896495219199886,0.17072123289108276,0.13904507698551302,0.045700375110872334,0.14791489416553127,0.06751588852174821,0.0180919554925734,0.2913287954945718,0.1795451121945535,0.18381123581240255,0.1659631036943005,0.08082445206180695,0.09682788002875543,0.025337659543560397
ENSG00000072110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9689582913152633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5806451612903226,0.6161819158061859,0.7359787552587448,0.6713674241496671,0.5997227257297885,0.600563887626894,0.6586897334744853,0.6908070656561083,0.6760503053665161,0.6593309064065257,0.0,0.0,0.0,0.0,0.6540641073257693,0.0,0.6165557888246351,0.0,0.6562298094072649,0.0,0.7788286016833398,0.0,0.0,0.0,0.0
ENSG00000138071,0.0,0.8135820281121039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8411025404930115,0.8079236188242512,0.0,0.0,0.0,0.7892710912612176,0.7741935483870968,0.0,0.0,0.876750030825215,0.8191682696342468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9369688899286331,0.0,0.0,0.0,0.0
ENSG00000115091,0.8767898082733154,0.8897955936770285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8599915735183223,0.0,0.0,0.0,0.0,0.0,0.8387096774193549,0.0,0.0,0.8733196239317617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9169598779370708,0.0,0.0,0.0
