index,free_annotation,silhouette_score
E17_B003137.gencode.vH29,Pericyte,-0.18182579
E17_B003140.gencode.vH29,Pericyte,-0.05138901
E18_B002382.gencode.vH29,Pericyte,-0.14935936
E18_B002385.gencode.vH29,Airway Smooth Muscle,-0.49352148
E18_B002386.gencode.vH29,Pericyte,-0.20304017
E18_B003135.gencode.vH29,Pericyte,-0.18813536
E19_B003138.gencode.vH29,Pericyte,-0.051279347
E19_B003140.gencode.vH29,Pericyte,-0.27592662
E19_B003142.gencode.vH29,Pericyte,-0.07020475
E20_B002382.gencode.vH29,Pericyte,-0.15062758
E20_B002386.gencode.vH29,Pericyte,-0.16114418
E20_B003137.gencode.vH29,Pericyte,-0.11551628
E20_B003141.gencode.vH29,Pericyte,-0.13689588
E9_B003137.gencode.vH29,Pericyte,-0.19388151
F14_B003135.gencode.vH29,Pericyte,-0.20860714
F14_B003136.gencode.vH29,Pericyte,-0.17435293
F15_B003135.gencode.vH29,Pericyte,-0.14047545
F15_B003137.gencode.vH29,Pericyte,-0.119106665
F15_B003141.gencode.vH29,Vascular Smooth Muscle,-0.3907387
F16_B002382.gencode.vH29,Pericyte,-0.25383553
F16_B002385.gencode.vH29,Pericyte,-0.0658989
F18_B003137.gencode.vH29,Vascular Smooth Muscle,-0.40527833
F18_B003142.gencode.vH29,Pericyte,-0.18330526
F19_B002385.gencode.vH29,Pericyte,-0.16369435
F20_B002386.gencode.vH29,Pericyte,-0.2733594
F20_B003136.gencode.vH29,Pericyte,-0.14787415
G14_B002385.gencode.vH29,Pericyte,-0.14274551
G14_B002386.gencode.vH29,Pericyte,-0.11621339
G14_B003141.gencode.vH29,Pericyte,-0.22908697
G15_B003136.gencode.vH29,Pericyte,-0.06371031
G15_B003141.gencode.vH29,Pericyte,-0.23612846
G16_B002382.gencode.vH29,Pericyte,-0.096533515
G16_B003135.gencode.vH29,Pericyte,-0.19139019
G16_B003140.gencode.vH29,Pericyte,-0.058847968
G16_B003142.gencode.vH29,Pericyte,-0.08735041
G17_B002382.gencode.vH29,Pericyte,-0.06677726
G17_B003137.gencode.vH29,Pericyte,-0.09575965
G17_B003140.gencode.vH29,Pericyte,-0.05713996
G18_B003137.gencode.vH29,Pericyte,-0.096069455
G18_B003141.gencode.vH29,Pericyte,-0.21179388
G19_B003136.gencode.vH29,Pericyte,-0.15335576
G19_B003139.gencode.vH29,Pericyte,-0.25230566
G19_B003140.gencode.vH29,Pericyte,-0.08122226
G20_B002014.gencode.vH29,Pericyte,-0.14840204
G20_B002382.gencode.vH29,Pericyte,-0.07210104
G20_B003137.gencode.vH29,Pericyte,-0.19069944
H14_B002385.gencode.vH29,Pericyte,-0.20552672
H14_B003135.gencode.vH29,Vascular Smooth Muscle,-0.40831172
H14_B003136.gencode.vH29,Vascular Smooth Muscle,-0.37338796
H14_B003137.gencode.vH29,Pericyte,-0.08971802
H14_B003140.gencode.vH29,Vascular Smooth Muscle,-0.3686719
H15_B003135.gencode.vH29,Pericyte,-0.13641961
H17_B002382.gencode.vH29,Pericyte,-0.091152966
H17_B003135.gencode.vH29,Pericyte,-0.13128597
H17_B003136.gencode.vH29,Pericyte,-0.17086014
H18_B003136.gencode.vH29,Vascular Smooth Muscle,-0.39787123
H18_B003137.gencode.vH29,Pericyte,-0.06354703
H19_B002385.gencode.vH29,Pericyte,-0.20892955
H19_B003135.gencode.vH29,Pericyte,-0.24175894
H19_B003136.gencode.vH29,Pericyte,-0.2126075
H19_B003142.gencode.vH29,Pericyte,-0.1300002
H20_B003137.gencode.vH29,Pericyte,-0.096848935
H4_B003138.gencode.vH29,Pericyte,-0.16242996
I14_B002386.gencode.vH29,Pericyte,-0.16062309
I14_B003137.gencode.vH29,Pericyte,-0.15621677
I15_B002385.gencode.vH29,Pericyte,-0.21253145
I15_B003142.gencode.vH29,Pericyte,-0.26226336
I16_B002383.gencode.vH29,Pericyte,-0.09069838
I16_B003136.gencode.vH29,Pericyte,-0.18712749
I16_B003141.gencode.vH29,Pericyte,-0.11796603
I17_B003135.gencode.vH29,Pericyte,-0.03177138
I17_B003137.gencode.vH29,Pericyte,-0.1898035
I17_B003141.gencode.vH29,Pericyte,-0.1732725
I18_B003136.gencode.vH29,Pericyte,-0.21751815
I18_B003140.gencode.vH29,Pericyte,-0.08066307
I19_B003137.gencode.vH29,Pericyte,-0.1385113
I19_B003141.gencode.vH29,Pericyte,-0.0686794
I20_B002382.gencode.vH29,Pericyte,-0.03881094
I20_B002385.gencode.vH29,Pericyte,-0.19856343
I20_B002386.gencode.vH29,Pericyte,-0.18220876
I20_B003137.gencode.vH29,Pericyte,-0.18539488
I7_B003137.gencode.vH29,Pericyte,-0.29242572
J14_B003141.gencode.vH29,Pericyte,-0.09069798
J15_B003136.gencode.vH29,Pericyte,-0.049660493
J16_B002383.gencode.vH29,Vascular Smooth Muscle,-0.39651394
J16_B003136.gencode.vH29,Pericyte,-0.06213702
J16_B003142.gencode.vH29,Pericyte,-0.045722574
J17_B003142.gencode.vH29,Pericyte,-0.07362878
J18_B003135.gencode.vH29,Pericyte,-0.19114943
J18_B003137.gencode.vH29,Vascular Smooth Muscle,-0.37238753
J18_B003142.gencode.vH29,Pericyte,-0.09543281
J19_B003135.gencode.vH29,Pericyte,-0.24353558
J19_B003140.gencode.vH29,Pericyte,-0.07710567
J19_B003142.gencode.vH29,Pericyte,-0.2595552
J20_B003135.gencode.vH29,Pericyte,-0.08141269
J20_B003138.gencode.vH29,Pericyte,-0.157943
J4_B002382.gencode.vH29,Vascular Smooth Muscle,-0.36159557
K14_B003142.gencode.vH29,Pericyte,-0.084637135
K15_B002382.gencode.vH29,Pericyte,-0.25497794
K15_B003142.gencode.vH29,Pericyte,-0.17341733
K16_B003137.gencode.vH29,Pericyte,-0.18946876
K16_B003140.gencode.vH29,Pericyte,-0.12916143
K16_B003141.gencode.vH29,Pericyte,-0.18468958
K17_B002386.gencode.vH29,Vascular Smooth Muscle,-0.38854793
K17_B003137.gencode.vH29,Pericyte,-0.09959453
K17_B003142.gencode.vH29,Vascular Smooth Muscle,-0.3744379
K18_B002385.gencode.vH29,Pericyte,-0.07126389
K18_B003135.gencode.vH29,Pericyte,-0.23563254
K18_B003137.gencode.vH29,Pericyte,-0.2420534
K19_B003135.gencode.vH29,Pericyte,-0.21852607
K20_B003136.gencode.vH29,Pericyte,-0.07628591
K4_B003140.gencode.vH29,Vascular Smooth Muscle,-0.37557623
L14_B002385.gencode.vH29,Pericyte,-0.07180256
L15_B003136.gencode.vH29,Pericyte,-0.21066527
L16_B003141.gencode.vH29,Pericyte,-0.2067766
L17_B002385.gencode.vH29,Pericyte,-0.22056164
L17_B003135.gencode.vH29,Pericyte,-0.16248146
L17_B003136.gencode.vH29,Pericyte,-0.02769623
L17_B003141.gencode.vH29,Pericyte,-0.10297736
L18_B003137.gencode.vH29,Pericyte,-0.16442451
L18_B003140.gencode.vH29,Vascular Smooth Muscle,-0.39187634
L19_B003142.gencode.vH29,Pericyte,-0.23889695
L20_B002382.gencode.vH29,Pericyte,-0.21265772
L20_B002385.gencode.vH29,Pericyte,-0.22618765
L20_B002386.gencode.vH29,Pericyte,-0.18979058
L20_B003135.gencode.vH29,Pericyte,-0.22375667
L20_B003137.gencode.vH29,Pericyte,-0.24257542
M14_B002382.gencode.vH29,Pericyte,-0.13034375
M14_B003140.gencode.vH29,Pericyte,-0.2431289
M15_B002386.gencode.vH29,Pericyte,-0.16367239
M16_B003135.gencode.vH29,Vascular Smooth Muscle,-0.37464952
M16_B003142.gencode.vH29,Pericyte,-0.13692342
M17_B002385.gencode.vH29,Pericyte,-0.1977669
M17_B003137.gencode.vH29,Pericyte,-0.18080813
M18_B002382.gencode.vH29,Pericyte,-0.08143607
M18_B002385.gencode.vH29,Pericyte,-0.10699131
M18_B002386.gencode.vH29,Pericyte,-0.14854616
M19_B002386.gencode.vH29,Pericyte,-0.23419435
M19_B003135.gencode.vH29,Pericyte,-0.09415499
M19_B003137.gencode.vH29,Pericyte,-0.0701962
M20_B003135.gencode.vH29,Pericyte,-0.24809377
M20_B003142.gencode.vH29,Pericyte,-0.08585874
N14_B003135.gencode.vH29,Pericyte,-0.107469045
N15_B002382.gencode.vH29,Pericyte,-0.108318135
N15_B003135.gencode.vH29,Pericyte,-0.21514456
N15_B003138.gencode.vH29,Pericyte,-0.2493179
N15_B003140.gencode.vH29,Pericyte,-0.03287619
N16_B002014.gencode.vH29,Vascular Smooth Muscle,-0.3697904
N16_B003137.gencode.vH29,Pericyte,-0.2182905
N16_B003140.gencode.vH29,Pericyte,-0.054046873
N17_B003137.gencode.vH29,Pericyte,-0.25654566
N17_B003140.gencode.vH29,Pericyte,-0.065311216
N17_B003141.gencode.vH29,Pericyte,-0.21607608
N18_B002382.gencode.vH29,Pericyte,-0.060190253
N18_B003142.gencode.vH29,Pericyte,-0.094499215
N19_B002385.gencode.vH29,Pericyte,-0.18536153
N19_B003137.gencode.vH29,Pericyte,-0.060543425
N20_B003141.gencode.vH29,Pericyte,-0.17100866
O14_B003135.gencode.vH29,Pericyte,-0.23511668
O17_B002385.gencode.vH29,Pericyte,-0.13075012
O17_B003138.gencode.vH29,Pericyte,-0.086105525
O18_B003137.gencode.vH29,Pericyte,-0.21445233
O18_B003138.gencode.vH29,Pericyte,-0.0666951
O18_B003142.gencode.vH29,Pericyte,-0.037095588
O19_B003136.gencode.vH29,Pericyte,-0.072284155
O19_B003140.gencode.vH29,Pericyte,-0.048217233
O19_B003141.gencode.vH29,Pericyte,-0.23489457
O20_B002382.gencode.vH29,Pericyte,-0.18208446
O20_B002385.gencode.vH29,Pericyte,-0.04520861
O20_B003135.gencode.vH29,Pericyte,-0.24920891
O20_B003138.gencode.vH29,Pericyte,-0.25372115
P14_B003142.gencode.vH29,Pericyte,-0.0808082
P15_B003137.gencode.vH29,Pericyte,-0.11985896
P16_B002382.gencode.vH29,Pericyte,-0.1075896
P16_B003137.gencode.vH29,Pericyte,-0.19566014
P17_B002385.gencode.vH29,Pericyte,-0.14296831
P18_B002014.gencode.vH29,Vascular Smooth Muscle,-0.36119372
P18_B003137.gencode.vH29,Pericyte,-0.21458232
P18_B003141.gencode.vH29,Pericyte,-0.1612953
P19_B002382.gencode.vH29,Pericyte,-0.21506818
P19_B002385.gencode.vH29,Pericyte,-0.21593225
P19_B003137.gencode.vH29,Pericyte,-0.23290294
P19_B003138.gencode.vH29,Pericyte,-0.19948997
P19_B003141.gencode.vH29,Pericyte,-0.20924726
P2_B002385.gencode.vH29,Pericyte,-0.13117665
P20_B003140.gencode.vH29,Pericyte,-0.06450454
A14_B003141.gencode.vH29,Capillary,-0.56293195
A18_B002386.gencode.vH29,Capillary,-0.4571885
A19_B002383.gencode.vH29,Capillary,-0.59267694
A6_B002382.gencode.vH29,Capillary,-0.46938375
B14_B003136.gencode.vH29,Capillary,-0.46436727
B15_B003138.gencode.vH29,Capillary,-0.680688
B15_B003140.gencode.vH29,Capillary,-0.5012121
B17_B003141.gencode.vH29,Capillary,-0.52589804
B18_B003141.gencode.vH29,Capillary,-0.43733767
B19_B002386.gencode.vH29,Capillary,-0.59532875
B19_B003137.gencode.vH29,Capillary,-0.545803
B20_B003140.gencode.vH29,Capillary,-0.5663771
B20_B003142.gencode.vH29,Capillary,-0.58076143
B3_B003142.gencode.vH29,Capillary,-0.43652883
B5_B003136.gencode.vH29,Capillary,-0.48792714
B7_B003140.gencode.vH29,Capillary,-0.5732104
C14_B003135.gencode.vH29,Capillary,-0.4094203
C14_B003141.gencode.vH29,Capillary Aerocyte,-0.4830145
C14_B003142.gencode.vH29,Capillary,-0.47755447
C15_B002386.gencode.vH29,Capillary,-0.45106393
C15_B003135.gencode.vH29,Capillary,-0.5844425
C15_B003136.gencode.vH29,Capillary,-0.45819995
C16_B002382.gencode.vH29,Capillary,-0.54996103
C16_B002385.gencode.vH29,Capillary,-0.51490444
C16_B002386.gencode.vH29,Capillary,-0.48575404
C16_B003135.gencode.vH29,Capillary,-0.5852884
C16_B003136.gencode.vH29,Capillary,-0.58958346
C17_B003136.gencode.vH29,Capillary,-0.5389087
C18_B003140.gencode.vH29,Capillary,-0.60470635
C19_B002386.gencode.vH29,Capillary,-0.4481918
C19_B003141.gencode.vH29,Capillary,-0.413789
C20_B002382.gencode.vH29,Capillary,-0.55681264
C20_B002386.gencode.vH29,Capillary,-0.4696634
C20_B003136.gencode.vH29,Capillary,-0.5615118
C20_B003141.gencode.vH29,Capillary,-0.4133107
C20_B003142.gencode.vH29,Capillary,-0.55828506
C5_B003141.gencode.vH29,Capillary,-0.56687725
D10_B003135.gencode.vH29,Capillary,-0.555782
D10_B003140.gencode.vH29,Capillary,-0.5250644
D14_B002382.gencode.vH29,Capillary,-0.44281372
D14_B002386.gencode.vH29,Capillary,-0.488402
D14_B003136.gencode.vH29,Capillary,-0.5702429
D14_B003142.gencode.vH29,Capillary,-0.6247066
D15_B003135.gencode.vH29,Capillary,-0.4274819
D16_B003136.gencode.vH29,Capillary,-0.5955377
D16_B003137.gencode.vH29,Capillary,-0.5584106
D17_B003136.gencode.vH29,Capillary,-0.5209156
D18_B002382.gencode.vH29,Capillary,-0.52470267
D18_B002386.gencode.vH29,Capillary,-0.4670577
D18_B003136.gencode.vH29,Capillary,-0.5271957
D18_B003142.gencode.vH29,Capillary,-0.5535505
D19_B002382.gencode.vH29,Capillary,-0.48138806
D19_B002385.gencode.vH29,Capillary,-0.5852124
D19_B003136.gencode.vH29,Capillary,-0.45483515
D20_B002385.gencode.vH29,Capillary,-0.43718517
D20_B003135.gencode.vH29,Capillary,-0.46160513
D4_B002386.gencode.vH29,Capillary,-0.5585001
E11_B003140.gencode.vH29,Capillary Aerocyte,-0.46340507
E13_B002385.gencode.vH29,Capillary,-0.4765536
E14_B002386.gencode.vH29,Capillary,-0.47306514
E14_B003140.gencode.vH29,Capillary,-0.5555942
E14_B003142.gencode.vH29,Capillary,-0.5703402
E15_B002385.gencode.vH29,Capillary,-0.44555223
E16_B002382.gencode.vH29,Capillary,-0.48331293
E16_B003141.gencode.vH29,Capillary,-0.5142673
E18_B003140.gencode.vH29,Capillary,-0.55283946
E19_B003141.gencode.vH29,Capillary,-0.46332124
E5_B002386.gencode.vH29,Capillary,-0.6098888
E7_B003142.gencode.vH29,Capillary,-0.5606102
E9_B002386.gencode.vH29,Capillary,-0.524107
F13_B002382.gencode.vH29,Capillary Aerocyte,-0.4860801
F14_B002385.gencode.vH29,Capillary,-0.49375197
F14_B003140.gencode.vH29,Artery,-0.73848087
F14_B003142.gencode.vH29,Capillary,-0.59747267
F15_B002382.gencode.vH29,Capillary,-0.6061935
F15_B002385.gencode.vH29,Capillary,-0.59202987
F15_B002386.gencode.vH29,Capillary,-0.5006336
F15_B003139.gencode.vH29,Capillary,-0.41733715
F16_B003135.gencode.vH29,Capillary,-0.62431526
F16_B003136.gencode.vH29,Capillary,-0.43781593
F16_B003139.gencode.vH29,Capillary,-0.46048826
F17_B003136.gencode.vH29,Capillary,-0.52333343
F17_B003140.gencode.vH29,Capillary,-0.56696117
F17_B003141.gencode.vH29,Capillary,-0.56756026
F19_B002386.gencode.vH29,Capillary,-0.7197175
F19_B003135.gencode.vH29,Capillary,-0.5477566
F19_B003137.gencode.vH29,Capillary,-0.5489047
F20_B002385.gencode.vH29,Capillary,-0.53998625
F20_B003141.gencode.vH29,Capillary,-0.55031985
F8_B003142.gencode.vH29,Capillary,-0.5379662
G13_B003141.gencode.vH29,Capillary,-0.45674443
G15_B003137.gencode.vH29,Capillary,-0.5400253
G16_B002385.gencode.vH29,Capillary,-0.5921178
G16_B003136.gencode.vH29,Capillary,-0.56629014
G16_B003137.gencode.vH29,Capillary,-0.60913664
G17_B003135.gencode.vH29,Capillary,-0.60365564
G18_B002382.gencode.vH29,Capillary,-0.48728228
G18_B003135.gencode.vH29,Artery,-0.7573424
G18_B003142.gencode.vH29,Capillary,-0.5251374
G19_B002385.gencode.vH29,Capillary,-0.45712838
G2_B003136.gencode.vH29,Capillary,-0.4308414
G20_B002385.gencode.vH29,Capillary,-0.45929804
G20_B002386.gencode.vH29,Capillary,-0.44647536
G20_B003135.gencode.vH29,Capillary,-0.5517913
G20_B003141.gencode.vH29,Capillary,-0.5460866
G8_B003140.gencode.vH29,Capillary,-0.51230204
H14_B003142.gencode.vH29,Capillary,-0.5639827
H15_B002385.gencode.vH29,Capillary,-0.5384941
H15_B002386.gencode.vH29,Capillary,-0.5283243
H15_B003136.gencode.vH29,Capillary,-0.45504022
H16_B002386.gencode.vH29,Capillary,-0.5247158
H17_B003142.gencode.vH29,Capillary,-0.6153932
H18_B002386.gencode.vH29,Capillary,-0.477023
H18_B003142.gencode.vH29,Capillary,-0.5591438
H20_B002386.gencode.vH29,Capillary,-0.48618507
H20_B003141.gencode.vH29,Capillary,-0.5904394
H5_B003140.gencode.vH29,Capillary,-0.52457726
I1_B002386.gencode.vH29,Capillary,-0.5799706
I1_B003136.gencode.vH29,Capillary,-0.46266162
I10_B003142.gencode.vH29,Capillary,-0.62023616
I13_B002385.gencode.vH29,Capillary,-0.52605253
I15_B002382.gencode.vH29,Capillary,-0.47370952
I15_B002386.gencode.vH29,Capillary,-0.451687
I15_B003135.gencode.vH29,Capillary,-0.5469161
I16_B002386.gencode.vH29,Capillary,-0.5995011
I17_B002382.gencode.vH29,Capillary,-0.5217113
I18_B003137.gencode.vH29,Capillary,-0.64785767
I18_B003139.gencode.vH29,Capillary,-0.7732783
I18_B003141.gencode.vH29,Capillary,-0.6226313
I19_B002385.gencode.vH29,Capillary,-0.5684365
I19_B002386.gencode.vH29,Capillary,-0.45104718
I8_B003140.gencode.vH29,Capillary,-0.4949525
J14_B003135.gencode.vH29,Capillary,-0.5368864
J15_B003140.gencode.vH29,Capillary,-0.5581183
J16_B002386.gencode.vH29,Capillary,-0.5289009
J17_B002385.gencode.vH29,Capillary,-0.53622985
J17_B002386.gencode.vH29,Capillary,-0.4374144
J17_B003136.gencode.vH29,Capillary,-0.58089155
J17_B003137.gencode.vH29,Capillary,-0.5141301
J18_B002382.gencode.vH29,Capillary,-0.59745383
J18_B002385.gencode.vH29,Capillary,-0.575196
J18_B002386.gencode.vH29,Capillary,-0.55076134
J18_B003139.gencode.vH29,Capillary Aerocyte,-0.46926308
J19_B003141.gencode.vH29,Capillary,-0.5538024
J20_B002386.gencode.vH29,Capillary,-0.52761656
J6_B002382.gencode.vH29,Capillary,-0.5350049
K11_B003136.gencode.vH29,Vein,0.061959658
K11_B003141.gencode.vH29,Capillary,-0.49701023
K14_B002386.gencode.vH29,Capillary,-0.5735138
K14_B003136.gencode.vH29,Capillary,-0.61745566
K14_B003141.gencode.vH29,Capillary,-0.43991825
K15_B002386.gencode.vH29,Capillary,-0.58567053
K16_B002386.gencode.vH29,Capillary,-0.5022419
K16_B003142.gencode.vH29,Capillary,-0.57137823
K17_B002382.gencode.vH29,Capillary,-0.5077688
K17_B002385.gencode.vH29,Capillary,-0.43581226
K17_B003141.gencode.vH29,Capillary,-0.60036254
K18_B002386.gencode.vH29,Capillary,-0.48710576
K18_B003141.gencode.vH29,Capillary,-0.51983815
K19_B003141.gencode.vH29,Capillary,-0.53512824
K20_B002385.gencode.vH29,Capillary,-0.53353703
K3_B003141.gencode.vH29,Capillary,-0.48792523
L14_B003136.gencode.vH29,Capillary,-0.5418542
L15_B003141.gencode.vH29,Capillary,-0.6200263
L16_B002386.gencode.vH29,Capillary,-0.4768698
L17_B002382.gencode.vH29,Capillary,-0.5805921
L19_B002386.gencode.vH29,Capillary,-0.6078538
L19_B003136.gencode.vH29,Capillary,-0.56619537
L20_B003136.gencode.vH29,Capillary,-0.6165204
L20_B003142.gencode.vH29,Capillary,-0.5690535
L6_B002385.gencode.vH29,Capillary,-0.46348023
L8_B003135.gencode.vH29,Capillary,-0.45183498
L9_B002382.gencode.vH29,Capillary,-0.5776817
M11_B003142.gencode.vH29,Capillary,-0.42251542
M14_B003137.gencode.vH29,Capillary,-0.505508
M14_B003142.gencode.vH29,Capillary,-0.47841847
M15_B002385.gencode.vH29,Capillary,-0.57408756
M15_B003142.gencode.vH29,Capillary,-0.42107427
M16_B002386.gencode.vH29,Capillary,-0.56452245
M17_B003136.gencode.vH29,Capillary,-0.44439015
M17_B003140.gencode.vH29,Capillary,-0.57640517
M18_B003136.gencode.vH29,Capillary,-0.52639997
M19_B002382.gencode.vH29,Capillary,-0.57358867
M2_B003140.gencode.vH29,Capillary,-0.49618685
M4_B003136.gencode.vH29,Capillary,-0.54903436
N14_B002385.gencode.vH29,Capillary,-0.48821288
N15_B002386.gencode.vH29,Capillary,-0.59045666
N16_B002382.gencode.vH29,Capillary,-0.48967263
N16_B002386.gencode.vH29,Capillary,-0.5412299
N16_B003142.gencode.vH29,Capillary,-0.41791418
N19_B003140.gencode.vH29,Capillary,-0.6163471
N19_B003141.gencode.vH29,Capillary,-0.5328549
N20_B002385.gencode.vH29,Capillary,-0.575373
N20_B003136.gencode.vH29,Capillary,-0.60799474
N4_B002386.gencode.vH29,Capillary Aerocyte,-0.5189026
N5_B003136.gencode.vH29,Capillary,-0.5800649
N6_B003136.gencode.vH29,Capillary,-0.6092423
O14_B003136.gencode.vH29,Capillary,-0.5455226
O14_B003142.gencode.vH29,Capillary,-0.5568262
O15_B002382.gencode.vH29,Capillary,-0.4445021
O15_B002385.gencode.vH29,Capillary,-0.48702297
O15_B002386.gencode.vH29,Capillary,-0.44041803
O15_B003138.gencode.vH29,Capillary,-0.619217
O15_B003141.gencode.vH29,Capillary,-0.5890318
O16_B002385.gencode.vH29,Capillary,-0.5375799
O16_B003135.gencode.vH29,Capillary,-0.44364694
O16_B003141.gencode.vH29,Capillary,-0.5486424
O17_B003142.gencode.vH29,Capillary,-0.55309373
O18_B002385.gencode.vH29,Capillary,-0.5218966
O18_B003135.gencode.vH29,Capillary,-0.50083727
O19_B002385.gencode.vH29,Capillary,-0.48700735
O19_B002386.gencode.vH29,Capillary,-0.6119938
O19_B003138.gencode.vH29,Capillary,-0.40487498
O20_B002386.gencode.vH29,Capillary,-0.4820958
O20_B003137.gencode.vH29,Capillary,-0.5633856
O3_B003141.gencode.vH29,Capillary,-0.4871677
O4_B002383.gencode.vH29,Capillary,-0.48787358
O4_B003142.gencode.vH29,Capillary,-0.5634341
O5_B002386.gencode.vH29,Capillary,-0.46510124
O5_B003142.gencode.vH29,Capillary,-0.6037478
O7_B002386.gencode.vH29,Capillary,-0.6179002
P14_B003136.gencode.vH29,Capillary,-0.5578657
P14_B003137.gencode.vH29,Capillary,-0.48094398
P15_B002382.gencode.vH29,Capillary,-0.57692343
P15_B002386.gencode.vH29,Capillary,-0.5928689
P15_B003142.gencode.vH29,Capillary,-0.50020105
P16_B002386.gencode.vH29,Capillary,-0.5715822
P16_B003136.gencode.vH29,Capillary,-0.44193438
P16_B003142.gencode.vH29,Capillary,-0.54551613
P17_B003137.gencode.vH29,Capillary,-0.48937798
P18_B002383.gencode.vH29,Capillary,-0.48158592
P18_B002386.gencode.vH29,Capillary,-0.49979588
P18_B003140.gencode.vH29,Capillary,-0.5899246
P18_B003142.gencode.vH29,Capillary,-0.4484684
P19_B002383.gencode.vH29,Capillary,-0.49818355
P2_B002386.gencode.vH29,Capillary,-0.5793674
P20_B003136.gencode.vH29,Capillary,-0.53766435
P6_B003141.gencode.vH29,Capillary,-0.50538045
P9_B003141.gencode.vH29,Capillary,-0.4583254
A17_B003141.gencode.vH29,Capillary,-0.76769835
A18_B003141.gencode.vH29,Capillary,-0.660352
A8_B003137.gencode.vH29,Capillary,-0.7902626
B13_B002382.gencode.vH29,Capillary,-0.7352942
B13_B003141.gencode.vH29,Capillary,-0.7295054
B14_B002382.gencode.vH29,Capillary,-0.7367421
B15_B002383.gencode.vH29,Capillary,-0.8178688
B16_B003140.gencode.vH29,Capillary,-0.6732533
B17_B002014.gencode.vH29,Capillary,-0.7116072
B19_B003140.gencode.vH29,Capillary,-0.71624804
B19_B003142.gencode.vH29,Capillary,-0.67604816
B2_B002386.gencode.vH29,Capillary,-0.67738676
B5_B002386.gencode.vH29,Capillary,-0.80870074
C20_B002385.gencode.vH29,Artery,-0.95723706
C4_B003141.gencode.vH29,Vein,0.7839685
D20_B002383.gencode.vH29,Capillary,-0.84563
D8_B002386.gencode.vH29,Capillary,-0.69021773
E1_B003141.gencode.vH29,Capillary,-0.701299
E10_B002382.gencode.vH29,Capillary,-0.6974383
E13_B002386.gencode.vH29,Capillary,-0.6819927
E15_B003139.gencode.vH29,Capillary,-0.70803106
E17_B003141.gencode.vH29,Capillary,-0.8377111
E20_B003140.gencode.vH29,Capillary,-0.6512685
F1_B003140.gencode.vH29,Capillary,-0.8046677
F12_B003135.gencode.vH29,Capillary,-0.6935082
F14_B002383.gencode.vH29,Capillary,-0.79850733
F15_B003140.gencode.vH29,Capillary,-0.7001502
F18_B003141.gencode.vH29,Capillary,-0.666268
F19_B003141.gencode.vH29,Capillary,-0.6715739
F20_B002383.gencode.vH29,Capillary,-0.8170852
G10_B002382.gencode.vH29,Capillary,-0.7722198
G15_B002382.gencode.vH29,Capillary,-0.6843875
G15_B003135.gencode.vH29,Capillary,-0.6853961
G19_B003138.gencode.vH29,Capillary,-0.7598571
G2_B002383.gencode.vH29,Vein,0.22498477
G7_B003142.gencode.vH29,Capillary,-0.6773708
H13_B003136.gencode.vH29,Capillary,-0.8027514
H15_B003142.gencode.vH29,Capillary,-0.7258421
H16_B002385.gencode.vH29,Capillary,-0.64439
H18_B003141.gencode.vH29,Capillary,-0.74272346
I11_B002385.gencode.vH29,Capillary,-0.78494126
I12_B003137.gencode.vH29,Capillary,-0.7595811
I12_B003142.gencode.vH29,Capillary,-0.6356537
I13_B003140.gencode.vH29,Capillary,-0.69924074
I17_B002385.gencode.vH29,Capillary,-0.6709957
I17_B003140.gencode.vH29,Capillary,-0.67517895
I17_B003142.gencode.vH29,Capillary,-0.7075113
I19_B002382.gencode.vH29,Capillary,-0.7034827
I19_B003140.gencode.vH29,Capillary,-0.7148072
I6_B002382.gencode.vH29,Capillary,-0.71283925
J13_B003139.gencode.vH29,Capillary,-0.81176525
J14_B002385.gencode.vH29,Capillary,-0.7098456
J14_B003139.gencode.vH29,Capillary,-0.8213466
J15_B003137.gencode.vH29,Capillary,-0.82622766
J16_B002385.gencode.vH29,Capillary,-0.6102693
J20_B002385.gencode.vH29,Capillary,-0.66803217
J3_B003136.gencode.vH29,Capillary,-0.79065126
J7_B002383.gencode.vH29,Capillary,-0.8015439
J9_B003136.gencode.vH29,Capillary,-0.8211066
K14_B002014.gencode.vH29,Capillary,-0.79122335
K14_B003140.gencode.vH29,Capillary,-0.7721635
K16_B002382.gencode.vH29,Capillary,-0.7676678
K17_B003135.gencode.vH29,Capillary,-0.7438644
K2_B003140.gencode.vH29,Capillary,-0.6656338
K20_B003137.gencode.vH29,Capillary,-0.6767955
K20_B003140.gencode.vH29,Capillary,-0.7163401
K20_B003142.gencode.vH29,Capillary,-0.6572214
K3_B002386.gencode.vH29,Capillary,-0.7945492
L12_B002386.gencode.vH29,Capillary,-0.7302231
L14_B003140.gencode.vH29,Capillary,-0.6461339
L14_B003141.gencode.vH29,Capillary,-0.78763926
L15_B002386.gencode.vH29,Capillary,-0.6814276
L15_B003139.gencode.vH29,Capillary,-0.8098388
L16_B002383.gencode.vH29,Capillary,-0.7883972
L17_B003139.gencode.vH29,Capillary,-0.78593767
L19_B003137.gencode.vH29,Capillary,-0.71987885
M1_B003136.gencode.vH29,Capillary,-0.7033362
M15_B003140.gencode.vH29,Capillary Aerocyte,-0.6986677
M16_B003137.gencode.vH29,Capillary,-0.68711466
M16_B003140.gencode.vH29,Capillary,-0.67624557
M18_B003137.gencode.vH29,Capillary,-0.6586151
