index,free_annotation,silhouette_score
G9_B003137.gencode.vH29,Capillary Intermediate 1,0.676021
H1_B003138.gencode.vH29,Capillary Intermediate 1,0.60296375
H11_B003141.gencode.vH29,Capillary Aerocyte,-0.590557
H13_B002386.gencode.vH29,Capillary Aerocyte,-0.5465622
H13_B003140.gencode.vH29,Capillary Aerocyte,-0.5393379
H14_B003139.gencode.vH29,Capillary Aerocyte,-0.41855523
H16_B003138.gencode.vH29,Capillary Aerocyte,-0.681984
H17_B002383.gencode.vH29,Capillary Aerocyte,-0.68388546
H18_B002383.gencode.vH29,Capillary Aerocyte,-0.7259109
H19_B002014.gencode.vH29,Capillary Aerocyte,-0.66842955
H2_B002382.gencode.vH29,Capillary Aerocyte,-0.5820543
H20_B003140.gencode.vH29,Capillary Aerocyte,-0.5949679
H4_B003139.gencode.vH29,Capillary Aerocyte,-0.714746
H5_B003136.gencode.vH29,Capillary Aerocyte,-0.5454447
H6_B003136.gencode.vH29,Capillary Aerocyte,-0.73706543
H6_B003138.gencode.vH29,Capillary Aerocyte,-0.665022
H6_B003142.gencode.vH29,Capillary Aerocyte,-0.6831073
H9_B002383.gencode.vH29,Capillary Intermediate 1,0.6566975
I10_B002385.gencode.vH29,Capillary Intermediate 1,0.67453253
I11_B003139.gencode.vH29,Capillary Aerocyte,-0.7461246
I11_B003142.gencode.vH29,Capillary Aerocyte,-0.66001326
I14_B002014.gencode.vH29,Capillary Aerocyte,-0.7022933
I14_B003139.gencode.vH29,Capillary Aerocyte,-0.7417192
I15_B002383.gencode.vH29,Capillary Intermediate 1,0.6922276
I16_B003139.gencode.vH29,Capillary Aerocyte,-0.610112
I19_B002014.gencode.vH29,Capillary Aerocyte,-0.6974122
I19_B003139.gencode.vH29,Capillary Aerocyte,-0.67974883
I2_B002385.gencode.vH29,Capillary Aerocyte,-0.66002643
I20_B002383.gencode.vH29,Capillary Aerocyte,-0.6419891
I20_B003138.gencode.vH29,Capillary Intermediate 1,0.61741906
I4_B003135.gencode.vH29,Capillary Aerocyte,-0.59685665
I4_B003140.gencode.vH29,Capillary Intermediate 1,0.5871851
I8_B002385.gencode.vH29,Capillary Intermediate 1,0.5014663
I9_B003136.gencode.vH29,Capillary Aerocyte,-0.5574776
I9_B003138.gencode.vH29,Capillary Aerocyte,-0.7568392
J10_B002383.gencode.vH29,Capillary Aerocyte,-0.70822215
J11_B003142.gencode.vH29,Capillary Aerocyte,-0.6337861
J13_B002385.gencode.vH29,Capillary Aerocyte,-0.7300579
J13_B002386.gencode.vH29,Capillary,-0.8450427
J14_B002383.gencode.vH29,Capillary Intermediate 1,0.6797656
J14_B003138.gencode.vH29,Capillary Aerocyte,-0.71932364
J17_B003138.gencode.vH29,Capillary Aerocyte,-0.72621685
J17_B003139.gencode.vH29,Capillary Aerocyte,-0.70773625
J18_B003138.gencode.vH29,Capillary Intermediate 1,0.6907167
J2_B003139.gencode.vH29,Artery,-0.9084829
J20_B003139.gencode.vH29,Capillary Aerocyte,-0.7819057
J7_B003139.gencode.vH29,Capillary Aerocyte,-0.73702747
J8_B003141.gencode.vH29,Capillary Intermediate 1,0.69325644
J9_B002382.gencode.vH29,Capillary Intermediate 1,0.67466897
J9_B003140.gencode.vH29,Capillary Aerocyte,-0.55623347
K10_B003137.gencode.vH29,Capillary Aerocyte,-0.608427
K11_B003139.gencode.vH29,Capillary Intermediate 1,0.6909619
K11_B003140.gencode.vH29,Capillary Aerocyte,-0.537637
K14_B002383.gencode.vH29,Capillary Aerocyte,-0.63819546
K15_B002383.gencode.vH29,Capillary Aerocyte,-0.7300375
K16_B002014.gencode.vH29,Capillary Aerocyte,-0.66320634
K17_B003139.gencode.vH29,Capillary Intermediate 1,0.6182023
K18_B003138.gencode.vH29,Capillary Aerocyte,-0.67649186
K19_B002383.gencode.vH29,Capillary Aerocyte,-0.62495774
K19_B003139.gencode.vH29,Capillary Aerocyte,-0.7296713
K2_B002383.gencode.vH29,Capillary Aerocyte,-0.77762336
K2_B003136.gencode.vH29,Capillary Intermediate 1,0.66152674
K20_B002383.gencode.vH29,Capillary Aerocyte,-0.70117086
K20_B003139.gencode.vH29,Capillary Aerocyte,-0.72297674
K3_B002014.gencode.vH29,Capillary Aerocyte,-0.7130624
K5_B002382.gencode.vH29,Capillary Intermediate 1,0.63067335
K5_B003137.gencode.vH29,Capillary Aerocyte,-0.7424489
K5_B003141.gencode.vH29,Capillary Aerocyte,-0.5649919
K6_B002383.gencode.vH29,Capillary Aerocyte,-0.72803336
K6_B003141.gencode.vH29,Capillary Aerocyte,-0.7431504
K8_B002383.gencode.vH29,Capillary Aerocyte,-0.74043876
K9_B003136.gencode.vH29,Capillary Aerocyte,-0.5997514
K9_B003142.gencode.vH29,Capillary Intermediate 1,0.66461474
L1_B003139.gencode.vH29,Capillary Aerocyte,-0.68267435
L10_B003139.gencode.vH29,Capillary Intermediate 1,0.6774921
L12_B002383.gencode.vH29,Capillary Aerocyte,-0.71641946
L12_B003141.gencode.vH29,Capillary Aerocyte,-0.8380964
L13_B002014.gencode.vH29,Capillary Intermediate 1,0.6624636
L14_B002382.gencode.vH29,Capillary Intermediate 1,0.5454172
L17_B003138.gencode.vH29,Capillary Aerocyte,-0.6442279
L17_B003140.gencode.vH29,Capillary Aerocyte,-0.7898218
L18_B002383.gencode.vH29,Capillary Intermediate 1,0.5969983
L18_B003139.gencode.vH29,Capillary Intermediate 1,0.64128363
L20_B003139.gencode.vH29,Capillary Aerocyte,-0.7111786
L20_B003141.gencode.vH29,Capillary Aerocyte,-0.5828277
L4_B003137.gencode.vH29,Capillary Aerocyte,-0.6007832
L5_B003139.gencode.vH29,Capillary Aerocyte,-0.727339
L6_B003136.gencode.vH29,Capillary Intermediate 1,0.60700804
L6_B003142.gencode.vH29,Capillary Intermediate 1,0.5506541
L7_B002382.gencode.vH29,Capillary Intermediate 1,0.5528569
L7_B003135.gencode.vH29,Capillary Aerocyte,-0.75393754
L8_B002383.gencode.vH29,Capillary Aerocyte,-0.7935687
M10_B003138.gencode.vH29,Capillary Aerocyte,-0.7294485
M11_B002383.gencode.vH29,Capillary Aerocyte,-0.7109304
M12_B002385.gencode.vH29,Capillary Aerocyte,-0.62687266
M13_B003139.gencode.vH29,Capillary Aerocyte,-0.70165807
M15_B002014.gencode.vH29,Capillary Aerocyte,-0.59833086
M15_B003136.gencode.vH29,Capillary Intermediate 1,0.68500227
M16_B002014.gencode.vH29,Capillary Aerocyte,-0.68214244
M16_B002383.gencode.vH29,Capillary Intermediate 1,0.68581605
M16_B003136.gencode.vH29,Capillary Intermediate 1,0.534422
M16_B003138.gencode.vH29,Capillary Aerocyte,-0.7746547
M18_B003140.gencode.vH29,Capillary Aerocyte,-0.6475165
