cluster,count
Natural Killer,1095
Club,898
Capillary,872
Alveolar Epithelial Type 2,760
Capillary Aerocyte,622
Ciliated,551
Pericyte,518
Alveolar Epithelial Type 1,421
Alveolar Fibroblast,360
Airway Smooth Muscle,346
CD8+ Naive T,280
Basal,240
Goblet,233
Signaling Alveolar Epithelial Type 2,201
Vascular Smooth Muscle,176
Adventitial Fibroblast,158
Bronchial Vessel 1,106
Neutrophil,102
Artery,92
Capillary Intermediate 1,88
Neuroendocrine,55
Natural Killer T,52
Myofibroblast,52
Basophil/Mast 1,46
Lymphatic,44
Differentiating Basal,43
Vein,42
Macrophage,32
Lipofibroblast,20
CD4+ Naive T,19
Classical Monocyte,17
Proliferating NK/T,17
B,16
Fibromyocyte,15
CD4+ Memory/Effector T,13
Nonclassical Monocyte,11
Dendritic,10
Plasmacytoid Dendritic,9
IGSF21+ Dendritic,8
Myeloid Dendritic Type 2,7
Intermediate Monocyte,6
