,b_age,b_gc,b_memory,b_naive,cd3_gd,cd4_cm,cd4_naive,cd4_tem,cd4_temra,cd4_treg,cd4_trm,cd8_cm,cd8_mait,cd8_naive,cd8_tem,cd8_temra,cd8_trm,dc1,dc2,ilc1,ilc3,macrophage,mast_cell,monocyte_classical,monocyte_nonclassical,nk_cd56br,nk_cd56dim,nk_ilc_precursor,pdc,plasma_cell,plasmablast,progenitor
RER1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1824018,0.24301264,0.0,0.0,0.0,0.0,0.0,0.25708178,0.0,0.0,0.0,0.31610706,0.20267133,0.44088835,0.0
TNFRSF14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31438893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16965848,0.0,0.0,0.0,0.0,0.0,0.0,0.3548999,0.0,0.0,0.0,0.0,0.08178584,0.12964362,0.0
LRRC47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07062017,0.0
KCNAB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24325073,0.0,0.0,0.0,0.0,0.0,0.38402095,0.0,0.0,0.0,0.0,0.0,0.049910706,0.0
RPL22,2.0406573,1.9365351,2.264627,2.2768354,1.8948193,2.4226224,2.6209273,2.116264,1.9660895,2.1462739,2.0404704,2.1803877,2.0872471,2.4755735,1.9320154,1.9250634,1.9122052,1.9703606,2.1072712,1.3002751,1.9278626,1.9898466,2.0220847,1.8974684,1.9175797,1.7165017,1.6685566,1.8010432,2.1444201,0.88592505,1.7322601,1.9815054
CAMTA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31466493,0.22842962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24837792,0.0
VAMP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2173209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARK7,0.45976886,0.7152094,0.42226392,0.0,0.62966317,0.50088906,0.4679913,0.56076545,0.6592301,0.66624486,0.0,0.5421229,0.49770454,0.47098926,0.6707083,0.61943614,0.0,0.6638162,0.7930683,0.0,0.21009205,0.51617587,0.4716426,0.46318516,0.5720619,0.0,0.6965329,0.53884614,1.3069508,0.31292427,0.91046554,0.4021246
RERE,0.31410143,0.23202693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12596081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30621207,0.0,0.0,0.0
ENO1,0.49039286,0.5608043,0.47535247,0.0,0.63363254,0.541978,0.5044279,0.6037485,0.0,0.6772916,0.0,0.54754025,0.5710926,0.52258134,0.6368455,0.51108253,0.0,1.2439816,1.1095186,0.0,0.0,0.92907506,0.0,1.2514325,0.86644524,0.0,0.6092235,0.5150314,0.69550765,0.14750049,1.1262552,0.85098124
