,b_age,b_gc,b_memory,b_naive,cd3_gd,cd4_cm,cd4_naive,cd4_tem,cd4_temra,cd4_treg,cd4_trm,cd8_cm,cd8_mait,cd8_naive,cd8_tem,cd8_temra,cd8_trm,dc1,dc2,ilc1,ilc3,macrophage,mast_cell,monocyte_classical,monocyte_nonclassical,nk_cd56br,nk_cd56dim,nk_ilc_precursor,pdc,plasma_cell,plasmablast,progenitor
NOC2L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SDF4,0.0,0.877261871291745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8613069999602533,0.8569014879965013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8387096774193549,0.8774956541676675,0.9212487263064231,0.0
UBE2J2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
INTS11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9747546219056652,0.0
AURKAIP1,0.0,0.7283779613433345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6945592491857467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6833146041439425,0.7329962618889347,0.0,0.0,0.7048887610435486,0.0,0.7058990443906477,0.7169146999236076,0.0,0.0,0.0,0.6969812762352728,0.6913503696841579,0.8640993352859251,0.6774193548387096
CCNL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
MRPL20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.872019890815981,0.8618108591725749,0.0,0.0,0.0,0.0,0.0,0.8508049864922801,0.0,0.0,0.0,0.8622343847828526,0.8387096774193549,0.9035215108625351,0.0
ATAD3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SSU72,0.7205092656996942,0.6557929650429757,0.0,0.0,0.0,0.6712218157706722,0.6849332913275687,0.0,0.0,0.6880854618164801,0.0,0.6326118092383107,0.0,0.6696908589332334,0.0,0.0,0.0,0.6300403033533404,0.6645374394232227,0.0,0.0,0.0,0.0,0.0,0.6471050573933509,0.0,0.0,0.0,0.6267261159035468,0.6129032258064516,0.6529857343243014,0.0
CDK11B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CDK11A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NADK,0.0,0.951143289766004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9678913912465495,0.0,0.9354838709677419,0.0
GNB1,0.6572997050900613,0.809387949205214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6393915414810181,0.0,0.620994912039849,0.0,0.0,0.0,0.0,0.0,0.7022187978990616,0.6727926538836572,0.0,0.6285551440331244,0.66402018262494,0.0,0.6675300732735665,0.6794254875952198,0.0,0.0,0.0,0.6921764612197876,0.5806451612903226,0.6264428650179217,0.5999552357581354
FAAP20,0.0,0.828556570314592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8616269980707476,0.8665896115764495,0.0,0.0,0.0,0.0,0.0,0.8560299373442127,0.0,0.0,0.0,0.8893413178382381,0.8064516129032258,0.8231101478299787,0.0
RER1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8387096774193549,0.852110299371904,0.0,0.0,0.0,0.0,0.0,0.8566730272385382,0.0,0.0,0.0,0.8774124383926392,0.8419358653406943,0.9121074676513672,0.0
TNFRSF14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9286401810184601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8952836682719569,0.0,0.0,0.0,0.0,0.0,0.0,0.9367857325461603,0.0,0.0,0.0,0.0,0.8709677419354839,0.8828757655236029,0.0
LRRC47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
KCNAB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9611231569320925,0.0,0.0,0.0,0.0,0.0,0.975374206419914,0.0,0.0,0.0,0.0,0.0,0.9354838709677419,0.0
RPL22,0.06946967494103216,0.044365582927580804,0.14107484586777225,0.14516152105023783,0.038549150190045754,0.19272102848176034,0.2531497420803193,0.09176900309901084,0.050487347187534455,0.10133869801798175,0.06941694021224976,0.1128754481192558,0.0830398355760882,0.20929828190034436,0.0434883467612728,0.04229436766716742,0.0405003140049596,0.051426795221144156,0.08899437612102877,0.010279463183495307,0.04274818589610438,0.05611269897030246,0.06447532869154407,0.03881059538933539,0.04120049745805802,0.024332090731590025,0.02225050426298572,0.030478700514762633,0.10072917515231718,0.0,0.025284551805065524,0.054040462740005984
CAMTA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9511197882313882,0.9354838709677419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9380746560712014,0.0
VAMP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARK7,0.19578665879464918,0.36130559828973585,0.18739010057141703,0.0,0.2983472039622645,0.21475680220511653,0.19834566308606055,0.2518345156023579,0.31824245760517733,0.323160667573252,0.0,0.23941807016249625,0.2130348970813136,0.19954710814260668,0.3265915397674807,0.29155605262325657,0.0,0.3213924861723377,0.4176751106016098,0.0,0.16129032258064516,0.2236820940048464,0.19985160519999842,0.1967218518257141,0.2596015045719762,0.0,0.3467747934402958,0.23734304020481725,0.6437429708819236,0.17189086829462358,0.4886018287750982,0.18385056718703238
RERE,0.9317869986257246,0.9179718859734074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9300295364472174,0.0,0.0,0.0
