Detailed_Cell_Annotations,mean,std,median,count,q1,q3,f_score
Enteroendocrine Cells,0.9816217071201461,0.0036312081064500948,0.9823101674643402,10,0.9790282671539287,0.984180585853363,0.9782608695652174
Ionocytes,0.8928681762078571,0.17463612337406584,0.9209986848997339,92,0.9042313686273846,0.9280166772847368,0.8814102564102564
Erythroblasts,0.5750535050542649,0.4401812773829843,0.7222343599731804,586,0.6908210674592514,0.7344533558561689,0.8741146168705731
Dendritic Cells,0.5642097260391015,0.2754288749239337,0.7105181152680636,14,0.565041819666088,0.7185679061369322,0.6666666666666666
Developing Ciliated Cells,0.5225616459734889,0.3010018989933624,0.629603232356337,934,0.5063522761261708,0.6784423464023696,0.4712260216847372
Early Response T Cells,0.4729766958075407,0.24242297579261712,0.5779394876655898,50,0.48962325580443306,0.6230777745177166,0.6818181818181818
BEST4 high Cilia high Ciliated Cells,0.4037380161618756,0.249908275465319,0.5156921649817421,1221,0.3305987950130366,0.569516703866497,0.6148522757519297
SPRR2D high Squamous Cells,0.2571661052475487,0.47265577636617623,0.4912630688086285,72,0.3904021427345619,0.5573313965349239,0.7932692307692307
ITGAX high Macrophages,0.049955319124245404,0.4925644580514014,0.3833139222222765,42,-0.5261084584537076,0.4598146930922211,0.6395348837209303
Developing Secretory and Goblet Cells,0.2678399935397928,0.2602679783561775,0.3486384819072305,263,0.1704614015338687,0.47272442748543564,0.4219823356231599
Basal Cells,0.23230312162732292,0.2391915919657409,0.29637335741250803,912,0.17173174056454268,0.39875105631252805,0.7452276064610867
Early Response FOXJ1 high Ciliated Cells,0.0325125440207754,0.4116198588961429,0.26545219084581134,628,-0.3352746235060331,0.3438933973132628,0.6473684210526316
Deuterosomal Cells,0.028511419756053463,0.4182761146462942,0.2444813347086438,35,0.052406994417112995,0.30754210773274043,0.6910569105691057
AZGP1 high Goblet Cells,0.1827573557688157,0.16830584636885493,0.1768132247103399,47,0.031799502083923195,0.35325342782635627,0.5494505494505495
VEGFA high Squamous Cells,0.11647165201741716,0.1787514652917186,0.1737927528943446,101,0.1015198769925771,0.2019862634515965,0.7407407407407407
Cilia high Ciliated Cells,-0.03005785530245668,0.34332488280835083,0.1399851105512055,1052,-0.37366788388838706,0.2725027344719202,0.6286656891495601
HOPX high Squamous Cells,0.028154706030833965,0.3304905091145583,0.02790754092281149,6,-0.27529255130872693,0.33213623304224144,0.8333333333333334
MUC5AC high Goblet Cells,-0.12218368699067662,0.31147062682539695,-0.051045448211303746,306,-0.37712342829313705,0.1661580056438026,0.4700854700854701
KRT24 KRT13 high Secretory Cells,-0.0876278543463208,0.2063844437498199,-0.08853123157814165,26,-0.1893209791542913,0.023571415533877024,0.603448275862069
AZGP1 SCGB3A1 LTF high Goblet Cells,-0.19044221010545598,0.23038771718570508,-0.1116664851135583,43,-0.3001949294045383,-0.03935863568645845,0.6796116504854369
Interferon Responsive Cytotoxic CD8 T Cells,-0.25442837472294816,0.3020728882061378,-0.1242781784159688,7,-0.4530173941373312,-0.023557913482829602,0.7894736842105263
CD8 T Cells,-0.21685497375777218,0.21285958679943842,-0.1475065607588727,301,-0.3569811048324,-0.06251445987778,0.5789473684210527
Early Response Secretory Cells,-0.18535114746763753,0.17336968168462524,-0.1779861408883695,20,-0.317684253568516,-0.01340520953321585,0.4545454545454545
FOXJ1 high Ciliated Cells,-0.24836389343043208,0.2371139720846068,-0.2145054957901796,1449,-0.4309045091964205,-0.0555610889774486,0.5245901639344263
Mitotic Basal Cells,-0.29531602774273086,0.17374185221989322,-0.2745531222533142,141,-0.3782897982702252,-0.1740441627218695,0.7946210268948656
SCGB1A1 high Goblet Cells,-0.3602127345105851,0.22002615308342147,-0.29833125193873045,104,-0.5593719469552321,-0.17018418225617496,0.3333333333333333
SERPINB11 high Secretory Cells,-0.25770686635447465,0.32670795558357774,-0.3503724650591872,31,-0.5357313197054369,0.065426933808434,0.2985074626865671
B Cells,-0.4849512474087274,0.1762037488819755,-0.4026092068570788,12,-0.5651170675280875,-0.38738166211410807,0.875
BPIFA1 high Secretory Cells,-0.3758562879714105,0.3410049270315101,-0.4498266642469977,22,-0.6415268615242983,-0.07510146859079034,0.3333333333333333
Interferon Responsive Ciliated Cells,-0.5718437106990661,0.15177011571555035,-0.581819744044809,62,-0.6620783905093203,-0.4657578239042242,0.2597402597402597
CCL5 high Squamous Cells,-0.7237933534594164,0.13200229754117138,-0.7380310464431724,278,-0.8265847552987089,-0.6442938532834704,0.1037891268533772
