Detailed_Cell_Annotations,mean_silhouette,std_silhouette,median_silhouette,count
AZGP1 SCGB3A1 LTF high Goblet Cells,-0.19044221010545598,0.23038771718570508,-0.11166648511355834,43
AZGP1 high Goblet Cells,0.18275735576881572,0.16830584636885496,0.1768132247103399,47
B Cells,-0.4849512474087274,0.1762037488819755,-0.4026092068570788,12
BEST4 high Cilia high Ciliated Cells,0.4037380161618756,0.24990827546531896,0.5156921649817421,1221
BPIFA1 high Secretory Cells,-0.3758562879714105,0.3410049270315101,-0.4498266642469977,22
Basal Cells,0.23230312162732294,0.23919159196574094,0.29637335741250803,912
CCL5 high Squamous Cells,-0.7237933534594164,0.13200229754117138,-0.7380310464431724,278
CD8 T Cells,-0.21685497375777224,0.2128595867994384,-0.1475065607588727,301
Cilia high Ciliated Cells,-0.03005785530245667,0.34332488280835083,0.13998511055120552,1052
Dendritic Cells,0.5642097260391015,0.27542887492393375,0.7105181152680636,14
Deuterosomal Cells,0.028511419756053476,0.41827611464629416,0.2444813347086438,35
Developing Ciliated Cells,0.5225616459734889,0.3010018989933624,0.629603232356337,934
Developing Secretory and Goblet Cells,0.2678399935397928,0.2602679783561775,0.34863848190723057,263
Early Response FOXJ1 high Ciliated Cells,0.03251254402077541,0.41161985889614294,0.2654521908458114,628
Early Response Secretory Cells,-0.18535114746763753,0.17336968168462524,-0.17798614088836953,20
Early Response T Cells,0.4729766958075407,0.2424229757926171,0.5779394876655898,50
Enteroendocrine Cells,0.9816217071201458,0.003631208106450036,0.9823101674643402,10
Erythroblasts,0.5750535050542649,0.4401812773829843,0.7222343599731804,586
FOXJ1 high Ciliated Cells,-0.24836389343043214,0.2371139720846068,-0.21450549579017963,1449
HOPX high Squamous Cells,0.028154706030833948,0.33049050911455835,0.02790754092281146,6
ITGAX high Macrophages,0.049955319124245424,0.4925644580514014,0.38331392222227656,42
Interferon Responsive Ciliated Cells,-0.5718437106990661,0.15177011571555035,-0.581819744044809,62
Interferon Responsive Cytotoxic CD8 T Cells,-0.25442837472294816,0.30207288820613787,-0.12427817841596883,7
Ionocytes,0.8928681762078571,0.17463612337406584,0.9209986848997338,92
KRT24 KRT13 high Secretory Cells,-0.08762785434632082,0.20638444374981996,-0.08853123157814169,26
MUC5AC high Goblet Cells,-0.1221836869906766,0.311470626825397,-0.05104544821130377,306
Mitotic Basal Cells,-0.29531602774273086,0.17374185221989324,-0.27455312225331424,141
SCGB1A1 high Goblet Cells,-0.3602127345105851,0.22002615308342144,-0.29833125193873045,104
SERPINB11 high Secretory Cells,-0.25770686635447465,0.32670795558357774,-0.35037246505918723,31
SPRR2D high Squamous Cells,0.2571661052475487,0.47265577636617623,0.4912630688086285,72
VEGFA high Squamous Cells,0.11647165201741719,0.17875146529171862,0.17379275289434462,101
