cluster,n_cells,percentage
AZGP1 SCGB3A1 LTF high Goblet Cells,43,0.48
AZGP1 high Goblet Cells,47,0.53
B Cells,12,0.14
BEST4 high Cilia high Ciliated Cells,1221,13.77
BPIFA1 high Secretory Cells,22,0.25
Basal Cells,912,10.29
CCL5 high Squamous Cells,278,3.14
CD8 T Cells,301,3.39
Cilia high Ciliated Cells,1052,11.86
Dendritic Cells,14,0.16
Deuterosomal Cells,35,0.39
Developing Ciliated Cells,934,10.53
Developing Secretory and Goblet Cells,263,2.97
Early Response FOXJ1 high Ciliated Cells,628,7.08
Early Response Secretory Cells,20,0.23
Early Response T Cells,50,0.56
Enteroendocrine Cells,10,0.11
Erythroblasts,586,6.61
FOXJ1 high Ciliated Cells,1449,16.34
HOPX high Squamous Cells,6,0.07
ITGAX high Macrophages,42,0.47
Interferon Responsive Ciliated Cells,62,0.7
Interferon Responsive Cytotoxic CD8 T Cells,7,0.08
Ionocytes,92,1.04
KRT24 KRT13 high Secretory Cells,26,0.29
MUC5AC high Goblet Cells,306,3.45
Mitotic Basal Cells,141,1.59
SCGB1A1 high Goblet Cells,104,1.17
SERPINB11 high Secretory Cells,31,0.35
SPRR2D high Squamous Cells,72,0.81
VEGFA high Squamous Cells,101,1.14
