clusterName,gene
alpha_immature,ENSG00000109511
alpha_immature,ENSG00000011422
alpha_stress II,ENSG00000085563
alpha_stress II,ENSG00000004799
beta_stress I,ENSG00000102048
beta_stress II,ENSG00000101255
beta_immature,ENSG00000103034
beta_immature,ENSG00000149218
beta_immature,ENSG00000148926
beta_MHC/autoantigen,ENSG00000171155
beta_mature,ENSG00000129757
beta_mature,ENSG00000167244
beta_mtDNA deficient,ENSG00000176153
beta_mtDNA deficient,ENSG00000114023
delta,ENSG00000176956
delta,ENSG00000010278
PP,ENSG00000108849
PP,ENSG00000137267
alpha_MHC II,ENSG00000072682
alpha_MHC II,ENSG00000089356
alpha_mature,ENSG00000186493
alpha_mature,ENSG00000178695
