,Activated_CD4,Activated_CD8,Arterial,Arterial capillary,Basal,Bmem,Chief,Contamination,Enterocytes,Enterocytes_Intermediate,Enteroendocrine_CHGA,Enteroendocrine_GAST,Enteroendocrine_GHRL,Erythrocyte,Foveolar_Differentiated,Foveolar_Intermediate,Goblet,IgA1_IGKappa,IgA1_IGLambda,IgA2High_IGKappa,IgG_IGM_IGKappa,IgG_IGM_IGLambda,Intermediate,Intestinal_Undifferentiated,Macrophages,Macrophages_Activated,Mast_Cells,Mast_Cells_Activated,Monocytes,NK-cells_Gastric,NK-cells_Intestine,Naïve,Naïve_FCMR,Neck-Cells,Parietal,S1,S2,S3,SMG,Superficial,Suprabasal,Th1_Th17_TReg,Tmem,Venous,cDC1,gdT,pDC
ENSG00000187583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000188290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000187608,0.0,0.0,0.0,0.9565217391304348,0.0,0.0,0.0,0.0,0.9600389159244039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9747286607389865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000186891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000078808,0.0,0.0,0.0,0.0,0.0,0.0,0.8913043478260869,0.0,0.94767060616742,0.929597706898399,0.0,0.9167336886343749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9138078767320384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8966733605965324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000184163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175756,0.0,0.0,0.0,0.0,0.6739130434782609,0.0,0.707996666431427,0.0,0.7962504534617715,0.7808454632759094,0.7474745499051135,0.6770640184050021,0.71996594382369,0.0,0.0,0.7886988676112631,0.7163307161434836,0.0,0.0,0.0,0.0,0.0,0.7514569318812826,0.7590492678725201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.730909561333449,0.8904840531556503,0.0,0.0,0.0,0.6881505834019702,0.6757821907167849,0.7761691044206205,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000242485,0.0,0.0,0.0,0.0,0.0,0.0,0.7862516149230625,0.0,0.0,0.7963905839816384,0.7965194401533707,0.8258475078188855,0.7887632859789807,0.0,0.0,0.8023620830929797,0.0,0.0,0.0,0.0,0.0,0.0,0.8269236981868744,0.811198072588962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8036574760208959,0.0,0.0,0.0,0.0,0.782608695652174,0.0,0.8403027005817579,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160075,0.0,0.0,0.0,0.0,0.0,0.0,0.7608695652173914,0.0,0.0,0.7871282541233561,0.8052691428557687,0.7696533565935881,0.7890422201674917,0.0,0.0,0.7845622689827628,0.0,0.0,0.0,0.0,0.0,0.0,0.8119127128435217,0.794324526320333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7789481191531472,0.0,0.0,0.0,0.0,0.7902078252771626,0.7624799013137817,0.816457476304925,0.0,0.0,0.0,0.0,0.0,0.0
