Detailed_Cell_Type,mean,std,median,count,q1,q3,f_score
Intermediate,0.449589313037207,0.15843749097425072,0.5001629067976014,3887,0.3573815131515964,0.5693158534273182,0.7078479313485786
Naïve_FCMR,0.4276307923544968,0.17614097565055822,0.48226591131221663,212,0.36837409834045726,0.5509100515647714,0.4934210526315789
Neck-Cells,0.4231894245231872,0.20701580755437327,0.47971199361492356,1312,0.36939678482618993,0.5594054254753826,0.7735020661157025
Bmem,0.391182917400764,0.25409213590982527,0.4795673320764638,340,0.33059849148397485,0.5677681317793222,0.4290123456790123
Mast_Cells,0.3699052528816448,0.25132885793495197,0.46800675570337447,120,0.2671912202026183,0.5401740119980745,0.6802325581395349
Foveolar_Differentiated,0.387926857881197,0.22990990537609354,0.44890619898235085,2348,0.2649913979032111,0.5817135145226366,0.7748404740200547
Intestinal_Undifferentiated,0.40592288417354755,0.17844219913249318,0.4402813043026402,3869,0.30988564739102,0.542619846975545,0.7525383237109298
Enterocytes,0.3541054307699884,0.22747105539141516,0.4314647396169146,6441,0.3039270728210878,0.5036418255345502,0.9172065097171748
Suprabasal,0.3462689389782587,0.24177941117196886,0.41748860681445676,5692,0.20265034720074035,0.5526427779482024,0.8277758531093019
NK-cells_Intestine,0.30586275697841164,0.24460455940885917,0.3980017434515494,185,0.1742823132868439,0.499799831494438,0.7548579970104634
Macrophages,0.2282921045356041,0.3609198878830622,0.39396689719976796,298,0.0281720904003054,0.4998174050470172,0.7504970178926441
Activated_CD4,0.22710767593908956,0.3319760550137474,0.3813101280988649,149,0.0820451666060254,0.455372366344735,0.2903225806451613
Venous,0.19066405497882963,0.36487867501189075,0.3423034051045995,903,-0.039733000287639195,0.4931991602203293,0.7116854750637058
Enterocytes_Intermediate,0.21447267088270028,0.2989829228968288,0.2917397648016037,4038,0.05258225469299947,0.45323974709516157,0.6012983673994087
Goblet,0.24667170551069081,0.20132805349579444,0.2681619696918184,2990,0.13324621343715684,0.4044817501028404,0.9111517120043308
Foveolar_Intermediate,0.21081349146507533,0.24340088681046293,0.2624542314625804,2855,0.06572673433591544,0.4029057562162774,0.7116836961350511
Naïve,0.14411143551100009,0.3076643858245906,0.2439683259966464,483,-0.0476044608418859,0.40531594395327275,0.4822994478726859
Superficial,0.1379609115276631,0.23403533843348873,0.2375340991722644,5048,-9.23096729863832e-05,0.3151546204976078,0.939516129032258
Macrophages_Activated,0.10064352607833517,0.25588563127257524,0.1744828954377815,156,-0.0891621126730966,0.3131954700879852,0.6858407079646017
IgA1_IGLambda,0.03257544617872921,0.253065745431474,0.1005601824648583,369,-0.1271183186113577,0.184488096955667,0.8485639686684073
Tmem,-0.03932641517387081,0.19805967872688102,0.0203372104214306,237,-0.1389688815319209,0.1172604778575477,0.6375545851528385
Th1_Th17_TReg,-0.06538727135238033,0.24400819364089513,-0.0055822149418135,661,-0.2355023510206836,0.1306917047877554,0.3208625617043388
Arterial,-0.03581146335022876,0.3368128947002304,-0.0129829898633918,610,-0.3037506507352694,0.2714661133991726,0.5633802816901409
NK-cells_Gastric,-0.12310107172251973,0.1713054210877228,-0.0914474823901979,88,-0.2287595789817214,0.030842313921957226,0.7341269841269841
pDC,-0.1740451510806639,0.23333915327808763,-0.12979904810158394,66,-0.34788525777137597,-0.01084377083336835,0.196078431372549
gdT,-0.28063390775277514,0.17222698174176246,-0.2386727178469571,499,-0.389381714184577,-0.1538443904700496,0.2343584305408271
Activated_CD8,-0.2711275687551219,0.15289866063163043,-0.2648722766683418,1250,-0.36034897820991535,-0.1672745911884484,0.5668887038578962
