Detailed_Cell_Type,mean,std,median,count,q1,q3,f_score
IgG_IGM_IGLambda,0.8436005599379145,0.06330337059472126,0.8666267829311362,32,0.8388329781075404,0.8852063716651705,0.75
Erythrocyte,0.7927648773774664,0.16882553889713148,0.8239042594037681,121,0.7723679258924623,0.8545685934854396,1.0
IgA2High_IGKappa,0.68915577332792,0.2587355652557179,0.785696961219281,7,0.7544373103676671,0.8027282110689831,0.8695652173913043
Mast_Cells_Activated,0.6999582653664147,0.14400793753212568,0.7513854178061599,69,0.7195765386361481,0.7805986354992285,0.5160142348754448
Parietal,0.7097275044816826,0.19368691936617188,0.7458734810878369,318,0.6991838410876723,0.7723226500021718,0.7345971563981043
cDC1,0.6535915425833491,0.1786078907881336,0.7351681015200593,63,0.6325064238766969,0.7632376068167852,0.3392330383480826
SMG,0.689426349448945,0.07632844853195085,0.7132483494393038,970,0.6664474062819578,0.7363080044038959,0.8413307741522713
Enteroendocrine_GHRL,0.6652168026177688,0.14565747905423604,0.7034169271614521,629,0.6285125939584002,0.742630652652779,0.9282224727546036
IgA1_IGKappa,0.6480325383664712,0.16160367672671475,0.6943531570266871,476,0.6293190991147937,0.7281503544616511,0.965531561461794
S1,0.5637378315096648,0.2991986597186958,0.6915870796614753,850,0.5625973779183432,0.7212422981720917,0.956434651977967
Arterial capillary,0.6531556781203202,0.11148470747671405,0.6855879330019836,263,0.6127480154092764,0.734168816467275,0.3502235469448584
Enteroendocrine_CHGA,0.6251346568042844,0.18576071841162733,0.6761062346989137,648,0.5909273726151816,0.725910568506452,0.796079779917469
Enteroendocrine_GAST,0.6592648777809612,0.06495689367949956,0.639311928873171,5,0.6345349538613304,0.7145789374146837,1.0
IgG_IGM_IGKappa,0.4924520427676695,0.2878174271239009,0.607345493584532,165,0.4718264065732993,0.6613894945788726,0.7858546168958742
Chief,0.558075497909649,0.13338262863498243,0.6001485001636049,732,0.5238755658889939,0.6506289139673457,0.8603896103896104
S2,0.5150711275192598,0.2215155625649501,0.5729514667637767,116,0.45605176755695254,0.6418258928333316,0.2579365079365079
S3,0.4368989110819059,0.2739462351624997,0.5639578336626438,1386,0.35310559948526854,0.6147660123504586,0.8843064565956132
Contamination,0.4077272667002284,0.3308976697232862,0.5546102265860046,220,0.3306193746058468,0.6344335369521336,0.4280821917808219
Monocytes,0.4269745300373056,0.2694012264013257,0.5537604433917204,61,0.3430178999578672,0.6030472696332071,0.7777777777777778
Basal,0.4378537317483748,0.2403407218701989,0.5211754217938571,2603,0.4127232631156776,0.5833701676368037,0.7608568418588318
