cluster,n_cells,percentage
Activated_CD4,149,0.27
Activated_CD8,1250,2.28
Arterial,610,1.11
Arterial capillary,263,0.48
Basal,2603,4.75
Bmem,340,0.62
cDC1,63,0.11
Chief,732,1.33
Contamination,220,0.4
Enterocytes,6441,11.75
Enterocytes_Intermediate,4038,7.36
Enteroendocrine_CHGA,648,1.18
Enteroendocrine_GAST,5,0.01
Enteroendocrine_GHRL,629,1.15
Erythrocyte,121,0.22
Foveolar_Differentiated,2348,4.28
Foveolar_Intermediate,2855,5.21
gdT,499,0.91
Goblet,2990,5.45
IgA1_IGKappa,476,0.87
IgA1_IGLambda,369,0.67
IgA2High_IGKappa,7,0.01
IgG_IGM_IGKappa,165,0.3
IgG_IGM_IGLambda,32,0.06
Intermediate,3887,7.09
Intestinal_Undifferentiated,3869,7.06
Macrophages,298,0.54
Macrophages_Activated,156,0.28
Mast_Cells,120,0.22
Mast_Cells_Activated,69,0.13
Monocytes,61,0.11
Naïve,483,0.88
Naïve_FCMR,212,0.39
Neck-Cells,1312,2.39
NK-cells_Gastric,88,0.16
NK-cells_Intestine,185,0.34
Parietal,318,0.58
pDC,66,0.12
S1,850,1.55
S2,116,0.21
S3,1386,2.53
SMG,970,1.77
Superficial,5048,9.2
Suprabasal,5692,10.38
Th1_Th17_TReg,661,1.21
Tmem,237,0.43
Venous,903,1.65
