,Activated_CD4,Activated_CD8,Arterial,Arterial capillary,Basal,Bmem,Chief,Contamination,Enterocytes,Enterocytes_Intermediate,Enteroendocrine_CHGA,Enteroendocrine_GAST,Enteroendocrine_GHRL,Erythrocyte,Foveolar_Differentiated,Foveolar_Intermediate,Goblet,IgA1_IGKappa,IgA1_IGLambda,IgA2High_IGKappa,IgG_IGM_IGKappa,IgG_IGM_IGLambda,Intermediate,Intestinal_Undifferentiated,Macrophages,Macrophages_Activated,Mast_Cells,Mast_Cells_Activated,Monocytes,NK-cells_Gastric,NK-cells_Intestine,Naïve,Naïve_FCMR,Neck-Cells,Parietal,S1,S2,S3,SMG,Superficial,Suprabasal,Th1_Th17_TReg,Tmem,Venous,cDC1,gdT,pDC
MIB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04976458,0.0,0.0,0.0,0.0,0.0,0.0
GNB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041715905,0.07172014,0.06386795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03259349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035123058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAAP20,0.0,0.0,0.0,0.0,0.0,0.0,0.034138277,0.0,0.0,0.0,0.0,0.06386795,0.029859386,0.0,0.0,0.027633695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03407486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05033887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RER1,0.0,0.0,0.0,0.0,0.0,0.0,0.06104561,0.0,0.03987029,0.08032745,0.0,0.0,0.0,0.0,0.0,0.094837405,0.0,0.0,0.0,0.0,0.0,0.0,0.15702334,0.0752439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07576253,0.0,0.0,0.0,0.0,0.0,0.19784607,0.100819856,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04413113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037581116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL22,0.8582529,0.4363615,0.22152197,0.2858813,0.46944588,0.6114192,0.2796086,0.0,0.24604428,0.70391,0.37937862,0.5280945,0.2667315,0.0,0.0,0.48037568,0.5325801,0.044942856,0.05113505,0.34096184,0.0,0.107884586,0.32216972,0.9681109,0.31095606,0.5184907,0.6243005,0.6026484,0.48941505,0.3628071,0.4501764,0.67874974,0.46689296,0.54250735,0.1252761,0.7645802,0.38016224,0.5164473,0.62307763,0.13592014,0.44348562,0.58963186,0.41691184,0.52589285,0.7096105,0.36546335,0.5474211
ACOT7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087872304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESPN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1716961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMTA1,0.0,0.0,0.0,0.0,0.0,0.0,0.03985022,0.0,0.07536023,0.11166339,0.0,0.06386795,0.105053805,0.0,0.0,0.02207322,0.0,0.0,0.0,0.0,0.0,0.0,0.03266968,0.102303796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069126785,0.0,0.0,0.0,0.13219649,0.036772795,0.0,0.048123986,0.0,0.0,0.06068368,0.0,0.0,0.0
PARK7,0.0,0.0,0.0,0.0,0.18733831,0.0,0.16059339,0.0,0.0,0.12187804,0.20431164,0.28807694,0.1947442,0.0,0.0,0.1919479,0.0,0.0,0.0,0.12282764,0.0,0.01573875,0.0758943,0.16007249,0.0,0.0,0.0,0.0,0.0,0.19947508,0.23974532,0.0,0.0,0.18737513,0.0,0.0,0.0,0.0,0.104798235,0.0,0.20074734,0.0,0.0,0.095476024,0.0,0.0,0.0
ENO1,0.0,0.0,0.0,0.08753413,0.5186427,0.0,0.01727996,0.0,0.21483763,0.17958069,0.09117618,0.0,0.09928737,0.0,0.0,0.18611753,0.0,0.0,0.0,0.0,0.0,0.0,0.43673167,0.2127688,0.24326211,0.13534802,0.0,0.0,0.15046631,0.17045179,0.31730673,0.0,0.0,0.093468964,0.0,0.0,0.0,0.0,0.17923358,0.13119468,0.7392101,0.0,0.0,0.14085208,0.0,0.0,0.0
SLC2A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055221364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTNNBIP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27997267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2245352,0.12915915,0.0,0.0,0.0,0.0,0.0,0.0
RBP7,0.0,0.0,0.4117942,0.47304317,0.0,0.0,0.0,0.7417548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027381768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19340302,0.01353849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086506814,0.17686354,0.0,0.0,0.0,0.0,0.0,0.0
TARDBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019070165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04571516,0.0,0.0,0.0,0.0,0.0,0.0
DHRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.018628187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057029873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EFHD2,0.0,0.0,0.0,0.0,0.0,0.0,0.044585846,0.0,0.08306266,0.052361723,0.0,0.0,0.0,0.0,0.38876358,0.20988832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037794262,0.0,0.0,0.0,0.0,0.0,0.21437038,0.0,0.0,0.0,0.07385386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPHA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020006126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000238142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022890426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDHB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09962706,0.08842094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059176475,0.070087485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022869904,0.17139277,0.0,0.0,0.0,0.0,0.0,0.10710496,0.0,0.0,0.0,0.0,0.0,0.0
PADI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07252141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR7A3,0.0,0.0,0.0,0.0,0.0,0.0,0.15920801,0.0,0.37771255,0.07019014,0.0,0.0,0.0,0.0,0.0,0.22585402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042715386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06520537,1.3631543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
