,CD3+ T-cells,CDC1,Cholangiocytes,Cycling Myeloid,Cycling Plasma,Doublet,Erythrocytes,HSC,Hepatocytes,KC Like,LSEC,Macrophage (MHCII high),Mature B-cells,Mono-Mac,Myeloid Erythrocytes (phagocytosis),NK-like cells,Neutrophil,Plasma cells,Platelets,gd T-cells
C1QA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.359795868368439,0.0,3.912690688960314,0.0,0.0,4.2772305535073984,0.0,0.0,0.0,0.0,0.0
C1QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2933974988610375,0.0,3.3503336196782314,0.0,0.0,3.0201097880419105,0.0,0.0,0.0,0.0,0.0
C1QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.395589014665954,0.0,3.8241731373034424,0.0,0.0,4.393902934734388,0.0,0.0,0.0,0.0,0.0
HNRNPR,0.0,0.8975440590159566,0.0,0.0,0.7020630168171985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5664802154237536,0.0,0.0,0.0,0.0,0.0
ID3,0.0,0.0,0.0,0.0,0.0,0.7382931259843852,0.0,1.4668207242633382,0.0,0.0,1.7998086661641266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL11,3.7777383498269548,3.9993702953414747,3.40950667933815,3.276529895955928,3.6596664112328603,3.3287215745131835,1.2849666688782422,2.8805077351346258,1.7066085970793807,2.8522686649624838,2.8770374897118742,3.5092649185182,4.186127854041736,3.487564903104267,2.6288120086335507,3.4357541163204166,0.0,2.7651586222237423,2.7555817687826636,3.343072779463437
FUCA1,0.0,0.491819520501657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3757233060408838,0.0,0.0,0.0,0.0,1.0730118486222495,0.0,0.0,0.0,0.0,0.0
PNRC2,0.0,0.853938607161315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39528575564422347,0.0,0.0,0.0,0.0,0.0
SRSF10,0.0,0.5389882644216161,0.0,0.0,0.31645916990629763,0.7100441453852352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10293654122348969,0.0,0.0,0.0,0.0,0.0
SRRM1,1.1300943508212302,1.2185213509019714,0.0,1.038415352111338,1.0687908555338415,1.0764655133070005,0.0,0.6884057533503817,0.0,0.0,0.0,0.8610800507844794,0.8379790315132797,0.9655661794631681,0.9354838816398103,1.2352310053935984,0.0,0.25897527382697305,0.0,1.1404531033318241
