,CD3+ T-cells,CDC1,Cholangiocytes,Cycling Myeloid,Cycling Plasma,Doublet,Erythrocytes,HSC,Hepatocytes,KC Like,LSEC,Macrophage (MHCII high),Mature B-cells,Mono-Mac,Myeloid Erythrocytes (phagocytosis),NK-like cells,Neutrophil,Plasma cells,Platelets,gd T-cells
NOC2L,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISG15,0.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9592996176303686,0.0,0.0,0.0,0.0,0.0
SDF4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AURKAIP1,0.0,0.7368421052631579,0.8040866277054117,0.0,0.8671292434902557,0.0,0.0,0.0,0.0,0.0,0.0,0.7383313771448414,0.0,0.0,0.7583206011017284,0.0,0.0,0.7491088284247747,0.0,0.0
MRPL20,0.0,0.8165498977695971,0.7475500969812555,0.0,0.8290763364927021,0.0,0.0,0.0,0.0,0.0,0.0,0.73728448841022,0.0,0.0,0.7892162335497064,0.0,0.0,0.7368421052631579,0.0,0.0
SSU72,0.0,0.9284054765804318,0.0,0.0,0.8980962083750379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8947368421052632,0.0,0.0,0.0,0.0,0.0
GNB1,0.0,0.8420928914802746,0.0,0.0,0.0,0.7894736842105263,0.0,0.0,0.0,0.0,0.0,0.8423207598565199,0.0,0.82074111251583,0.8694732281105778,0.0,0.0,0.0,0.0,0.0
FAAP20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RER1,0.0,0.8802166622844972,0.0,0.0,0.9099045389031609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8726640512844747,0.0,0.0,0.8421052631578947,0.0,0.0
TNFRSF14,0.0,0.9871163651112763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.0
SMIM1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL22,0.23149609704863067,0.31663397782777486,0.1801472004216393,0.2038770749214851,0.24195054875937652,0.18536840152032222,0.06516787675364899,0.13805190716217547,0.05263157894736842,0.15589160664935528,0.15036002803058524,0.1971651871192873,0.29855606012639613,0.20916996145060757,0.1335347617987261,0.1789422337650006,0.0,0.12145268689188335,0.12668267024828336,0.15968171668209774
CAMTA1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAMP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PARK7,0.38686825005503145,0.5274555951904277,0.45288562447197833,0.27702592419073807,0.5576024973774707,0.3467451287632384,0.0,0.38099766938772245,0.0,0.2631578947368421,0.0,0.33511229836010986,0.3155725926046657,0.2897673655460692,0.3074298561611074,0.4432848656190252,0.0,0.2899587433019227,0.4779352163791982,0.0
ENO1,0.41068394250283424,0.5647516460036807,0.5073726677686204,0.5708904936074068,0.5723959241450001,0.417473930112069,0.0,0.0,0.0,0.413522413677153,0.0,0.4529098486744843,0.0,0.5304155736553454,0.4163624386903669,0.4335704623105389,0.0,0.3684210526315789,0.4191090278914808,0.0
GPR157,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9359658095173229,0.0,0.8947368421052632,0.0,0.0,0.9462247930251368,0.0,0.0,0.0,0.0,0.0
SRM,0.0,0.8947368421052632,0.0,0.0,0.9632957353754523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8986569597167116,0.0,0.0
TNFRSF1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8947368421052632,0.0,0.9281913883418,0.8985583916694242,0.0,0.0,0.0,0.0,0.0
DHRS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
EFHD2,0.0,0.7058864922355707,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,0.6607523320649348,0.0,0.6654664513572482,0.0,0.7325309413813879,0.6729176916197042,0.6646459977161004,0.0,0.0,0.0,0.7813749577768829
NECAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SDHB,0.0,0.0,0.0,0.0,0.9837655319432373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.0
MRTO4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR7A2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPZB,0.4748942775306592,0.4565025832401992,0.0,0.45088762482837375,0.42105263157894735,0.467453781532877,0.0,0.0,0.0,0.4906908350253012,0.0,0.5815435537110902,0.0,0.5374150085805129,0.45539867358278635,0.5028086158379832,0.0,0.0,0.5241388651570056,0.4534180033467036
MICOS10,0.0,0.8879131094270567,0.0,0.0,0.9134737454452626,0.8421052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8549175386908944,0.0,0.0,0.0,0.0,0.0
CAMK2N1,0.0,0.0,0.9774805269359645,0.0,0.0,0.0,0.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDOST,0.0,0.8947368421052632,0.0,0.0,0.9282948292077312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9140007889981973,0.0,0.0
HP1BP3,0.0,0.8043319540689596,0.0,0.8795114879869038,0.0,0.8630945069478306,0.0,0.0,0.0,0.0,0.0,0.7997942084381179,0.0,0.0,0.7894736842105263,0.0,0.0,0.0,0.0,0.0
EIF4G3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HSPG2,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.9741827425567455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC42,0.2126035546872245,0.253052703353789,0.10350955170984764,0.17720907581078635,0.12251398555397076,0.24360031578869162,0.0835933041283436,0.10361804438514775,0.0,0.23833479624819934,0.14335523879240647,0.21946460276326069,0.13988990785354607,0.29861190128029547,0.12766253333531088,0.238658918227445,0.3203130959354368,0.05263157894736842,0.31243395860953466,0.2692942734229592
C1QA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9011310392825846,0.0,0.8947368421052632,0.0,0.0,0.8992225270409605,0.0,0.0,0.0,0.0,0.0
C1QC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8991042358778936,0.0,0.9008188750953906,0.0,0.0,0.8947368421052632,0.0,0.0,0.0,0.0,0.0
C1QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9015990079741772,0.0,0.8947368421052632,0.0,0.0,0.9015612483922373,0.0,0.0,0.0,0.0,0.0
HNRNPR,0.0,0.9256131968061385,0.0,0.0,0.9049010819875963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8947368421052632,0.0,0.0,0.0,0.0,0.0
ID3,0.0,0.0,0.0,0.0,0.0,0.8947368421052632,0.0,0.9208774311833267,0.0,0.0,0.9355161324205641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL11,0.23713058946728732,0.27648963370873436,0.17311987984841964,0.15642074192763875,0.2159142171656363,0.16222039893988593,0.05263157894736842,0.11280226354218241,0.06563495914222787,0.11020745839312218,0.11243045593363844,0.18907666849702287,0.30876791913483004,0.18534093171292296,0.09800025626679547,0.1770243558618967,0.0,0.10373106387658575,0.10317698581908763,0.164009332218294
FUCA1,0.0,0.9071607635280042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8947368421052632,0.0,0.0,0.0,0.0,0.9574467431799335,0.0,0.0,0.0,0.0,0.0
PNRC2,0.0,0.9756369916051483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.0
SRSF10,0.0,0.906414916240793,0.0,0.0,0.8776170579082139,0.9289603861971715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8421052631578947,0.0,0.0,0.0,0.0,0.0
SRRM1,0.4820439486727206,0.5153647022451526,0.0,0.4537231905512266,0.4617695538956362,0.464105919547789,0.0,0.4012528586928204,0.0,0.0,0.0,0.41718967652652295,0.4141813381989743,0.4363335883950444,0.43005509535786884,0.5219206325485294,0.0,0.3684210526315789,0.0,0.48579244436575636
SYF2,0.0,0.9321925343910706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9152717500799167,0.8947368421052632,0.0,0.0,0.0,0.0,0.0
RSRP1,0.0,0.8775916222977285,0.0,0.0,0.0,0.8659369611368589,0.8841095022810608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8421052631578947,0.0,0.0,0.0,0.0,0.0
TMEM50A,0.0,0.7383467525051212,0.0,0.0,0.7368421052631579,0.7527923987837226,0.0,0.0,0.0,0.0,0.0,0.7924764345506712,0.0,0.0,0.7563248300252468,0.0,0.0,0.0,0.8310024513407114,0.0
RHCE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STMN1,0.0,0.0,0.0,0.9658622309053165,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF593,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH3BGRL3,0.37062507091189695,0.33676518688492524,0.14095108971612177,0.26027364496442296,0.19696089709836803,0.3259522289730605,0.10526315789473684,0.0,0.0,0.3581976256964225,0.1656138638861723,0.3798764819896605,0.2887677472840357,0.5101940975384419,0.31824163860655696,0.25868178760103416,0.345274622664059,0.11246515965989005,0.44464004392939577,0.3754523781152006
CD52,0.8835679364798741,0.8363080348687714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9223615385682467,0.8558090575468831,0.7894736842105263,0.0,0.0,0.0,0.0,0.0
HMGN2,0.0,0.5378083177188926,0.5223971892702814,0.8097497616010558,0.7841095446204234,0.5147871056562555,0.0,0.0,0.0,0.4970842706291854,0.0,0.6063770275369822,0.6049352021361878,0.5982885397000649,0.5043847049520913,0.0,0.0,0.47368421052631576,0.0,0.0
ARID1A,0.0,0.9849112389740391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.0
NUDC,0.0,0.0,0.8947368421052632,0.0,0.9335278992593855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9004771801253166,0.0,0.0,0.0,0.0,0.0
FCN3,0.0,0.0,0.0,0.0,0.0,0.9093788287791827,0.0,0.0,0.0,0.0,0.926797773420373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8947368421052632,0.0
WASF2,0.0,0.6861967853079295,0.0,0.0,0.0,0.6842105263157895,0.6893268259554841,0.0,0.0,0.7102957235543608,0.0,0.7608009332331973,0.0,0.713813279897565,0.8016093861620975,0.0,0.0,0.0,0.0,0.0
FGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
