cluster,count
Alveolar macrophages,12511
AT2,11341
AT1,9608
Monocyte-derived macrophages,9534
Intermediate pathological FB,8779
CD4+ T cells,7586
Plasma cells,5391
Alveolar FB,4670
Transitioning MDM,4203
Adventitial FB,3773
CD8+ T cells,3561
Monocytes,3176
Cycling NK/T cells,2814
Airway ciliated,2392
Pathological FB,2322
NK cells,2141
Neuronal cells,2017
Airway goblet,1757
Mast cells,1438
Endothelial cells (general),1360
Airway mucous,1307
Activated B cells,1299
Airway club,1232
ECM-high epithelial,1179
Other FB,1099
Dendritic cells,1083
Airway smooth muscle,1020
Capillary endothelial cells,1010
Arterial endothelial cells,937
Tregs,649
Cycling epithelial,609
Pericytes,597
Systemic venous endothelial cells,587
Inflamed endothelial cells,566
Pulmonary venous endothelial cells,553
B cells,546
Airway basal,534
Vascular smooth muscle,417
Endothelial cells (other),373
Mesothelial FB,232
Tuft-like,110
