Curated_annotation,mean,std,median,count,q1,q3,f_score
pDC,0.9001744168425392,0.03208129490567529,0.91108614,1213,0.886601,0.92210865,0.8019003743161531
DC1,0.7843782893388158,0.15502726290486624,0.8238474,1216,0.7899681125,0.8449196999999999,0.8848566308243727
B cells,0.7524586943760445,0.12909281583095766,0.7925368,2513,0.73377943,0.8206871,0.7878052070686632
Neutrophils,0.6857342956031979,0.14977349519538197,0.7204195,3002,0.678759675,0.749375475,0.9171989406449604
Non-inflammatory macrophages,0.5395172501338531,0.14665125495322884,0.591596685,3976,0.49149482499999997,0.63651617,0.8868787020345094
Plasma cells,0.47983241441444335,0.22214359732040692,0.5579846799999999,1994,0.47398494999999996,0.615708625,0.7877625875291764
CD16- NK cells,0.44791459742710926,0.15440738758786185,0.48347379,11492,0.39911750749999997,0.5481266174999999,0.6858311800172265
Migratory DCs,0.4083929073809524,0.13371885932756267,0.42708149500000003,42,0.363862215,0.5058444175,0.6382978723404256
CD4 T cells,0.3626529478414186,0.1321863787790424,0.40336707,5879,0.292081875,0.465117465,0.2908187790418202
Non-classical monocytes,0.2653004894194784,0.3222166100759573,0.399673,11186,0.081111315,0.5169691575,0.7340713407134072
Fibroblasts,0.18412142524519232,0.359196485317622,0.378500805,1248,0.08236056125,0.42010153,0.7054176072234764
Classical monocytes,0.2607514117938677,0.24720004638451748,0.32471368,18034,0.12322378,0.451693065,0.8228164912174256
Tem/Temra cytotoxic T cells,0.2535122603653001,0.19771304250416247,0.31181149,12662,0.13606718,0.41176638,0.7018989521326314
CD16+ NK cells,0.17731123402100693,0.28245189446942215,0.3067322,11831,-0.029717721000000002,0.40883254,0.7694664457708281
Pericentral hepatocytes,0.08389181934051644,0.2746910486841035,0.23779708500000002,27012,-0.2865455275,0.2932854425,0.7006015826873385
MAIT cells,0.07599583744032674,0.31000704547079433,0.2303238,25463,-0.218177065,0.33415227999999997,0.496271342995694
Inflammatory macrophages,0.04332358290084619,0.3910171035177289,0.18237504,8426,-0.28871482249999997,0.388288535,0.5715341503972409
Periportal LSECs,0.05468992535670425,0.09031596926630586,0.07615003,1153,0.013125466,0.13127999,0.7107438016528925
DC2,0.008578760134961774,0.25403033010950493,0.0609624235,1308,-0.20273909,0.23885373999999998,0.3462761126248864
Interzonal hepatocytes,0.01917585932682157,0.18996747817533569,0.0355658985,10200,-0.135057815,0.19402563750000001,0.4568498452012384
Macrophages,-0.066345535741505,0.31318398307380946,0.0024144170000000003,3510,-0.3716588775,0.2182118025,0.6015143017386427
NK cells,-0.01670752911449519,0.23985542075370658,-0.011274811499999999,1248,-0.1523760125,0.2017101975,0.3698979591836734
Immune mix,-0.13781483430804506,0.289039418783388,-0.027557638,4861,-0.435236,0.11292854,0.1109120754976063
Portal endothelial cells,-0.028415699699946454,0.10176597660594965,-0.04213462,747,-0.11494072699999999,0.047920493,0.6238532110091743
Central venous LSECs,-0.0943038375314097,0.21638895677120176,-0.09088968,10747,-0.26366871999999997,0.10866537500000001,0.8396902616655632
Tem/Trm cytotoxic T cells,-0.16699136009060708,0.2584205625052532,-0.122226375,39056,-0.3204350325,0.04297066025,0.649289526241692
Periportal hepatocytes,-0.16085592973581,0.23496197344738684,-0.14906465,34031,-0.377303195,0.0289827525,0.5341186538800372
Stellate cells,-0.20597848173122182,0.22250512294404368,-0.21773902,1997,-0.38340473,-0.012403852,0.7220108151411977
Cholangiocytes,-0.26410542711980173,0.08836666055919332,-0.27588448,3631,-0.337553,-0.17851472,0.8285737269728903
