free_annotation,mean,std,median,count,q1,q3,f_score
Lipofibroblast,0.912817485,0.030006534266005493,0.92628082,20,0.8937906125,0.9378695375,0.8035714285714286
Fibromyocyte,0.8691722386666666,0.06293917372301949,0.8905729,15,0.875522565,0.8998691,0.5555555555555556
Differentiating Basal,0.8747862167441861,0.02542734357745847,0.8808717,43,0.8731812,0.8918263049999999,0.7476635514018691
Bronchial Vessel 1,0.8419813981132076,0.06978195804677492,0.85304723,106,0.8368121625,0.8623334199999999,0.5851063829787234
Vein,0.7416192913809524,0.22785480707191763,0.802803185,42,0.7820107375,0.8217378575,0.7894736842105263
Myeloid Dendritic Type 2,0.6248167857142857,0.3757413757829701,0.77367026,7,0.726387925,0.7899596799999999,0.6666666666666666
Goblet,0.5415304800429185,0.43003413646322447,0.68295103,233,0.6445271,0.69843274,0.9303482587064676
Dendritic,0.646533217,0.09625457451622986,0.6818763,10,0.623742025,0.717707475,0.6578947368421053
CD4+ Memory/Effector T,0.49522703153846154,0.3014544537061604,0.66772246,13,0.343143,0.6811132,0.2941176470588235
Capillary Intermediate 1,0.48326020693181815,0.4081744307644276,0.639342815,88,0.5739230525,0.6779050375,0.5783582089552238
Classical Monocyte,0.38901038176470587,0.42449610984839775,0.55971944,17,0.5383464,0.63342535,0.7777777777777778
Neutrophil,0.18776482078431372,0.43724436166232233,0.3635699,102,0.3101544825,0.386322305,0.9623430962343096
CD8+ Naive T,0.20206510147857143,0.3294362450412218,0.338411475,280,0.15323923750000001,0.4072442725,0.7300884955752213
Signaling Alveolar Epithelial Type 2,0.1554232842288557,0.36541157928337237,0.29516178,201,0.22072847,0.34012675,0.6106194690265486
Neuroendocrine,0.18268161018181817,0.3351043452068781,0.29385313,55,0.248765295,0.31400638000000003,0.99250936329588
Pericyte,-0.3086523255561583,0.31245446639797403,-0.18962967,518,-0.5916228400000001,-0.06265729375,0.8600802407221665
Vascular Smooth Muscle,-0.4901173859659091,0.20998322655852203,-0.39335359999999997,176,-0.49064346000000003,-0.3495660725,0.5925925925925926
Airway Smooth Muscle,-0.48783147046242775,0.2089577774399385,-0.42224165999999996,346,-0.48217259,-0.36218427,0.7952691680261011
Ciliated,-0.4475933231397459,0.13303975950705013,-0.4451639,551,-0.51157433,-0.352969285,0.9940981187753596
Club,-0.5343242262472161,0.21460782650755236,-0.460372065,898,-0.813186915,-0.36196426000000004,0.8110236220472441
Alveolar Epithelial Type 2,-0.6184620116973684,0.10347225336870448,-0.5955986950000001,760,-0.7324135075,-0.5434603499999999,0.897887323943662
Capillary Aerocyte,-0.5527134720739549,0.14297399192468005,-0.6058676000000001,622,-0.655663125,-0.421726655,0.7588235294117647
Basophil/Mast 1,-0.7304133732608696,0.12047938026670835,-0.6248058000000001,46,-0.85648691,-0.62087405,0.995575221238938
Alveolar Fibroblast,-0.7005951224166667,0.11377379576772258,-0.644442025,360,-0.786843225,-0.602508065,0.8642857142857143
Natural Killer T,-0.6497304488461538,0.10515674224458771,-0.6668096299999999,52,-0.70168305,-0.6286048150000001,0.4326923076923077
Lymphatic,-0.7498111940909091,0.10471905036369686,-0.679446015,44,-0.862568025,-0.66967965,0.9669811320754716
Proliferating NK/T,-0.6732423011764705,0.02118919999540832,-0.68045694,17,-0.6863175,-0.66175073,0.8163265306122449
Natural Killer,-0.7067480640365297,0.10211822130321273,-0.69539565,1095,-0.78807578,-0.6251166,0.911561781308802
Macrophage,-0.76724071,0.11475354455821232,-0.7006565,32,-0.92485394,-0.689319385,0.7608695652173914
Capillary,-0.6849428420298165,0.11766544251133403,-0.7027709200000001,872,-0.78001473,-0.5984420675,0.7763009049773756
Alveolar Epithelial Type 1,-0.7413584054869359,0.08261609858416456,-0.7065409,421,-0.7586928,-0.6833816,0.878334417696812
Artery,-0.7911354428260869,0.11481200655512723,-0.7719305000000001,92,-0.8681475,-0.7383711774999999,0.6617647058823529
Adventitial Fibroblast,-0.8236002805696202,0.10703137080112324,-0.77988587,158,-0.954648325,-0.7536840875,0.8463035019455253
CD4+ Naive T,-0.7780070389473683,0.05292623365803812,-0.79299384,19,-0.801114295,-0.7361187,0.3703703703703703
Basal,-0.7315221010416667,0.1367875792291614,-0.7931312150000001,240,-0.8537118875,-0.5721923250000001,0.8701923076923077
B,-0.834593486875,0.027294684336637124,-0.83920485,16,-0.8427237475,-0.838074265,0.9375
Intermediate Monocyte,-0.8605404116666667,0.05889970556660477,-0.869244715,6,-0.91025885,-0.8248428825,0.8333333333333334
Nonclassical Monocyte,-0.9009791281818181,0.048183238343538076,-0.87492037,11,-0.919667215,-0.872819115,0.8974358974358975
Myofibroblast,-0.8381277244230769,0.09728974505885875,-0.879066735,52,-0.890752795,-0.85742578,0.6439393939393939
IGSF21+ Dendritic,-0.87822747,0.02543158860450692,-0.8965288650000001,8,-0.896584225,-0.8479641375,0.8928571428571429
Plasmacytoid Dendritic,-0.8801873366666667,0.09419111099881032,-0.9454033,9,-0.9675949,-0.78133184,0.945945945945946
