cluster,n_cells,percentage
CD3+ T-cells,3903,10.24
CDC1,25,0.07
Cholangiocytes,241,0.63
Cycling Myeloid,351,0.92
Cycling Plasma,493,1.29
Doublet,364,0.95
Erythrocytes,277,0.73
HSC,655,1.72
Hepatocytes,7630,20.01
KC Like,4634,12.15
LSEC,7690,20.17
Macrophage (MHCII high),2378,6.24
Mature B-cells,469,1.23
Mono-Mac,3376,8.86
Myeloid Erythrocytes (phagocytosis),70,0.18
NK-like cells,1816,4.76
Neutrophil,1143,3.0
Plasma cells,722,1.89
Platelets,111,0.29
gd T-cells,1777,4.66
