,ABCs,Alveolar macrophages,Classical monocytes,Cycling,Cycling T&NK,DC1,DC2,Erythroid,Erythrophagocytic macrophages,GC_B (I),ILC3,Intermediate macrophages,Intestinal macrophages,MAIT,MNP/B doublets,MNP/T doublets,Mast cells,Megakaryocytes,Memory B cells,NK_CD16+,NK_CD56bright_CD16-,Naive B cells,Nonclassical monocytes,Plasma cells,Plasmablasts,Pre-B,Pro-B,Progenitor,T/B doublets,T_CD4/CD8,Teffector/EM_CD4,Tem/emra_CD8,Tfh,Tgd_CRTAM+,Tnaive/CM_CD4,Tnaive/CM_CD4_activated,Tnaive/CM_CD8,Tregs,Trm/em_CD8,Trm_Th1/Th17,Trm_gut_CD8,pDC
ATAD3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9869719496587428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSU72,0.50694622644564,0.0,0.47481076746452144,0.4851034385402028,0.48753649287107514,0.5337554434450661,0.5263404279220395,0.5260184770677148,0.0,0.48796464321089955,0.0,0.4847968744068611,0.0,0.0,0.5047798142200564,0.0,0.0,0.49374500135096105,0.0,0.0,0.0,0.0,0.4846198675109119,0.4634146341463415,0.49336856458245254,0.0,0.0,0.4952036011509779,0.0,0.0,0.5171831192039862,0.597936832323307,0.0,0.5822455853950687,0.5452136513663501,0.0,0.544685324517692,0.5428356688197066,0.0,0.553109075964951,0.0,0.4776189487154891
CDK11B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977073699962802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC35E2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDK11A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NADK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9527487522218285,0.0,0.9512195121951219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9852620276009164
GNB1,0.0,0.0,0.7304388473673564,0.7674076455395397,0.7155977487564087,0.6977933877851905,0.7247077473780004,0.6829268292682927,0.0,0.6977587414950859,0.7408354035237941,0.8230992323014794,0.7780826644199651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7346108962849873,0.0,0.6949098749858577,0.0,0.0,0.6992655265622023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.746031749539259
FAAP20,0.7848444755484418,0.0,0.0,0.7667073403916708,0.7771893594323135,0.7701562555824838,0.7894849588231343,0.7482514425021846,0.0,0.7931479404612285,0.0,0.0,0.7805973451311995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7317073170731707,0.7381745475094493,0.0,0.0,0.768867832858388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8217825467993574
RER1,0.0,0.0,0.0,0.7541274515593924,0.8073710043255876,0.7343649980498523,0.7592949402041551,0.760991179361576,0.0,0.770940338693014,0.0,0.8067714920858058,0.7743425354724978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7473677062406773,0.8390185178779974,0.0,0.0,0.7317073170731707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7705475644367498
TNFRSF14,0.0,0.0,0.0,0.0,0.0,0.9032177736119527,0.0,0.0,0.0,0.0,0.0,0.0,0.919298182173473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9265689370108814,0.8817679009786467,0.8780487804878049,0.9545882664075712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRXL2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMIM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9942510796756279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRRC47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1orf174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNAB2,0.0,0.0,0.0,0.884947864020743,0.8292682926829268,0.0,0.9080034567088615,0.0,0.0,0.8554408492111578,0.0,0.9130017219520197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9281531659568228,0.0,0.8362726787241493,0.0,0.0,0.8465376147409764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL22,0.09056246571424531,0.055262334463072986,0.04671545581119817,0.06156928946332234,0.03185962467658811,0.11933387634230823,0.10060824417486423,0.14047229871517275,0.04893678426742554,0.07356130640681197,0.06711709644736313,0.036230911568897524,0.05340875794247883,0.08449870347976685,0.06362942224595605,0.09183587097540134,0.06392421373506872,0.03369401140910823,0.10957467992131303,0.035267091378933045,0.04842637224895198,0.12873779564369014,0.043047182443665295,0.024390243902439025,0.04231767392740017,0.05745894007566499,0.08719150903748303,0.14191723306004594,0.06392294023095108,0.0,0.15980534291848902,0.05016953625330111,0.15219605841287753,0.05423864213431754,0.21955810959746197,0.14668015735905346,0.2043383819300954,0.11755877733230591,0.051783218616392554,0.07260107848702407,0.11819900826710027,0.11016058340305235
ICMT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOT7,0.0,0.0,0.0,0.0,0.9882795985152082,0.0,0.0,0.975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOL9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAJC11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMTA1,0.0,0.0,0.0,0.0,0.0,0.8904078428338214,0.8617176776979028,0.8322222974242234,0.0,0.8310346138186571,0.0,0.8764772778604089,0.0,0.0,0.0,0.0,0.0,0.9462177956976542,0.0,0.0,0.0,0.0,0.0,0.0,0.8595859597368938,0.0,0.0,0.8292682926829268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAMP3,0.0,0.0,0.0,0.0,0.0,0.0,0.926829268292683,0.0,0.0,0.0,0.0,0.953963321883504,0.9422039287846263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94725100587054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARK7,0.1403063492077153,0.0,0.12822766274940678,0.273229363487988,0.3881920401642962,0.24871915724219346,0.32932470484477716,0.40232343935384984,0.37723345145946596,0.21032410423930098,0.0,0.19398960689219033,0.1437124755324387,0.1647925885712228,0.0,0.1267757764676722,0.13025115321322187,0.4622983438212697,0.13030507506393804,0.2606644761271593,0.22242360289503887,0.0,0.18057479218738834,0.12195121951219512,0.40667899498125404,0.18674158613856245,0.1503994988232124,0.26373836470813283,0.13017585946292412,0.0,0.14538437128067017,0.21658371134502133,0.1396860683836588,0.21179052823927344,0.13825572845412465,0.13774972717936446,0.1406976827761022,0.22976848265019859,0.21969272886834493,0.1549130998006681,0.15307673012338033,0.5286016595072862
RERE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9191011713772286,0.945590804262859,0.0,0.9224229106088964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9024390243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9321758848864857
ENO1,0.14355937300658808,0.24052049328641192,0.4097824750877008,0.5514126390945621,0.3966282664275751,0.34859785364895335,0.3860698269634712,0.13709580462153365,0.367684105547463,0.2898559032416925,0.26191779316925423,0.47278094000932647,0.35020713544473414,0.14423475323653803,0.0,0.35056355377522913,0.2168791526701392,0.428802622527611,0.13654580494252647,0.2163695256884505,0.1965383974517264,0.0,0.27520767072351965,0.12195121951219512,0.37443763308408784,0.0,0.16822131377894703,0.5200073908014995,0.1433383095555189,0.0,0.14930448299501,0.18484371464426924,0.13815143631725776,0.1605785271016563,0.14355937300658808,0.15683700398700992,0.1430684299003787,0.18211479594067828,0.1628509265620534,0.1433897803469402,0.0,0.22799484177333554
