cluster,n_cells,percentage
ABCs,77,0.19
Alveolar macrophages,19,0.05
Classical monocytes,5032,12.42
Cycling,848,2.09
Cycling T&NK,798,1.97
DC1,51,0.13
DC2,149,0.37
Erythroid,413,1.02
Erythrophagocytic macrophages,36,0.09
GC_B (I),8,0.02
ILC3,31,0.08
Intermediate macrophages,25,0.06
Intestinal macrophages,5,0.01
MAIT,427,1.05
MNP/B doublets,9,0.02
MNP/T doublets,245,0.6
Mast cells,86,0.21
Megakaryocytes,108,0.27
Memory B cells,608,1.5
NK_CD16+,7394,18.25
NK_CD56bright_CD16-,832,2.05
Naive B cells,765,1.89
Nonclassical monocytes,586,1.45
Plasma cells,239,0.59
Plasmablasts,175,0.43
Pre-B,72,0.18
Pro-B,37,0.09
Progenitor,1312,3.24
T/B doublets,50,0.12
T_CD4/CD8,301,0.74
Teffector/EM_CD4,2637,6.51
Tem/emra_CD8,6684,16.5
Tfh,267,0.66
Tgd_CRTAM+,1028,2.54
Tnaive/CM_CD4,4410,10.89
Tnaive/CM_CD4_activated,180,0.44
Tnaive/CM_CD8,629,1.55
Tregs,435,1.07
Trm/em_CD8,2895,7.15
Trm_Th1/Th17,167,0.41
Trm_gut_CD8,63,0.16
pDC,374,0.92
