Manually_curated_celltype,mean_silhouette,std_silhouette,median_silhouette,count
ABCs,0.004418592,0.2864007,0.12793992,77
Alveolar macrophages,-0.293186,0.38527635,-0.3165546,19
Classical monocytes,0.185646,0.42648327,0.38367307,5032
Cycling,0.34188408,0.45174676,0.5721581,848
Cycling T&NK,0.41914526,0.37033704,0.5868541,798
DC1,0.8317351,0.058858275,0.8583039,51
DC2,-0.5570656,0.123200834,-0.5458764,149
Erythroid,0.54818344,0.18359676,0.62797356,413
Erythrophagocytic macrophages,0.12557065,0.44220302,0.38824594,36
GC_B (I),-0.7222837,0.12961115,-0.70292914,8
ILC3,0.57250303,0.36208978,0.6986292,31
Intermediate macrophages,0.2968966,0.23579714,0.36023656,25
Intestinal macrophages,0.7524476,0.030929793,0.7376498,5
MAIT,0.3468545,0.42860052,0.5695401,427
MNP/B doublets,-0.46318927,0.14726174,-0.42154944,9
MNP/T doublets,-0.68525416,0.13972273,-0.64722514,245
Mast cells,0.048995916,0.5878105,0.3913748,86
Megakaryocytes,0.2527204,0.40212125,0.5489099,108
Memory B cells,0.07112195,0.24850616,0.17314923,608
NK_CD16+,0.52626383,0.23425001,0.6071099,7394
NK_CD56bright_CD16-,0.55499643,0.16886096,0.5918821,832
Naive B cells,0.006405571,0.31267717,0.08386783,765
Nonclassical monocytes,0.47421315,0.28802267,0.60293126,586
Plasma cells,0.16853806,0.16054495,0.20727618,239
Plasmablasts,0.49256462,0.20577921,0.5660973,175
Pre-B,0.24332105,0.20236619,0.32592583,72
Pro-B,0.3567795,0.335183,0.5263446,37
Progenitor,-0.59459627,0.20829676,-0.5289303,1312
T/B doublets,-0.85934186,0.056097347,-0.86468977,50
T_CD4/CD8,-0.6510143,0.13208015,-0.687203,301
Teffector/EM_CD4,-0.08303099,0.23016205,-0.06972113,2637
Tem/emra_CD8,0.37744236,0.32551926,0.5488042,6684
Tfh,-0.03023988,0.20906186,-0.0055340277,267
Tgd_CRTAM+,0.40256053,0.26316,0.4933792,1028
Tnaive/CM_CD4,0.46550637,0.2571027,0.56928265,4410
Tnaive/CM_CD4_activated,0.028811436,0.27560297,0.106615946,180
Tnaive/CM_CD8,0.49943918,0.37308004,0.646992,629
Tregs,0.18327929,0.32533997,0.3425057,435
Trm/em_CD8,0.2577386,0.29527903,0.3566602,2895
Trm_Th1/Th17,0.011103102,0.36506543,0.11690861,167
Trm_gut_CD8,0.29676282,0.34642297,0.4432584,63
pDC,0.9628784,0.03171924,0.9705732,374
