cluster,count
TA,50024
Enterocyte,37460
Mesoderm 2 (ZEB2+),34753
Mesoderm 1 (HAND1+),29435
IgA plasma cell,16882
Colonocyte,14133
SMC (PLPP2+),13219
Stromal 3 (C7+),12641
Stromal 1 (ADAMDEC1+),11554
Proximal progenitor,9655
cycling stromal,8768
Stem cells,8077
SELL+ CD4 T,7643
Stromal 2 (NPY+),7258
Memory B,6073
Naive B,5982
Activated CD8 T,5738
SMC (PART1/CAPN3+),5736
myofibroblast (RSPO2+),5670
Stromal 2 (CH25H+),5621
Goblet cell,5330
BEST4+ epithelial,4555
Immature pericyte,4522
Stromal 3 (KCNN3+),4403
Macrophages,4019
Activated CD4 T,3948
Treg,3923
venous capillary,3682
Transitional Stromal 3 (C3+),3658
ENCC/glia Progenitor,3257
Distal progenitor,3077
Paneth,3064
BEST2+ Goblet cell,3025
cycling ENCC/glia,2969
Contractile pericyte (PLN+),2784
Mature venous EC,2776
LYVE1+ Macrophage,2662
Stromal 1 (CCL11+),2529
Tfh,2501
SELL+ CD8 T,2486
gdT,2354
Cycling B cell,2199
Fetal arterial EC,2059
cDC2,2029
Branch B1 (eMN),1938
NK cell,1869
Branch A1 (iMN),1742
CD8 Tmem,1730
Neuroblast,1656
IgG plasma cell,1596
Mature arterial EC,1568
Glia 3 (BCAN+),1451
ICC,1404
RBC,1391
GC B cell,1306
arterial capillary,1277
Mesothelium,1248
Monocytes,1233
Cycling plasma cell,1157
angiogenic pericyte,1062
STAT1+ Naive B,1059
Glia 1 (DHH+),1002
Activated T,996
Fetal venous EC,982
Mesothelium (RGS5+),931
LEC4 (STAB2+),876
DZ GC cell,851
Immature B,847
LTi-like NCR- ILC3,739
Tuft,737
cycling EC,719
cycling neuroblast,699
Branch A2 (IPAN/IN),699
LEC1 (ACKR4+),685
Th17,681
Stromal 4 (MMP1+),640
LZ GC cell,628
LTi-like NCR+ ILC3,611
TRGV2 gdT,604
TRGV5/7 gdT,595
Pericyte,584
Adult Glia,580
Glia 2 (ELN+),554
LEC6 (ADAMTS4+),522
Pro-B,522
Branch B2 (eMN),512
TRGV4 gdT,491
EECs,485
Differentiating glia,459
Microfold cell,457
Mast cell,432
cDC1,431
Pre-B,426
EC cells (TAC1+),422
T reticular,421
myofibroblast,421
ILC3,413
NK T cell,411
mLTo,410
ILCP,395
LEC3 (ADGRG3+),390
mLN Stroma (FMO2+),355
Progenitor (NEUROG3+),336
MMP9+ Inflammatory macrophage,333
FCRL4+ Memory B,308
M/X cells (MLN/GHRL+),297
Branch A3 (IPAN/IN),272
IgM plasma cell,266
CLDN10+ cells,260
I cells (CCK+),227
Th1,224
TRDV2/TRGV9 gdT,224
pDC,219
Lymphoid DC,203
FDC,203
CLP,186
D cells (SST+),143
CLC+ Mast cell,142
Branch A4 (IN),136
LEC5 (CLDN11+),136
L cells (PYY+),118
MPO+ mono-neutrophil,117
CX3CR1+ CD8 Tmem,111
MAIT cell,104
K cells (GIP+),83
Megakaryocyte,59
EC cells (NPW+),59
Branch B3 (IPAN),59
ILC2,48
LEC2 (MADCAM1+),47
N cells (NTS+),44
β cells (INS+),31
Mesothelium (PRG4+),25
Germ,14
