,Endo_Endo-Lymph,Endo_Endothelial,EpD_HF_HairFollicle,EpD_KRT0_StemCyclingKeratinocyte,EpD_KRT1_Basal,EpD_KRT2_Basalinflammatory,EpD_KRT3_earlySpinous,EpD_KRT4_diffSpinous,EpD_KRT5_Granular,Imm_DC,Imm_Langerhans,Imm_Macrophage,Imm_Mono,Imm_NK,Imm_Tc,Imm_Th,Imm_Treg,Mes_FibroDS,Mes_FibroInflammatory,Mes_FibroPapillary,Mes_FibroReticular,Mes_PeriV,Mes_PeriVInflammatory,Mixed_Erythocytes,Schwann_Melano
RSL1D1,0.0,0.625,0.0,0.833333320915699,0.75,0.75,0.75,0.625,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.625,0.0,0.0,0.0,0.625,0.0,0.0
RIF1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPL54,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKS1B,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSF1R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9791666666666666,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPP7,0.875,0.0,0.0,0.8333333333333334,0.0,0.0,0.875,0.8333333333333334,0.916666661699613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOR1AIP2,0.0,0.0,0.0,0.8749999925494194,0.8125,0.8125,0.8125,0.75,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBXO42,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.9166666666666666,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBD2,0.0,0.6666666666666666,0.0,0.9027777686715126,0.7291666666666666,0.7291666666666666,0.8055555472771326,0.7291666666666666,0.7291666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DGKH,0.0,0.7916666666666666,0.0,0.9027777711550394,0.8541666666666666,0.8541666666666666,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7916666666666666,0.0,0.0
TIE1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAGI1,0.8229166666666666,0.9409722164273262,0.0,0.75,0.7916666641831398,0.75,0.75,0.0,0.8229166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARVB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRDX6,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.84375,0.4583333333333333,0.4583333333333333,0.6875,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.0,0.0
BMP2K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRCH1,0.0,0.7847222089767456,0.0,0.7847222089767456,0.5625,0.5625,0.6979166666666666,0.0,0.5625,0.5625,0.6979166666666666,0.0,0.5625,0.5416666666666666,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,0.0,0.6979166666666666,0.0,0.0
CREB5,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.9166666666666666,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0
C2CD4B,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PMVK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC25A5,0.25,0.4375,0.5555555373430252,0.9065656537810961,0.5555555373430252,0.5555555373430252,0.743055542310079,0.7000000054637591,0.0,0.4375,0.25,0.25,0.4375,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.25,0.4375,0.0,0.25
RPS7,0.24053029716014862,0.3919270833333333,0.1484375,0.819733793536822,0.5616987148920695,0.5733024651805559,0.7640151580174764,0.6439950913190842,0.0277777761220932,0.36527776966492337,0.24053029716014862,0.0277777761220932,0.052083333333333336,0.09469696631034215,0.052083333333333336,0.24053029716014862,0.1484375,0.1484375,0.21041666467984518,0.1279761865735054,0.1484375,0.24053029716014862,0.36527776966492337,0.0,0.21041666467984518
GGT1,0.0,0.0,0.0,0.9444444378217062,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
