cluster,count
EpD_KRT3_earlySpinous,1720
EpD_KRT1_Basal,1322
Endo_Endothelial,1315
Mes_FibroInflammatory,858
Mes_PeriVInflammatory,813
Mes_PeriV,747
Imm_Tc,644
EpD_KRT4_diffSpinous,623
Mes_FibroReticular,576
EpD_KRT5_Granular,462
Mes_FibroDS,400
Mes_FibroPapillary,311
EpD_KRT2_Basalinflammatory,271
Imm_DC,238
Imm_Macrophage,238
Endo_Endo-Lymph,197
Imm_Th,181
Schwann_Melano,155
EpD_HF_HairFollicle,117
Imm_Treg,63
EpD_KRT0_StemCyclingKeratinocyte,50
Imm_Mono,26
Imm_Langerhans,21
Imm_NK,14
Mixed_Erythocytes,7
