cluster,count
"T cells, central memory and naïve",10103
"Ciliated cells, major (common) subtype",9580
"Endothelial cells, venous; fenestrated",6759
Monocytes,6247
"Alveolar epithelial cells, type 2",6246
"Fibroblasts, common subtype",5139
T-NK intermediate cells,4836
"Secretory cells, major (common) subtype",4734
B cells,4601
"Ciliated cells, secretory-like",4487
Neutrophils,4142
"CD8+ enriched T, common subtype",3577
"Smooth muscle cells, vascular enriched 1",3523
"Endothelial cells, capillary, common",3430
"Endothelial cells, capillary, aerocyte-enriched",3420
Basal cells,2916
Mast cells,2713
"Macrophages, non-inflammatory, M2-like",2390
Intermediate cells,2355
Natural killer cells,2303
"Macrophages, M1-2 intermediate",1946
"Dendritic cells, conventional (myeloid)",1643
"Secretory cells, mucous",1544
"T cells, undefined",1477
"Fibroblasts, matrix and myofibroblasts",1320
"Smooth muscle cells, vascular enriched 2",1281
"Macrophages, inflammatory, M1-like",1263
"Glandular, serous cells",1249
"Fibroblasts, adventitial-enriched",1081
Pre-ciliated (deuterosomal) cells,900
Hybrid cells,876
"Endothelial cells, lymphatic",870
Undetermined or mixed,783
Terminal airway-enriched secretory cells,719
"T cells, resident memory",643
"Smooth muscle cells, airway-enriched",634
Pericytes,619
"Chondrocytes, cartilage cells",536
Plasma cells,523
"Endothelial cells, smooth muscle-like",502
"Glandular, mucous cells",295
"T cells, interferon-stimulated",286
"Fibroblasts, alveolar-enriched",254
"Endothelial cells, arterial",254
"Glial, Schwann cells",206
"Alveolar epithelial cells, type 1",180
Neuroendocrine cells,135
Ionocytes,107
Myoepithelial cells,82
"Dendritic cells, plasmacytoid",79
