cluster,n_cells,percentage
"Alveolar epithelial cells, type 1",144,0.17
"Alveolar epithelial cells, type 2",4909,5.71
B cells,3640,4.23
Basal cells,1743,2.03
"CD8+ enriched T, common subtype",2957,3.44
"Chondrocytes, cartilage cells",290,0.34
"Ciliated cells, major (common) subtype",6194,7.2
"Ciliated cells, secretory-like",2715,3.16
"Dendritic cells, conventional (myeloid)",1317,1.53
"Dendritic cells, plasmacytoid",66,0.08
"Endothelial cells, arterial",146,0.17
"Endothelial cells, capillary, aerocyte-enriched",2634,3.06
"Endothelial cells, capillary, common",3017,3.51
"Endothelial cells, lymphatic",603,0.7
"Endothelial cells, smooth muscle-like",375,0.44
"Endothelial cells, venous; fenestrated",4743,5.52
"Fibroblasts, adventitial-enriched",956,1.11
"Fibroblasts, alveolar-enriched",169,0.2
"Fibroblasts, common subtype",3260,3.79
"Fibroblasts, matrix and myofibroblasts",277,0.32
"Glandular, mucous cells",206,0.24
"Glandular, serous cells",878,1.02
"Glial, Schwann cells",124,0.14
Hybrid cells,685,0.8
Intermediate cells,2064,2.4
Ionocytes,80,0.09
"Macrophages, M1-2 intermediate",1246,1.45
"Macrophages, inflammatory, M1-like",1254,1.46
"Macrophages, non-inflammatory, M2-like",1352,1.57
Mast cells,1339,1.56
Monocytes,4935,5.74
Myoepithelial cells,29,0.03
Natural killer cells,2003,2.33
Neuroendocrine cells,103,0.12
Neutrophils,4052,4.71
Pericytes,455,0.53
Plasma cells,396,0.46
Pre-ciliated (deuterosomal) cells,438,0.51
"Secretory cells, major (common) subtype",3572,4.15
"Secretory cells, mucous",1169,1.36
"Smooth muscle cells, airway-enriched",468,0.54
"Smooth muscle cells, vascular enriched 1",2571,2.99
"Smooth muscle cells, vascular enriched 2",800,0.93
"T cells, central memory and naïve",8947,10.41
"T cells, interferon-stimulated",270,0.31
"T cells, resident memory",627,0.73
"T cells, undefined",1010,1.17
T-NK intermediate cells,3806,4.43
Terminal airway-enriched secretory cells,554,0.64
Undetermined or mixed,388,0.45
