cluster,count
"T cells, central memory and naïve",8947
"Ciliated cells, major (common) subtype",6194
Monocytes,4935
"Alveolar epithelial cells, type 2",4909
"Endothelial cells, venous; fenestrated",4743
Neutrophils,4052
T-NK intermediate cells,3806
B cells,3640
"Secretory cells, major (common) subtype",3572
"Fibroblasts, common subtype",3260
"Endothelial cells, capillary, common",3017
"CD8+ enriched T, common subtype",2957
"Ciliated cells, secretory-like",2715
"Endothelial cells, capillary, aerocyte-enriched",2634
"Smooth muscle cells, vascular enriched 1",2571
Intermediate cells,2064
Natural killer cells,2003
Basal cells,1743
"Macrophages, non-inflammatory, M2-like",1352
Mast cells,1339
"Dendritic cells, conventional (myeloid)",1317
"Macrophages, inflammatory, M1-like",1254
"Macrophages, M1-2 intermediate",1246
"Secretory cells, mucous",1169
"T cells, undefined",1010
"Fibroblasts, adventitial-enriched",956
"Glandular, serous cells",878
"Smooth muscle cells, vascular enriched 2",800
Hybrid cells,685
"T cells, resident memory",627
"Endothelial cells, lymphatic",603
Terminal airway-enriched secretory cells,554
"Smooth muscle cells, airway-enriched",468
Pericytes,455
Pre-ciliated (deuterosomal) cells,438
Plasma cells,396
Undetermined or mixed,388
"Endothelial cells, smooth muscle-like",375
"Chondrocytes, cartilage cells",290
"Fibroblasts, matrix and myofibroblasts",277
"T cells, interferon-stimulated",270
"Glandular, mucous cells",206
"Fibroblasts, alveolar-enriched",169
"Endothelial cells, arterial",146
"Alveolar epithelial cells, type 1",144
"Glial, Schwann cells",124
Neuroendocrine cells,103
Ionocytes,80
"Dendritic cells, plasmacytoid",66
Myoepithelial cells,29
