,"Alveolar epithelial cells, type 1","Alveolar epithelial cells, type 2",B cells,Basal cells,"CD8+ enriched T, common subtype","Chondrocytes, cartilage cells","Ciliated cells, major (common) subtype","Ciliated cells, secretory-like","Dendritic cells, conventional (myeloid)","Dendritic cells, plasmacytoid","Endothelial cells, arterial","Endothelial cells, capillary, aerocyte-enriched","Endothelial cells, capillary, common","Endothelial cells, lymphatic","Endothelial cells, smooth muscle-like","Endothelial cells, venous; fenestrated","Fibroblasts, adventitial-enriched","Fibroblasts, alveolar-enriched","Fibroblasts, common subtype","Fibroblasts, matrix and myofibroblasts","Glandular, mucous cells","Glandular, serous cells","Glial, Schwann cells",Hybrid cells,Intermediate cells,Ionocytes,"Macrophages, M1-2 intermediate","Macrophages, inflammatory, M1-like","Macrophages, non-inflammatory, M2-like",Mast cells,Monocytes,Myoepithelial cells,Natural killer cells,Neuroendocrine cells,Neutrophils,Pericytes,Plasma cells,Pre-ciliated (deuterosomal) cells,"Secretory cells, major (common) subtype","Secretory cells, mucous","Smooth muscle cells, airway-enriched","Smooth muscle cells, vascular enriched 1","Smooth muscle cells, vascular enriched 2","T cells, central memory and naïve","T cells, interferon-stimulated","T cells, resident memory","T cells, undefined",T-NK intermediate cells,Terminal airway-enriched secretory cells,Undetermined or mixed
HES4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27790142689222397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3630419864378148,0.3369504835038864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5054454603887345,0.6535887421201527,0.0,0.0,0.8236609388230527,0.0,0.0,0.0,0.0,0.0,0.36603575385831005,0.0
ISG15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2736673189227317,0.0,0.0,0.0,0.0,0.0,0.3214843632302733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41883232567139306,0.5037141541750105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7712595997456935,0.6746303595699266,0.0,0.0,0.0,0.0
TTLL10,0.0,0.0,0.0,0.0,0.0,0.0,0.6641064955441267,0.4179636766257133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29990113316111894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2504225507443719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFRSF18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15461769005090512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDF4,0.0,0.0,0.0,0.0,0.0,0.3010794532155221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2185058127044004,0.0,0.31664195528635924,0.0,0.0,0.24240192252780096,0.0,0.0,0.0,0.13316580297500658,0.0,0.0,0.0,0.0,0.11345771831149676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTS11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12730000341213263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MXRA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5738351214614368,0.0,0.5855750208166041,0.5982876234072868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AURKAIP1,0.0,0.4825416643423391,0.0,0.3529515214341878,0.0,0.29850753081653814,0.5169682950242056,0.5383127852640084,0.3734538797004677,0.49217660485318926,0.0,0.0,0.0,0.0,0.44372546000678,0.0,0.5136815245733214,0.2814716238097217,0.0,0.0,0.43175150339603463,0.0,0.0,0.49973249312822426,0.6003930104720341,0.6542025890128311,0.0,0.39157747309542806,0.4507678225413749,0.0,0.0,0.0,0.0,0.4419014689944073,0.0,0.0,0.2917099164751864,1.0872721664031282,0.4934293179838045,0.3592993475792574,0.5205100229534698,0.0,0.24128201638785152,0.0,0.0,0.0,0.0,0.0,0.4195473624741278,0.0
CCNL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10621941991510324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15107456230989327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19777997207384462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPL20,0.0,0.3325474039052246,0.0,0.0,0.0,0.24857126596587065,0.42891165186402547,0.3220440011749934,0.0,0.0,0.0,0.0,0.0,0.0,0.31707689862271166,0.0,0.4873563231805425,0.0,0.0,0.0,0.0,0.0,0.0,0.3820484700270234,0.3585023496219623,0.0,0.0,0.0,0.3180605025246433,0.0,0.0,0.0,0.0,0.31453976661066385,0.0,0.0,0.0,0.5995127315158311,0.0,0.10532205443634811,0.4668349928791677,0.0,0.2971357059015932,0.0,0.0,0.0,0.0,0.0,0.0,0.0
