,Adipocyte,Endothelial cell (lymphatic),Endothelial cell (vascular),Epithelial cell (basal keratinocyte),Epithelial cell (cornified keratinocyte),Epithelial cell (mature keratinocyte),Epithelial cell (suprabasal keratinocyte),Fibroblast,Immune (DC/macrophage),Immune (Langerhans),Immune (T cell),Immune (mast cell),Melanocyte,Pericyte/SMC,Sebaceous gland cell,Sweat gland cell,Unknown
ENSG00000187583,0.0,0.0,0.0,0.0,0.0,0.87602913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142599,0.0,2.042117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8184364,0.0,0.0,1.666868,1.9509559,0.0
ENSG00000178585,0.0,0.0,0.0,0.0,2.8125873,2.8622952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000054523,0.0,0.0,0.0,0.0,0.5397584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130940,0.0,0.0,0.0,0.0,0.0,2.3128643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000048707,0.0,0.0,0.0,1.5454578,0.0,1.9581814,2.4611382,0.0,0.0,0.0,0.0,0.8184364,0.0,0.0,0.0,0.0,0.0
ENSG00000189337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4209378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000058453,0.0,2.3459196,0.0,0.0,0.0,0.0,0.0,0.0,2.3924584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7328323,0.0,0.0
ENSG00000146463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0374017,0.0,0.0,0.0,0.0,0.0
ENSG00000127603,0.0,2.2531729,2.2914152,2.7015338,0.0,3.4826465,3.0154915,0.0,0.0,0.0,0.0,2.5172348,0.0,0.0,0.0,2.0846548,1.8465071
ENSG00000084070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5137157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185104,0.0,2.147602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0476222,0.0,0.0
ENSG00000085832,0.0,1.9477983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6417577,0.0,0.0,0.0,0.0
ENSG00000078618,0.0,0.0,0.0,0.0,0.9380439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
