,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),CB CD34+,Dendritic cell,Erythroid cell,Erythroid progenitor cell (RP high),Macrophage,Monocyte,Neutrophil,Neutrophil (RPS high),T cell
ENSG00000124172,0.0,2.6846113,0.0,0.0,2.8756192,2.3579721,2.210851,0.0,1.8422426,0.0,0.0,2.8294566
ENSG00000084207,2.6285357,0.0,0.0,2.7963428,2.8661933,0.0,0.0,0.0,0.0,1.9874947,2.7610006,0.0
ENSG00000162704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8855101
ENSG00000145425,3.1472387,3.8840268,2.137714,3.8335943,3.2329602,3.360498,3.6703413,0.0,0.0,3.1493726,3.820485,3.1408665
ENSG00000135678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.208604,0.0,0.0,0.0,0.0
ENSG00000213719,0.0,0.0,0.0,1.8154814,0.0,0.0,0.0,0.0,2.176171,0.0,0.0,1.7018903
ENSG00000186468,3.6567655,3.9366608,2.6085916,4.135782,3.7665284,3.7358136,4.1015744,1.4453747,2.4470394,3.3151019,4.2582593,3.6092653
ENSG00000125534,0.0,0.0,0.0,1.7088923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131469,2.8661933,3.1254396,0.0,3.0099509,3.0154684,2.8826218,3.204776,0.0,3.1303434,2.80214,3.202177,2.8272102
ENSG00000126088,0.0,0.0,0.0,0.0,0.0,2.7588682,2.1539745,0.0,0.0,0.0,0.0,0.0
ENSG00000196531,2.9168253,2.8408215,1.9016008,2.673195,2.5832353,2.7994797,3.189772,2.9705815,2.6253614,2.580975,3.1117015,2.5210495
ENSG00000092841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.983747,2.1085014,0.0,2.7071173
ENSG00000122566,0.0,2.3427637,0.0,2.3510587,0.0,1.5553873,2.1206744,0.0,0.0,0.0,0.0,2.193677
ENSG00000143977,0.0,0.8077729,0.0,2.2203095,0.0,2.6108298,2.8752244,0.0,0.0,0.0,0.0,2.9201388
ENSG00000160255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.176171,0.0,0.0,0.0
ENSG00000116288,0.0,0.0,0.0,0.0,0.0,0.0,1.4230134,0.0,0.0,0.0,0.0,0.0
ENSG00000163131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.208604,3.1797805,0.0,0.0,0.0
ENSG00000163191,3.2605035,0.0,0.0,0.0,2.964363,0.0,0.0,0.0,3.8035388,2.6877544,0.0,1.8855101
ENSG00000181163,0.0,0.9208979,0.0,2.8190215,0.0,1.4657164,3.1853178,0.0,0.0,0.0,2.8760183,2.294614
ENSG00000272398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5686498,0.0,0.0
ENSG00000197561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8279583,0.0,0.0
ENSG00000196683,0.0,0.0,0.0,1.7088923,0.0,0.0,2.0036974,0.0,0.0,0.0,0.0,0.0
ENSG00000188243,0.0,0.0,0.0,2.1803377,0.0,0.0,0.0,0.0,0.0,0.0,1.866786,1.7242467
ENSG00000175061,0.0,0.0,0.0,1.812902,0.0,0.0,1.8850361,0.0,0.0,0.0,2.1894455,0.0
ENSG00000172809,0.0,2.755282,0.0,2.7302628,0.0,2.4900556,2.9085948,1.3025038,0.0,0.0,2.690954,2.193677
