Manually_curated_celltype,mean_silhouette,std_silhouette,median_silhouette,count
ABCs,0.012989815,0.31582645,0.10177142,31
Alveolar macrophages,-0.48054323,0.20075771,-0.4792983,11
Classical monocytes,-0.17023867,0.30264032,-0.16928506,1495
Cycling,-0.3433913,0.33562207,-0.36466667,16
Cycling T&NK,0.15733126,0.4056477,0.3371516,142
DC1,0.8229044,0.065671235,0.843248,32
DC2,-0.09574552,0.3562964,0.02655192,92
Erythroid,0.61587775,0.15048695,0.67338425,5
Erythrophagocytic macrophages,-0.16301283,0.32669595,-0.019557796,433
ILC3,-0.45532545,0.22046575,-0.32945552,9
Intermediate macrophages,0.27556828,0.2737995,0.40435356,38
Intestinal macrophages,0.34693584,0.44398287,0.5990291,5
MAIT,-0.34781796,0.26189533,-0.43578154,2239
MNP/B doublets,-0.5101512,0.109069586,-0.5408622,113
MNP/T doublets,-0.57198924,0.16753401,-0.6112301,92
Mast cells,0.92343557,0.013214287,0.9212117,5
Memory B cells,0.111879334,0.18838115,0.18605128,149
NK_CD16+,0.507502,0.2446892,0.5913681,1882
NK_CD56bright_CD16-,0.59055805,0.21534835,0.6582365,1705
Naive B cells,0.47361755,0.1474546,0.5096482,106
Nonclassical monocytes,0.40884587,0.29156917,0.5366845,458
Plasma cells,0.29289588,0.11226287,0.32866678,171
Plasmablasts,0.565184,0.23733464,0.65049046,37
Progenitor,-0.4075447,0.17295256,-0.40896767,9
T/B doublets,-0.7372197,0.106039174,-0.7288678,28
T_CD4/CD8,-0.540914,0.15716319,-0.52735776,331
Teffector/EM_CD4,-0.08315276,0.22645287,-0.011428568,259
Tem/emra_CD8,0.1161987,0.3405224,0.19461703,750
Tfh,-0.27639893,0.22276682,-0.1971463,8
Tgd_CRTAM+,0.375787,0.32263112,0.5072123,1036
Tnaive/CM_CD4,0.13834022,0.33821875,0.32460296,55
Tnaive/CM_CD4_activated,-0.28708425,0.25657812,-0.26693034,7
Tnaive/CM_CD8,0.31328407,0.41027036,0.49628535,24
Tregs,0.47329244,0.41399285,0.6390111,49
Trm/em_CD8,0.13049005,0.29823443,0.23633751,806
Trm_Tgd,-0.58366734,0.13211614,-0.6326695,7
Trm_Th1/Th17,0.13608675,0.31990394,0.22117345,587
Trm_gut_CD8,0.24493363,0.28271952,0.38197786,115
pDC,0.95807093,0.043735057,0.96948874,25
