cluster,count
MAIT,2239
NK_CD16+,1882
NK_CD56bright_CD16-,1705
Classical monocytes,1495
Tgd_CRTAM+,1036
Trm/em_CD8,806
Tem/emra_CD8,750
Trm_Th1/Th17,587
Nonclassical monocytes,458
Erythrophagocytic macrophages,433
T_CD4/CD8,331
Teffector/EM_CD4,259
Plasma cells,171
Memory B cells,149
Cycling T&NK,142
Trm_gut_CD8,115
MNP/B doublets,113
Naive B cells,106
MNP/T doublets,92
DC2,92
Tnaive/CM_CD4,55
Tregs,49
Intermediate macrophages,38
Plasmablasts,37
DC1,32
ABCs,31
T/B doublets,28
pDC,25
Tnaive/CM_CD8,24
Cycling,16
Alveolar macrophages,11
Progenitor,9
ILC3,9
Tfh,8
Tnaive/CM_CD4_activated,7
Trm_Tgd,7
Mast cells,5
Intestinal macrophages,5
Erythroid,5
