Manually_curated_celltype,mean,std,median,count,q1,q3,f_score
pDC,0.9580709172,0.04373506065053143,0.96948874,25,0.9623305,0.9727039,0.8235294117647058
Mast cells,0.9234355799999999,0.013214295851538998,0.9212117,5,0.9115235,0.9351955,0.9523809523809524
DC1,0.82290438875,0.06567122994828867,0.8432480250000001,32,0.811325955,0.8672009125,0.9191176470588236
Erythroid,0.61587774,0.15048694836947205,0.67338425,5,0.63005126,0.69977593,0.9523809523809524
NK_CD56bright_CD16-,0.5905580745267449,0.21534835130386723,0.6582365,1705,0.5812093,0.7103341,0.651186790505676
Plasmablasts,0.565184005081081,0.2373346408956619,0.65049046,37,0.5854384,0.6878077,0.7920792079207921
Tregs,0.47329244571428575,0.41399286167463145,0.6390111,49,0.5377499,0.65890765,0.5670103092783505
Intestinal macrophages,0.346935828,0.4439828643091903,0.5990291,5,0.3383412,0.60147864,0.8823529411764706
NK_CD16+,0.5075020403845377,0.24468919389858904,0.5913681,1882,0.4703862025,0.6533523250000001,0.8408134642356241
Nonclassical monocytes,0.40884584648471617,0.291569160930089,0.53668451,458,0.379468775,0.5863513499999999,0.7147562582345192
Naive B cells,0.47361756982075476,0.14745460550044248,0.50964818,106,0.45373897500000004,0.5587830850000001,0.576036866359447
Tgd_CRTAM+,0.3757869785076255,0.32263113068373006,0.5072123,1036,0.291650735,0.594412355,0.4658792650918635
Tnaive/CM_CD8,0.313284085,0.4102703610966986,0.49628534999999996,24,0.392141975,0.5247899525,0.5
Intermediate macrophages,0.2755682744736842,0.27379951175026096,0.40435357,38,0.1362993175,0.47616643999999997,0.4838709677419355
Trm_gut_CD8,0.24493362685826087,0.28271951156988273,0.38197786,115,0.165128,0.44605127,0.3829787234042553
Cycling T&NK,0.15733125558450706,0.4056476918908463,0.33715159,142,-0.0472394525,0.47219342249999996,0.680628272251309
Plasma cells,0.2928958861187135,0.11226287083532889,0.32866678,171,0.25831561999999997,0.362174965,0.7641921397379913
Tnaive/CM_CD4,0.13834021896363635,0.3382187494556279,0.32460296,55,-0.14190466499999999,0.38134778,0.4491017964071856
Trm/em_CD8,0.13049005402911787,0.29823442867757277,0.23633751,806,-0.04804553375,0.370879195,0.4748118123914302
Trm_Th1/Th17,0.13608674507829643,0.3199039363616825,0.22117345,587,-0.059811729499999994,0.389256775,0.4220045214770158
Tem/emra_CD8,0.11619870460636,0.34052242154113965,0.19461704000000002,750,-0.092236762,0.411982375,0.4686035613870665
Memory B cells,0.11187932970805368,0.18838115530503116,0.18605128,149,0.04281356,0.2246208,0.6238361266294227
ABCs,0.012989812419354835,0.3158264326793005,0.10177142,31,-0.110245972,0.289595095,0.5223880597014925
DC2,-0.09574552298913043,0.3562963793994018,0.02655192,92,-0.34002707499999996,0.2005751275,0.6451612903225806
Teffector/EM_CD4,-0.08315276147413127,0.22645287058335176,-0.011428568,259,-0.20205262499999999,0.09279455,0.4359925788497217
Erythrophagocytic macrophages,-0.16301282589002308,0.3266959352538326,-0.019557796,433,-0.49858505,0.11803336,0.7435897435897436
Classical monocytes,-0.17023867859270903,0.30264032548168346,-0.16928506,1495,-0.46424891,0.149994585,0.8468584284107343
Tfh,-0.276398918,0.22276681157639244,-0.19714629,8,-0.3417763925,-0.136536925,0.625
Tnaive/CM_CD4_activated,-0.28708423428571433,0.25657813517201145,-0.26693034,7,-0.47506009000000005,-0.14357077000000001,0.4545454545454545
ILC3,-0.45532545222222226,0.22046574675375918,-0.32945552,9,-0.68599766,-0.2961247,0.7142857142857143
Cycling,-0.3433912911875,0.3356220585772272,-0.364666665,16,-0.59480805,-0.041837110250000004,0.5357142857142857
Progenitor,-0.40754468777777775,0.17295255989984487,-0.40896767,9,-0.47239834,-0.30671915,0.8
MAIT,-0.3478179573379455,0.2618953427791446,-0.43578154,2239,-0.603931,-0.074503683,0.6242095754290876
Alveolar macrophages,-0.4805432409090909,0.2007577116917109,-0.4792983,11,-0.6522653199999999,-0.3728462,0.5263157894736842
T_CD4/CD8,-0.5409139754682779,0.1571631873407369,-0.52735776,331,-0.674629715,-0.422277315,0.3855878634639696
MNP/B doublets,-0.5101511965486726,0.10906958731635606,-0.5408622,113,-0.57501924,-0.46301168,0.6361323155216285
MNP/T doublets,-0.5719892708695652,0.16753401595187542,-0.61123007,92,-0.6979408349999999,-0.40902764,0.3125
Trm_Tgd,-0.5836673357142858,0.13211614816754585,-0.6326695,7,-0.6700505000000001,-0.535142425,0.6666666666666666
T/B doublets,-0.7372196582142857,0.10603917256640906,-0.7288678150000001,28,-0.849203915,-0.6559114500000001,0.4807692307692308
