,C_BEST4,C_EEC,C_ISC,C_TA,C_earlyACC,C_goblet,C_lateACC,C_secretory_prog,C_tuft,SI_AE2,SI_BEST4,SI_EEC,SI_FAE,SI_ISC,SI_TA,SI_TA2,SI_earlyAE,SI_goblet,SI_intermAE,SI_matureAE,SI_paneth,SI_secretory_prog,SI_tuft
ENSG00000274898,4.3541255566206845,0.9713542082092979,6.224469978700984,2.250866182825782,1.1712544777176597,46.549908204512164,1.0908800146796487,1.8263018293814226,1.15931389819492,1.174981409853155,26.158308627930555,0.9715612666173414,0.990209855816581,1.1657209938222712,1.1084552759473973,1.0359206985343585,2.9143756492571398,1.0022981058467517,1.2311548346822911,1.138985208489678,0.9723495001142676,1.3817820278081028,1.0131703235886313
ENSG00000273216,12.663827852769332,0.9293469705364921,2.0835734876719387,10.696310861544175,1.343761067498814,2.5848302949558604,1.1255997744473545,1.3989260467615994,0.9282114857977087,1.2279063869606366,2.402634401213039,0.9332355044104836,0.9321055981245908,1.153110002929514,1.2698705954985186,0.9565392299131914,2.6041343808174133,0.9275119819424369,1.2367007000879808,1.1831029734828256,1.0054962716319344,4.308992098678242,0.9263316609642722
ENSG00000225498,1.7616980780254712,0.790855738249692,4.926411921327764,2.1762819669463416,3.0991986475207587,1.1020497219129042,1.3384350484067744,0.8502317910844629,0.8211043666709553,1.6301388063214042,1.0610401251099326,0.7969842634417794,0.7893443920395591,0.8114425837993622,1.2136758186600425,0.7937894761562347,2.1966431709853085,0.7929916950789365,1.479107455773787,1.4541444317861036,0.8728933767838911,10.105060772462325,0.807583136992021
ENSG00000271366,1.077681232582439,0.7405003173784777,23.559176683425903,1.307483510537581,2.2947953912344845,0.8092541125687686,1.3795116760514,0.727081913839687,0.7196271825920452,1.8092988702383908,0.8313325860283591,0.7453552674163472,0.7105259732766585,0.7076607156883586,0.7402142530137842,0.7072299014438282,13.909356258132242,0.7135484570806677,1.7541920325972817,1.5947744304483586,0.7027939016168768,0.8959214795719493,0.7213498110120947
ENSG00000257268,0.6929641528563066,0.670328828421506,0.6459120051427321,0.8524548573927446,2.2588266296820207,0.605094625191255,1.4955018298192457,0.5713165890086781,0.577028751373291,2.2794622507962314,0.6289096555926583,0.675216179002415,0.6247746836055409,0.5748068310997703,0.5766220472075723,0.6113176887685602,0.7150443683971058,0.6137568219141527,2.850748208436099,1.9225973405621268,0.6719728952104395,0.5708884623917666,0.6080373092131182
ENSG00000232759,6.404036110097712,0.8031919408928264,3.5592182603749363,1.0899553353136235,1.6654662489891052,1.5973403508012944,1.2214969938451594,0.800585313276811,0.7904635586521842,1.3883542120456696,1.3862642510370775,0.8126476596702229,0.7993483137000691,0.8884725218469446,0.8052409535104578,0.790625043890693,3.837298181923953,0.7903672077439048,1.3979630714113063,1.3164209669286555,0.82702990824526,1.527377643368461,0.7921353253451261
ENSG00000287829,4.172979988835075,0.9083907252008264,2.004245552149686,1.3658805977214465,1.3514130278067156,12.403485558249734,1.1203123900023373,0.9091380373998121,0.912263650785793,1.2002164233814587,3.6536849439144135,0.9134327417070215,0.9083876718174327,1.1834933188828556,0.9136949154463682,0.9095022001049735,1.9662022292613983,0.9183217016133395,1.1994802328673275,1.1630336913195523,1.076522951776331,3.8235586800358514,0.9162735153328289
ENSG00000261736,17.73598322543231,0.8765577023679559,3.039704899896275,47.50911370190707,1.4011001586914062,1.7236909026449376,1.1712635403329676,1.1590972624041818,0.8825646801428362,1.31429676305164,2.6088188019665806,0.8819711099971425,0.8669115359132941,1.0546171150424264,1.0640607638792559,0.8658313371918418,4.383860257538882,0.8677735409953378,1.347947291352532,1.2521093081344257,0.8711942813613198,1.463921536098827,0.8657379312948748
ENSG00000262899,2.8009344285184685,0.9903038713065061,1.5109711587429047,2.0393191901120273,1.2358665466308594,15.618117251179434,1.080187827348709,1.0427614856850018,0.9887814386324449,1.1354276890104467,10.285216350447048,0.9848761775276877,0.9867493130943992,1.3466691835360094,1.1322358413176103,0.9849006723273884,1.470414481379769,1.0135403058745645,1.1241446977311915,1.1063006953759627,1.3130992515520616,23.12030536478216,1.0025724470615387
ENSG00000269987,2.2124102874235674,3.916535334153609,1.4274895055727526,1.0198798017068342,1.0164844447916204,1.3429248360070316,1.9490156688473441,0.931569291786714,0.9467732120643962,1.4701918390664188,0.9832406585866754,1.2321919067339464,1.4506269991397858,1.627775793725794,1.6238209767775102,1.34494272145358,1.3276347301223062,0.9302413897080855,1.2433345155282454,1.5710264417258175,1.2286862162026493,1.3989999240094966,0.9343496615236456
ENSG00000267285,0.9077824923125181,0.7120784656568007,11.158307422291148,0.9038617529652335,2.590590010989796,0.7209899262948469,1.4484965232285587,0.6735720363530245,0.6966795785860582,1.9667359373786233,0.7470709871162068,0.718578425320712,0.6855034773999994,0.6662157665599476,0.6865886314348741,0.6798885247924111,5.2600269778208295,0.6857369433749806,1.8765372173352675,1.6980662129142068,0.6688549654050306,0.7940795204856179,0.6951252194968137
ENSG00000286788,1.0511717119000175,0.723658103834499,3.266452572562478,1.049551397562027,2.1557213880799035,0.7487528107383035,1.3763911588625475,0.6855750409039584,0.678073915568265,1.8133548308502545,0.7713686498728666,0.7332134192640131,0.6821218918670308,0.6773908815600655,0.6748864352703094,0.6820846904407848,1.8083640255711295,0.6852428317070007,1.9057248586958104,1.6174258237535304,0.6770768084309318,0.7576432607390664,0.6965018781748685
ENSG00000285704,5.0698875839060005,0.831465558572249,4.382587573745034,1.1553471061316403,3.4278774478218774,1.8011309179392727,1.2644194933501156,0.8390060907060449,0.8644566048275341,1.4360892447558316,1.2720623314380646,0.8332491896369241,0.831466173583811,0.8838485641912981,1.1677211956544356,0.8600735799832777,1.7287149185484105,0.8441424803300337,1.3214013088833203,1.3197792903943495,1.327506184577942,3.9648256464438005,0.8512537750330839
ENSG00000282943,0.7578693465753035,0.7521809258244254,0.7130067023363981,4.8839674537832085,2.050164366310293,0.7041939686645161,1.4136760532855988,0.9731070453470404,0.6848364743319425,2.142385894601995,0.6968452876264398,0.7435123107650063,0.7182208055799658,0.6825759627602317,0.8939494084228169,0.6830147017132152,0.7893238934603605,0.7017077830704775,2.7763846570795234,1.7971730394796892,0.7437702092257413,0.716898733919317,0.7024399665268984
ENSG00000286305,4.261492276733572,0.9341032775965604,1.8442899909886448,2.11878595568917,1.4710934866558423,16.940266934308138,1.1281240284442902,0.9774745079604062,0.9385087110779502,1.2082760469479994,6.289149484851143,0.930249498649077,0.9333997477184642,1.1098131808367642,1.1750793213194066,0.9336499625986273,1.4556043418970974,0.9318393062461506,1.1762705201452428,1.164306033741344,1.4403082918037067,5.056170084259727,0.9301504059271379
ENSG00000263683,0.7788023379716006,0.7034393169663169,0.7428438582203605,2.53747803514654,2.108106017112732,0.6455057046630166,1.4543119154193185,0.6375390751795336,0.623588662255894,2.1798498847267846,0.6866484230214899,0.7100981744852933,0.6538483771410856,0.61857623945583,0.6143099936571988,0.6413015398112211,0.8005854108116843,0.6520791947841644,2.697522374716672,1.840421974658966,0.6996823766014793,0.6155468794432554,0.6486391181295569
