,C_BEST4,C_EEC,C_ISC,C_TA,C_earlyACC,C_goblet,C_lateACC,C_secretory_prog,C_tuft,SI_AE2,SI_BEST4,SI_EEC,SI_FAE,SI_ISC,SI_TA,SI_TA2,SI_earlyAE,SI_goblet,SI_intermAE,SI_matureAE,SI_paneth,SI_secretory_prog,SI_tuft
ENSG00000287653,-0.0012043703,0.06754101,-0.021810248,0.012735266,-0.024443418,0.0063700937,-0.089263424,0.04868118,0.08994222,-0.057410076,0.010960498,0.07309238,0.063436575,0.039523873,0.023352196,0.054183338,-0.038051587,0.07525528,-0.0691715,-0.07081928,0.018424567,-0.007871926,0.0798311
ENSG00000286514,-0.008479801,0.060935922,-0.024606941,0.038915265,0.00604312,0.008729139,-0.07847116,0.08764065,0.12345191,-0.064927995,0.024471324,0.07110154,0.06735836,0.038443625,-0.003982039,0.042155944,-0.036737733,0.09577574,-0.091579795,-0.0752424,-0.032975104,-0.014352061,0.1087915
ENSG00000272945,0.012051962,0.10205515,-0.004120976,-0.074120454,-0.028590105,0.02836778,-0.07322492,-0.053886157,0.07479103,-0.02557626,0.020268876,0.09586403,0.0809138,0.039953325,-0.058037337,0.02477201,0.010895553,0.075226694,-0.022376092,-0.03696149,0.074707635,0.00024653162,0.08971554
ENSG00000285492,0.0020868047,0.07175353,-0.0017519203,-0.03157732,-0.03496499,0.016134692,-0.071392305,-0.00063752726,0.045280516,-0.03382168,0.007707006,0.07103112,0.064507574,0.027714014,-0.01236954,0.05173653,0.0028896881,0.053361222,-0.02807051,-0.042032845,0.062778115,0.016315907,0.058573656
ENSG00000286553,0.0074478923,0.06885282,0.027928604,-0.008966176,-0.04353266,0.006516818,-0.06722541,0.01633839,0.011653806,-0.025179587,0.0030417438,0.0651759,0.05551984,0.0295755,0.041924413,0.051526383,0.0026560782,0.03313298,-0.012825218,-0.032193866,0.08911334,0.03866235,0.028291147
ENSG00000286109,-0.013477061,0.04090456,-0.033253618,-0.004268791,-0.0108063985,0.00036663646,-0.062042646,0.017259577,0.07753302,-0.047201388,0.001306745,0.04796373,0.042386424,0.014722436,-0.02482584,0.026575973,-0.034535863,0.05576179,-0.06598591,-0.05785267,-0.020516729,-0.014500578,0.06856258
ENSG00000258745,-0.009802047,0.025321657,-0.023387607,0.0012323367,0.013802286,0.01119093,-0.027344136,0.012441936,0.08809158,-0.027475134,0.023714397,0.0370711,0.023323141,0.011158872,-0.042146463,0.014552376,-0.0044298074,0.058946982,-0.047561105,-0.031462554,-0.017756348,-0.023304187,0.07785344
ENSG00000282772,-0.0048246062,0.039639235,-0.015172594,0.0161678,0.0006581645,0.0053835046,-0.04995659,0.04170715,0.0750227,-0.03864425,0.012133302,0.045387834,0.036910895,0.024110293,-0.010133194,0.026019968,-0.024485914,0.05927244,-0.054823674,-0.0458974,-0.017765615,-0.011542149,0.066462934
ENSG00000288103,0.0048381393,0.053683538,0.007360876,0.0073926635,-0.034292087,0.009047991,-0.07007808,0.028460544,0.02920476,-0.035494193,0.008070263,0.053908065,0.046897803,0.029354896,0.0416677,0.042569168,0.0017645981,0.04196791,-0.028758017,-0.043763902,0.05609595,0.02485618,0.038769618
ENSG00000285871,-0.00031705014,0.047924243,0.006892707,-0.0021227743,-0.03735385,0.0021673453,-0.06831283,0.020477906,0.018429024,-0.036738694,0.0023652546,0.04542131,0.0381556,0.023696944,0.03373952,0.032994702,-0.0018182554,0.032095134,-0.028352374,-0.043713912,0.052226763,0.020118685,0.02845947
