Broad cell type,mean,std,median,count,q1,q3,f_score
Immune (B cell),0.8573770786363636,0.2555206235993699,0.919562535,22,0.9045487025,0.9250314475,0.7142857142857143
Schwann cell,0.8343875035469799,0.25657201896337634,0.88268325,298,0.868450925,0.89102185,0.8790170132325141
Pericyte/SMC,0.8296942576681706,0.1124124271116072,0.8672978,2438,0.8018201125,0.8812536449999999,0.7027225901398086
Endothelial cell (lymphatic),0.8327436722831858,0.18898836076668538,0.8624438,565,0.83381975,0.88086206,0.9287211740041929
Adipocyte,0.7618329823316062,0.33447489277343184,0.8466362,193,0.81764746,0.85608447,0.8652482269503546
"Myocyte (cardiac, cytoplasmic)",0.681539777827853,0.30284126737063405,0.77024907,2585,0.73238546,0.78786445,
Fibroblast,0.6795938467860451,0.18105155048889646,0.72663814,9287,0.66069858,0.76082945,0.8903446428939291
Endothelial cell (vascular),0.6502089187190566,0.1753012543591012,0.7113044550000001,7070,0.6226187000000001,0.75353739,0.8587683165642515
Immune (DC/macrophage),0.6575069718920886,0.1661075005103578,0.687282285,6320,0.6341879275,0.72608385,0.8782060623724861
Immune (NK cell),0.5635916782446708,0.2157394145462372,0.6408108,319,0.5570305499999999,0.67425852,0.7984790874524715
Myocyte (cardiac),0.4244688356093311,0.36147987352374356,0.5419645,7041,0.44185856,0.5904235,0.9438898340448753
Immune (T cell),0.30167271243865545,0.29269174336277676,0.41316447,357,0.17932087,0.5150122,0.7177615571776156
Immune (mast cell),0.13953101873417723,0.4234457359218103,0.33415693,79,0.30383168,0.350603075,0.876010781671159
